year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status
0,1,0,73,0,18.25,0,0,0
1819,1,0,73,0,18.25,0,0,0
1840,1,0,73,0,18.25,0,0,0
1848,1,0,73,0,18.25,0,0,0
1864,1,0,73,0,18.25,0,0,0
1865,1,0,73,0,18.25,0,0,0
1867,1,0,73,0,18.25,0,0,0
1872,1,0,73,0,18.25,0,0,0
1875,1,0,73,0,18.25,0,0,0
1876,1,0,73,0,18.25,0,0,0
1877,1,0,73,0,18.25,0,0,0
1878,1,0,73,0,18.25,0,0,0
1879,1,0,73,0,18.25,0,0,0
1881,1,0,73,0,18.25,0,0,0
1882,1,0,73,0,18.25,0,0,0
1883,1,0,73,0,18.25,0,0,0
1884,1,0,73,0,18.25,0,0,0
1885,1,0,73,0,18.25,0,0,0
1886,1,0,73,0,18.25,0,0,0
1887,1,0,73,0,18.25,0,0,0
1888,1,0,73,0,18.25,0,0,0
1889,1,0,73,0,18.25,0,0,0
1890,1,0,73,0,18.25,0,0,0
1891,1,0,73,0,18.25,0,0,0
1892,1,0,73,0,18.25,0,0,0
1893,1,0,73,0,18.25,0,0,0
1894,1,0,73,0,18.25,0,0,0
1895,1,0,73,0,18.25,0,0,0
1896,1,0,73,0,18.25,0,0,0
1897,1,0,73,0,18.25,0,0,0
1898,1,0,73,0,18.25,0,0,0
1899,1,0,73,0,18.25,0,0,0
1900,1,0,73,0,18.25,0,0,0
1901,1,0,73,0,18.25,0,0,0
1902,1,0,73,0,18.25,0,0,0
1903,1,0,73,0,18.25,0,0,0
1904,1,0,73,0,18.25,0,0,0
1905,1,0,73,0,18.25,0,0,0
1906,1,0,73,0,18.25,0,0,0
1907,1,0,73,0,18.25,0,0,0
1908,1,0,73,0,18.25,0,0,0
1909,1,0,73,0,18.25,0,0,0
1910,1,0,73,0,18.25,0,0,0
1911,1,0,73,0,18.25,0,0,0
1912,1,0,73,0,18.25,0,0,0
1913,1,0,73,0,18.25,0,0,0
1914,1,0,73,0,18.25,0,0,0
1915,1,0,73,0,18.25,0,0,0
1916,1,0,73,0,18.25,0,0,0
1917,1,0,73,0,18.25,0,0,0
1918,1,0,73,0,18.25,0,0,0
1919,1,0,73,0,18.25,0,0,0
1920,1,0,73,0,18.25,0,0,0
1921,1,0,73,0,18.25,0,0,0
1922,1,0,73,0,18.25,0,0,0
1923,1,0,73,0,18.25,0,0,0
1924,1,0,73,0,18.25,0,0,0
1925,1,0,73,0,18.25,0,0,0
1926,1,0,73,0,18.25,0,0,0
1927,1,0,73,0,18.25,0,0,0
1928,1,0,73,0,18.25,0,0,0
1929,1,0,73,0,18.25,0,0,0
1930,1,0,73,0,18.25,0,0,0
1931,1,0,73,0,18.25,0,0,0
1932,1,0,73,0,18.25,0,0,0
1933,1,0,73,0,18.25,0,0,0
1934,1,0,73,0,18.25,0,0,0
1935,1,0,73,0,18.25,0,0,0
1936,1,0,73,0,18.25,0,0,0
1937,1,0,73,0,18.25,0,0,0
1938,1,0,73,0,18.25,0,0,0
1939,1,0,73,0,18.25,0,0,0
1940,1,0,73,0,18.25,0,0,0
1941,1,0,73,0,18.25,0,0,0
1942,1,0,73,0,18.25,0,0,0
1943,1,0,73,0,18.25,0,0,0
1944,1,0,73,0,18.25,0,0,0
1945,1,0,73,0,18.25,0,0,0
1946,1,0,73,0,18.25,0,0,0
1947,1,0,73,0,18.25,0,0,0
1948,1,0,73,0,18.25,0,0,0
1949,1,0,73,0,18.25,0,0,0
1950,1,0,73,0,18.25,0,0,0
1951,1,0,73,0,18.25,0,0,0
1952,1,0,73,0,18.25,0,0,0
1953,1,0,73,0,18.25,0,0,0
1954,1,0,73,0,18.25,0,0,0
1955,1,0,73,0,18.25,0,0,0
1956,1,0,73,0,18.25,0,0,0
1957,1,0,73,0,18.25,0,0,0
1958,1,0,73,0,18.25,0,0,0
1959,1,0,73,0,18.25,0,0,0
1960,1,0,73,0,18.25,0,0,0
1961,1,0,73,0,18.25,0,0,0
1962,1,0,73,0,18.25,0,0,0
1963,1,0,73,0,18.25,0,0,0
1964,1,0,73,0,18.25,0,0,0
1965,1,0,73,0,18.25,0,0,0
1966,1,0,73,0,18.25,0,0,0
1967,1,0,73,0,18.25,0,0,0
1968,1,0,73,0,18.25,0,0,0
1969,1,0,73,0,18.25,0,0,0
1970,1,0,73,0,18.25,0,0,0
1971,1,0,73,0,18.25,0,0,0
1972,1,0,73,0,18.25,0,0,0
1973,1,0,73,0,18.25,0,0,0
1974,1,0,73,0,18.25,0,0,0
1975,1,0,73,0,18.25,0,0,0
1976,1,0,73,0,18.25,0,0,0
1977,1,0,73,0,18.25,0,0,0
1978,1,0,73,0,18.25,0,0,0
1979,1,0,73,0,18.25,0,0,0
1980,1,0,73,0,18.25,0,0,0
1981,1,0,73,0,18.25,0,0,0
1982,1,0,73,0,18.25,0,0,0
1983,1,0,73,0,18.25,0,0,0
1984,1,0,73,0,18.25,0,0,0
1985,1,0,73,0,18.25,0,0,0
1986,1,0,73,0,18.25,0,0,0
1987,1,0,73,0,18.25,0,0,0
1988,1,0,73,0,18.25,0,0,0
1989,1,0,73,0,18.25,0,0,0
1990,1,0,73,0,18.25,0,0,0
1991,1,0,73,0,18.25,0,0,0
1992,1,0,73,0,18.25,0,0,0
1993,1,0,73,0,18.25,0,0,0
1994,1,0,73,0,18.25,0,0,0
1995,1,0,73,0,18.25,0,0,0
1996,1,0,73,0,18.25,0,0,0
1997,1,0,73,0,18.25,0,0,0
1998,1,0,73,0,18.25,0,0,0
1999,1,0,73,0,18.25,0,0,0
2000,1,0,73,0,18.25,0,0,0
2001,1,0,73,0,18.25,0,0,0
2002,1,0,73,0,18.25,0,0,0
2003,1,0,73,0,18.25,0,0,0
2004,1,0,73,0,18.25,0,0,0
2005,1,0,73,0,18.25,0,0,0
2006,1,0,73,0,18.25,0,0,0
2007,1,0,73,0,18.25,0,0,0
2008,1,0,73,0,18.25,0,0,0
2009,1,0,73,0,18.25,0,0,0
2010,1,0,73,0,18.25,0,0,0
2011,1,0,73,0,18.25,0,0,0
2012,1,0,73,0,18.25,0,0,0
2013,1,0,73,0,18.25,0,0,0
2014,1,0,73,0,18.25,0,0,0
2015,1,0,73,0,18.25,0,0,0
0,2,0,269,0,67.25,0,0,0
1819,2,0,269,0,67.25,0,0,0
1840,2,0,269,0,67.25,0,0,0
1848,2,0,269,0,67.25,0,0,0
1864,2,0,269,0,67.25,0,0,0
1865,2,0,269,0,67.25,0,0,0
1867,2,0,269,0,67.25,0,0,0
1872,2,0,269,0,67.25,0,0,0
1875,2,0,269,0,67.25,0,0,0
1876,2,0,269,0,67.25,0,0,0
1877,2,0,269,0,67.25,0,0,0
1878,2,0,269,0,67.25,0,0,0
1879,2,0,269,0,67.25,0,0,0
1881,2,0,269,0,67.25,0,0,0
1882,2,0,269,0,67.25,0,0,0
1883,2,0,269,0,67.25,0,0,0
1884,2,0,269,0,67.25,0,0,0
1885,2,0,269,0,67.25,0,0,0
1886,2,0,269,0,67.25,0,0,0
1887,2,0,269,0,67.25,0,0,0
1888,2,0,269,0,67.25,0,0,0
1889,2,0,269,0,67.25,0,0,0
1890,2,0,269,0,67.25,0,0,0
1891,2,0,269,0,67.25,0,0,0
1892,2,0,269,0,67.25,0,0,0
1893,2,0,269,0,67.25,0,0,0
1894,2,0,269,0,67.25,0,0,0
1895,2,0,269,0,67.25,0,0,0
1896,2,0,269,0,67.25,0,0,0
1897,2,0,269,0,67.25,0,0,0
1898,2,0,269,0,67.25,0,0,0
1899,2,0,269,0,67.25,0,0,0
1900,2,0,269,0,67.25,0,0,0
1901,2,0,269,0,67.25,0,0,0
1902,2,0,269,0,67.25,0,0,0
1903,2,0,269,0,67.25,0,0,0
1904,2,0,269,0,67.25,0,0,0
1905,2,0,269,0,67.25,0,0,0
1906,2,0,269,0,67.25,0,0,0
1907,2,0,269,0,67.25,0,0,0
1908,2,0,269,0,67.25,0,0,0
1909,2,0,269,0,67.25,0,0,0
1910,2,0,269,0,67.25,0,0,0
1911,2,0,269,0,67.25,0,0,0
