WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3
555599908,555599908,1,Karaburun-Sazan Marine National Park,Karaburun-Sazan Marine National Park,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,124.28,124.35258298267,125.27,124.074442881429,Not Reported,0,Adopted,2016,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,ALB,ALB
555555555,555555555,1,Blue and John Crow Mountains,Montagnes bleues et monts John Crow,World Heritage Site,World Heritage Site,International,Not Applicable,(iii)(vi)(x),0,0,0,262.52,247.490322902037,Not Applicable,0,Inscribed,2015,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,JAM,JAM
555577557,555577557,1,Great Himalayan National Park Conservation Area,Aire de conservation du Parc national du Grand Himalaya,World Heritage Site,World Heritage Site,International,Not Applicable,(x),0,0,0,905.4,823.015315373885,Not Applicable,0,Inscribed,2014,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,IND,IND
555577558,555577558,1,Mount Hamiguitan Range Wildlife Sanctuary,Sanctuaire de faune et de flore sauvages de la chaîne du mont Hamiguitan,World Heritage Site,World Heritage Site,International,Not Applicable,(x),0,0,0,169.23,157.207167864532,Not Applicable,0,Inscribed,2014,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,PHL,PHL
555577555,555577555,1,Okavango Delta,Delta de l'Okavango,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix)(x),0,0,0,20235.9,20505.2840026568,Not Applicable,0,Inscribed,2014,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,BWA,BWA
555577556,555577556,1,Stevns Klint,Stevns Klint,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,0.4,0.489815668489291,Not Applicable,0,Inscribed,2014,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,DNK,DNK
555577559,555577559,1,Trang An Landscape Complex,Complexe paysager de Trang An,World Heritage Site,World Heritage Site,International,Not Applicable,(v)(vii)(viii),0,0,0,61.72,62.2507515696104,Not Applicable,0,Inscribed,2014,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,VNM,VNM
555556047,555556047,1,Mount Etna,Mont Etna,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,192.37,194.789351988444,Not Applicable,0,Inscribed,2013,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,ITA,ITA
555556048,555556048,1,Namib Sand Sea,Erg du Namib,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii)(ix)(x),0,0,36.947889,30777,30824.357154457,Not Applicable,0,Inscribed,2013,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,NAM,NAM
555556049,555556049,1,Tajik National Park (Mountains of the Pamirs),Parc national tadjik (montagnes du Pamir),World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(viii),0,0,0,26116.74,25351.2382987217,Not Applicable,0,Inscribed,2013,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,TJK,TJK
555556045,555556045,1,Xinjiang Tianshan,Tianshan au Xinjiang,World Heritage Site,World Heritage Site,International,Not Applicable,(vii)(ix),0,0,0,6068.33,6012.16942216683,Not Applicable,0,Inscribed,2013,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,CHN,CHN
555599911,555599911,1,Lara-Toxeftra Turtle Reserve,Lara-Toxeftra Turtle Reserve,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,0,6.74683938334835,5.95,6.73174869086612,Not Reported,0,Adopted,2013,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,CYP,CYP
555547989,555547989,1,Chengjiang Fossil Site,Site fossilifère de Chengjiang,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,5.12,4.89189414338794,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,CHN,CHN
555547987,555547987,1,Lakes of Ounianga,Lacs d'Ounianga,World Heritage Site,World Heritage Site,International,Not Applicable,(vii),0,0,0,628.08,630.83660583964,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,TCD,TCD
555547991,555547991,1,Lena Pillars Nature Park,Parc naturel des colonnes de la Lena,World Heritage Site,World Heritage Site,International,Not Applicable,(viii),0,0,0,13871.5,13166.8778426978,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,RUS,RUS
555547992,555547992,1,Rock Islands Southern Lagoon,Lagon sud des îles Chelbacheb,World Heritage Site,World Heritage Site,International,Not Applicable,(iii)(v)(vii)(ix)(x),1,0,945.314625,1002,1008.80020525494,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,PLW,PLW
555547988,555547988,1,Sangha Trinational,Trinational de la Sangha,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,7463.09,7510.38831201059,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,COG;CMR;CAF,COG;CMR;CAF
555547990,555547990,1,Western Ghats,Ghâts occidentaux,World Heritage Site,World Heritage Site,International,Not Applicable,(ix)(x),0,0,0,7953.15,8147.14716813546,Not Applicable,0,Inscribed,2012,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,946,Not Reported,IND,IND
555547501,555547501,1,Archipel Des Embiez - Six Fours,Archipel des Embiez - Six Fours,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,0,2.72244446118722,0,2.71635515479799,Not Reported,0,Adopted,2012,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,FRA,FRA
555547502,555547502,1,Cote Bleue,Cote Bleue,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,188.64,188.747608984738,188.64,188.325436177281,Not Reported,0,Adopted,2012,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1675,Not Reported,FRA,FRA
555547505,555547505,1,Capo Carbonara,Capo Carbonara,Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Specially Protected Areas of Mediterranean Importance (Barcelona Convention),Regional,Not Assigned,Not Applicable,2,85.98,86.4713018161139,85.98,86.2778909832638,Part,3.32,Adopted,2012,Federal or national ministry or agency,Not Reported,Ministero dell'Ambiente e della Tutela del Territorio e del Mare,Not Reported,State Verified,1675,ITG2,ITA,ITA
