ISO3166,YEAR,VALUE,country_area,avg_days,tour_days,tourist_days_area
MDV,2008,360.0834281,373.8,9.94,3579.229275,9.575252208
MDV,2007,355.8657598,373.8,9.94,3537.305652,9.463096983
MDV,2009,345.8487977,373.8,9.94,3437.737049,9.196728328
MDV,2006,317.3795369,373.8,9.94,3154.752597,8.439680569
MDV,2005,207.720162,373.8,9.94,2064.73841,5.523644757
BHR,2007,5274,236.33,9.76,51474.24,217.8066263
BHR,2006,5087,236.33,9.76,49649.12,210.0838658
SMR,2007,930,32.78,6.9,6417,195.7596095
SMR,2006,880,32.78,6.9,6072,185.2348993
SMR,2008,866,32.78,6.9,5975.4,182.2879805
MCO,2007,172.3971903,5.16,5.24,903.3612772,175.070015
MCO,2008,170.8155647,5.16,5.24,895.073559,173.463868
BHR,2005,4187,236.33,9.76,40865.12,172.9154995
MCO,2006,165.5434794,5.16,5.24,867.4478321,168.110045
SMR,2005,738,32.78,6.9,5092.2,155.3447224
MCO,2005,150.7816405,5.16,5.24,790.0957962,153.1193404
MCO,2009,139.7102613,5.16,5.24,732.0817692,141.8763119
BMU,2006,202,14.4,8.68,1753.36,121.7611111
BMU,2007,191,14.4,8.68,1657.88,115.1305556
BMU,2005,170,14.4,8.68,1475.6,102.4722222
SGP,2007,4124,397.65,9.64,39755.36,99.97575758
BMU,2008,158,14.4,8.68,1371.44,95.23888889
SGP,2008,3925,397.65,9.64,37837,95.15151515
BMU,2009,144,14.4,8.68,1249.92,86.8
SGP,2006,3579,397.65,9.64,34501.56,86.76363636
SGP,2009,3486,397.65,9.64,33605.04,84.50909091
VGB,2009,337,40.02,0,2696,67.36631684
SGP,2005,2674,397.65,9.64,25777.36,64.82424242
MLT,2008,1014,211.5,10.92,11072.88,52.35404255
MLT,2007,993,211.5,10.92,10843.56,51.26978723
MLT,2005,955,211.5,10.92,10428.6,49.30780142
MLT,2009,921,211.5,10.92,10057.32,47.55234043
MLT,2006,883,211.5,10.92,9642.36,45.59035461
AND,2005,2418,336.24,6.11,14773.98,43.93879372
AND,2006,2418,336.24,6.11,14773.98,43.93879372
AND,2008,2418,336.24,6.11,14773.98,43.93879372
AND,2007,2418,336.24,6.11,14773.98,43.93879372
AND,2009,2418,336.24,6.11,14773.98,43.93879372
VIR,2009,414.9131155,177.64,9.49,3937.525466,22.16575921
ABW,2008,436.0014568,139.93,6.9,3008.410052,21.49939292
ABW,2009,428.6205374,139.93,6.9,2957.481708,21.13543706
VIR,2008,390.1343145,177.64,9.49,3702.374645,20.84200993
MNP,2009,186.6318207,73.46,0,1493.054566,20.32472864
ABW,2007,406.477779,139.93,6.9,2804.696675,20.04356946
VIR,2006,369.5731817,177.64,9.49,3507.249494,19.74357968
VIR,2007,357.9745939,177.64,9.49,3397.178896,19.12395235
ABW,2005,385.9166462,139.93,6.9,2662.824859,19.02969241
BRB,2007,453.3235832,245.43,9.8,4442.571115,18.10117392
ABW,2006,365.8827219,139.93,6.9,2524.590781,18.0418122
BRB,2008,447.7952468,245.43,9.8,4388.393419,17.8804279
BRB,2006,443.8464351,245.43,9.8,4349.695064,17.72275217
VIR,2005,325.2876649,177.64,9.49,3086.97994,17.3777299
BRB,2005,432,245.43,9.8,4233.6,17.24972497
BRB,2009,409.0968921,245.43,9.8,4009.149543,16.33520573
COK,2009,80,55.3,10.43,834.4,15.08860759
COK,2007,79,55.3,10.43,823.97,14.9
COK,2008,78,55.3,10.43,813.54,14.71139241
COK,2006,76,55.3,10.43,792.68,14.33417722
COK,2005,73,55.3,10.43,761.39,13.76835443
GUM,2006,937,329.16,3.4,3185.8,9.678575769
GUM,2007,917,329.16,3.4,3117.8,9.471989306
GUM,2005,914.8995937,329.16,3.4,3110.658619,9.450293531
ATG,2008,221,255.13,10.12,2236.52,8.766197625
LCA,2005,250.3098386,321.07,11,2753.408225,8.575725619
GUM,2008,814,329.16,3.4,2767.6,8.408069024
LCA,2006,237.7156329,321.07,11,2614.871962,8.14424257
GUM,2009,784.5189512,329.16,3.4,2667.364434,8.103549745
ATG,2007,204,255.13,10.12,2064.48,8.091874731
LCA,2008,236,321.07,11,2596,8.085464229
ATG,2006,198,255.13,10.12,2003.76,7.853878415
LCA,2007,225.908565,321.07,11,2484.994215,7.739727209
ATG,2005,190,255.13,10.12,1922.8,7.536549994
AIA,2007,69,74.48,8.1,558.9,7.504027927
LCA,2009,216,321.07,11,2376,7.400255396
CYM,2009,143.400721,157.76,0,1147.205768,7.271841836
ATG,2009,182,255.13,10.12,1841.84,7.219221573
AIA,2006,66,74.48,8.1,534.6,7.177765843
AIA,2008,63,74.48,8.1,510.3,6.851503759
SYC,2007,147,222.19,10.2,1499.4,6.7482785
SYC,2009,142,222.19,10.2,1448.4,6.518745218
SYC,2008,142,222.19,10.2,1448.4,6.518745218
MUS,2008,821,1413.31,10.7,8784.7,6.21569224
MUS,2009,820,1413.31,10.7,8774,6.20812136
MUS,2007,819,1413.31,10.7,8763.3,6.200550481
AIA,2005,57,74.48,8.1,461.7,6.198979592
SYC,2006,128,222.19,10.2,1305.6,5.876052028
AIA,2009,54,74.48,8.1,437.4,5.872717508
TCA,2006,130.7477162,163.4,7,915.2340134,5.601187353
MUS,2006,713,1413.31,10.7,7629.1,5.398037232
SYC,2005,116,222.19,10.2,1183.2,5.32517215
MUS,2005,692,1413.31,10.7,7404.4,5.239048758
MTQ,2006,265.1858921,1128,12.79,3391.72756,3.006850674
MTQ,2007,264.1314751,1128,12.79,3378.241567,2.994895006
KNA,2005,74.33640316,164.62,9.28,689.8418213,4.190510396
MTQ,2005,255.16893,1128,12.79,3263.610615,2.893271822
MTQ,2008,253.5873044,1128,12.79,3243.381623,2.875338319
KNA,2006,73.28198609,164.62,9.28,680.0568309,4.131070532
TCA,2005,93.31591035,163.4,7,653.2113725,3.997621618
GRD,2009,73,178.96,9.66,705.18,3.940433616
GRD,2008,73,178.96,9.66,705.18,3.940433616
MTQ,2009,233.0261716,1128,12.79,2980.404735,2.642202779
KNA,2008,67.48269223,164.62,9.28,626.2393839,3.804151281
VCT,2007,74,236.51,12,888,3.754598114
GRD,2007,68,178.96,9.66,656.88,3.670540903
KNA,2007,64.84664956,164.62,9.28,601.7769079,3.655551621
VCT,2008,69,236.51,12,828,3.500909052
VCT,2006,68.66470899,236.51,12,823.9765079,3.48389712
VCT,2005,67.2489418,236.51,12,806.9873016,3.41206419
GRD,2006,59,178.96,9.66,569.94,3.184734019
PYF,2006,203,909.84,13.7,2781.1,3.056691286
PYF,2007,200,909.84,13.7,2740,3.011518509
PYF,2005,190,909.84,13.7,2603,2.860942583
KNA,2009,49.03039357,164.62,9.28,455.0020523,2.763953665
GRD,2005,49,178.96,9.66,473.34,2.644948592
PYF,2008,160,909.84,13.7,2192,2.409214807
MHL,2005,2.7,12.2,9.86,26.622,2.182131148
CYP,2005,2194,9894.22,9.73,21347.62,2.157584933
PLW,2007,48.50318504,231.26,10.09,489.3971371,2.116220432
CYP,2006,2091,9894.22,9.73,20345.43,2.056294483
PRI,2006,1962.27016,9084.03,9.45,18543.45301,2.041324502
PRI,2008,1959.106909,9084.03,9.45,18513.56029,2.038033812
PRI,2007,1943.817861,9084.03,9.45,18369.07879,2.022128811
PRI,2005,1943.290653,9084.03,9.45,18364.09667,2.021580364
PLW,2006,45.86714237,231.26,10.09,462.7994665,2.001208452
PLW,2005,45.33993384,231.26,10.09,457.4799324,1.978206056
PRI,2009,1872.117501,9084.03,9.45,17691.51038,1.947539846
