Taxonid,EEZID,stocklong,notes
501940,946,Sardinella West Africa,
501940,948,Sardinella West Africa,
501940,686,Sardinella West Africa,
501940,478,Sardinella West Africa,
600004,604,Peruvian anchoveta North-Central Peru,
600017,852,Red grouper Gulf of Mexico,
600017,851,Red grouper South Atlantic,
600024,578,Herring ICES 22-24-IIIa,
600024,915,Herring ICES 22-24-IIIa,
600024,931,Herring ICES 22-24-IIIa,
600024,914,Herring ICES 30,
600024,246,Herring ICES 30,
600024,851,Atlantic herring Northwestern Atlantic Coast,
600024,428,Herring ICES 28,
600024,233,Herring ICES 28,
600026,851,Witch Flounder NAFO-5Y,
600051,926,Cusk NAFO 4X,
600066,901,Anchovy South of Sicily,
600069,926,Atlantic cod NAFO 2J3KL,
600069,826,Atlantic cod West of Scotland,
600078,60,Sailfish Western Atlantic,
600078,851,Sailfish Western Atlantic,
600078,926,Sailfish Western Atlantic,
600078,372,Sailfish Eastern Atlantic,
600078,620,Sailfish Eastern Atlantic,
600078,621,Sailfish Eastern Atlantic,
600078,826,Sailfish Eastern Atlantic,
600078,962,Sailfish Eastern Atlantic,
600078,963,Sailfish Eastern Atlantic,
600078,28,Sailfish Western Atlantic,
600078,44,Sailfish Western Atlantic,
600078,52,Sailfish Western Atlantic,
600078,60,Sailfish Western Atlantic,
600078,76,Sailfish Western Atlantic,
600078,84,Sailfish Western Atlantic,
600078,92,Sailfish Western Atlantic,
600078,136,Sailfish Western Atlantic,
600078,192,Sailfish Western Atlantic,
600078,212,Sailfish Western Atlantic,
600078,214,Sailfish Western Atlantic,
600078,254,Sailfish Western Atlantic,
600078,308,Sailfish Western Atlantic,
600078,312,Sailfish Western Atlantic,
600078,328,Sailfish Western Atlantic,
600078,332,Sailfish Western Atlantic,
600078,388,Sailfish Western Atlantic,
600078,474,Sailfish Western Atlantic,
600078,500,Sailfish Western Atlantic,
600078,630,Sailfish Western Atlantic,
600078,659,Sailfish Western Atlantic,
600078,660,Sailfish Western Atlantic,
600078,662,Sailfish Western Atlantic,
600078,670,Sailfish Western Atlantic,
600078,740,Sailfish Western Atlantic,
600078,780,Sailfish Western Atlantic,
600078,796,Sailfish Western Atlantic,
600078,850,Sailfish Western Atlantic,
600078,851,Sailfish Western Atlantic,
600078,852,Sailfish Western Atlantic,
600078,862,Sailfish Western Atlantic,
600078,904,Sailfish Western Atlantic,
600078,905,Sailfish Western Atlantic,
600078,906,Sailfish Western Atlantic,
600078,907,Sailfish Western Atlantic,
600078,908,Sailfish Western Atlantic,
600078,909,Sailfish Western Atlantic,
600078,921,Sailfish Western Atlantic,
600078,927,Sailfish Western Atlantic,
600078,935,Sailfish Western Atlantic,
600078,944,Sailfish Western Atlantic,
600078,951,Sailfish Western Atlantic,
600078,967,Sailfish Western Atlantic,
600078,24,Sailfish Eastern Atlantic,
600078,120,Sailfish Eastern Atlantic,
600078,132,Sailfish Eastern Atlantic,
600078,178,Sailfish Eastern Atlantic,
600078,180,Sailfish Eastern Atlantic,
600078,204,Sailfish Eastern Atlantic,
600078,226,Sailfish Eastern Atlantic,
600078,266,Sailfish Eastern Atlantic,
600078,270,Sailfish Eastern Atlantic,
600078,288,Sailfish Eastern Atlantic,
600078,324,Sailfish Eastern Atlantic,
600078,384,Sailfish Eastern Atlantic,
600078,430,Sailfish Eastern Atlantic,
600078,478,Sailfish Eastern Atlantic,
600078,566,Sailfish Eastern Atlantic,
600078,620,Sailfish Eastern Atlantic,
600078,621,Sailfish Eastern Atlantic,
600078,624,Sailfish Eastern Atlantic,
600078,678,Sailfish Eastern Atlantic,
600078,686,Sailfish Eastern Atlantic,
600078,694,Sailfish Eastern Atlantic,
600078,723,Sailfish Eastern Atlantic,
600078,768,Sailfish Eastern Atlantic,
600078,946,Sailfish Eastern Atlantic,
600078,948,Sailfish Eastern Atlantic,
600078,962,Sailfish Eastern Atlantic,
600078,8,Sailfish Eastern Atlantic,
600078,12,Sailfish Eastern Atlantic,
600078,70,Sailfish Eastern Atlantic,
600078,191,Sailfish Eastern Atlantic,
600078,300,Sailfish Eastern Atlantic,
600078,380,Sailfish Eastern Atlantic,
600078,793,Sailfish Eastern Atlantic,
600078,891,Sailfish Eastern Atlantic,
600078,901,Sailfish Eastern Atlantic,
600078,903,Sailfish Eastern Atlantic,
600078,946,Sailfish Eastern Atlantic,
600078,947,Sailfish Eastern Atlantic,
600078,962,Sailfish Eastern Atlantic,
600078,966,Sailfish Eastern Atlantic,
600078,32,Sailfish Western Atlantic,
600078,76,Sailfish Western Atlantic,
600078,77,Sailfish Western Atlantic,
600078,858,Sailfish Western Atlantic,
600078,969,Sailfish Western Atlantic,
600078,970,Sailfish Western Atlantic,
600078,24,Sailfish Eastern Atlantic,
600078,178,Sailfish Eastern Atlantic,
600078,180,Sailfish Eastern Atlantic,
600078,266,Sailfish Eastern Atlantic,
600078,516,Sailfish Eastern Atlantic,
600078,953,Sailfish Eastern Atlantic,
600107,60,Skipjack tuna Western Atlantic,
600107,851,Skipjack tuna Western Atlantic,
600107,926,Skipjack tuna Western Atlantic,
600107,372,Skipjack tuna Western Atlantic,
600107,620,Skipjack tuna Eastern Atlantic,
600107,621,Skipjack tuna Eastern Atlantic,
600107,622,Skipjack tuna Eastern Atlantic,
600107,826,Skipjack tuna Western Atlantic,
600107,919,Skipjack tuna Western Atlantic,
600107,962,Skipjack tuna Eastern Atlantic,
600107,963,Skipjack tuna Western Atlantic,
600107,28,Skipjack tuna Western Atlantic,
600107,44,Skipjack tuna Western Atlantic,
600107,52,Skipjack tuna Western Atlantic,
600107,60,Skipjack tuna Western Atlantic,
600107,76,Skipjack tuna Western Atlantic,
600107,84,Skipjack tuna Western Atlantic,
600107,92,Skipjack tuna Western Atlantic,
600107,136,Skipjack tuna Western Atlantic,
600107,192,Skipjack tuna Western Atlantic,
600107,212,Skipjack tuna Western Atlantic,
600107,214,Skipjack tuna Western Atlantic,
600107,254,Skipjack tuna Western Atlantic,
600107,308,Skipjack tuna Western Atlantic,
600107,312,Skipjack tuna Western Atlantic,
600107,328,Skipjack tuna Western Atlantic,
600107,332,Skipjack tuna Western Atlantic,
600107,388,Skipjack tuna Western Atlantic,
600107,474,Skipjack tuna Western Atlantic,
600107,500,Skipjack tuna Western Atlantic,
600107,630,Skipjack tuna Western Atlantic,
600107,659,Skipjack tuna Western Atlantic,
600107,660,Skipjack tuna Western Atlantic,
600107,662,Skipjack tuna Western Atlantic,
600107,670,Skipjack tuna Western Atlantic,
600107,740,Skipjack tuna Western Atlantic,
600107,780,Skipjack tuna Western Atlantic,
600107,796,Skipjack tuna Western Atlantic,
600107,850,Skipjack tuna Western Atlantic,
600107,851,Skipjack tuna Western Atlantic,
600107,852,Skipjack tuna Western Atlantic,
600107,862,Skipjack tuna Western Atlantic,
600107,904,Skipjack tuna Western Atlantic,
600107,905,Skipjack tuna Western Atlantic,
600107,906,Skipjack tuna Western Atlantic,
600107,907,Skipjack tuna Western Atlantic,
600107,908,Skipjack tuna Western Atlantic,
600107,909,Skipjack tuna Western Atlantic,
600107,921,Skipjack tuna Western Atlantic,
600107,927,Skipjack tuna Western Atlantic,
600107,929,Skipjack tuna Western Atlantic,
600107,944,Skipjack tuna Western Atlantic,
600107,949,Skipjack tuna Western Atlantic,
600107,951,Skipjack tuna Western Atlantic,
600107,967,Skipjack tuna Western Atlantic,
600107,24,Skipjack tuna Eastern Atlantic,
600107,120,Skipjack tuna Eastern Atlantic,
600107,132,Skipjack tuna Eastern Atlantic,
600107,178,Skipjack tuna Eastern Atlantic,
600107,180,Skipjack tuna Eastern Atlantic,
600107,204,Skipjack tuna Eastern Atlantic,
600107,226,Skipjack tuna Eastern Atlantic,
600107,266,Skipjack tuna Eastern Atlantic,
600107,270,Skipjack tuna Eastern Atlantic,
600107,288,Skipjack tuna Eastern Atlantic,
600107,324,Skipjack tuna Eastern Atlantic,
600107,384,Skipjack tuna Eastern Atlantic,
600107,430,Skipjack tuna Eastern Atlantic,
600107,478,Skipjack tuna Eastern Atlantic,
600107,566,Skipjack tuna Eastern Atlantic,
600107,620,Skipjack tuna Eastern Atlantic,
600107,621,Skipjack tuna Eastern Atlantic,
600107,622,Skipjack tuna Eastern Atlantic,
600107,624,Skipjack tuna Eastern Atlantic,
600107,678,Skipjack tuna Eastern Atlantic,
600107,686,Skipjack tuna Eastern Atlantic,
600107,694,Skipjack tuna Eastern Atlantic,
600107,723,Skipjack tuna Eastern Atlantic,
600107,768,Skipjack tuna Eastern Atlantic,
600107,855,Skipjack tuna Eastern Atlantic,
600107,946,Skipjack tuna Eastern Atlantic,
600107,948,Skipjack tuna Eastern Atlantic,
600107,962,Skipjack tuna Eastern Atlantic,
600107,970,Skipjack tuna Western Atlantic,
600107,12,Skipjack tuna Eastern Atlantic,
600107,380,Skipjack tuna Eastern Atlantic,
600107,470,Skipjack tuna Eastern Atlantic,
600107,760,Skipjack tuna Eastern Atlantic,
600107,788,Skipjack tuna Eastern Atlantic,
600107,901,Skipjack tuna Eastern Atlantic,
600107,902,Skipjack tuna Eastern Atlantic,
600107,903,Skipjack tuna Eastern Atlantic,
600107,918,Skipjack tuna Eastern Atlantic,
600107,946,Skipjack tuna Eastern Atlantic,
600107,947,Skipjack tuna Eastern Atlantic,
600107,962,Skipjack tuna Eastern Atlantic,
600107,32,Skipjack tuna Western Atlantic,
600107,76,Skipjack tuna Western Atlantic,
600107,77,Skipjack tuna Western Atlantic,
600107,254,Skipjack tuna Western Atlantic,
600107,858,Skipjack tuna Western Atlantic,
600107,969,Skipjack tuna Western Atlantic,
600107,970,Skipjack tuna Western Atlantic,
600107,24,Skipjack tuna Eastern Atlantic,
600107,178,Skipjack tuna Eastern Atlantic,
600107,180,Skipjack tuna Eastern Atlantic,
600107,266,Skipjack tuna Eastern Atlantic,
600107,516,Skipjack tuna Eastern Atlantic,
600107,654,Skipjack tuna Eastern Atlantic,
600107,855,Skipjack tuna Eastern Atlantic,
600107,856,Skipjack tuna Eastern Atlantic,
600107,953,Skipjack tuna Eastern Atlantic,
600107,954,Skipjack tuna Indian Ocean,
600107,86,Skipjack tuna Indian Ocean,
600107,174,Skipjack tuna Indian Ocean,
600107,175,Skipjack tuna Indian Ocean,
600107,251,Skipjack tuna Indian Ocean,
600107,252,Skipjack tuna Indian Ocean,
600107,356,Skipjack tuna Indian Ocean,
600107,400,Skipjack tuna Indian Ocean,
600107,404,Skipjack tuna Indian Ocean,
600107,450,Skipjack tuna Indian Ocean,
600107,462,Skipjack tuna Indian Ocean,
600107,480,Skipjack tuna Indian Ocean,
600107,508,Skipjack tuna Indian Ocean,
600107,512,Skipjack tuna Indian Ocean,
600107,586,Skipjack tuna Indian Ocean,
600107,638,Skipjack tuna Indian Ocean,
600107,690,Skipjack tuna Indian Ocean,
600107,706,Skipjack tuna Indian Ocean,
600107,784,Skipjack tuna Indian Ocean,
600107,834,Skipjack tuna Indian Ocean,
600107,895,Skipjack tuna Indian Ocean,
600107,911,Skipjack tuna Indian Ocean,
600107,917,Skipjack tuna Indian Ocean,
600107,922,Skipjack tuna Indian Ocean,
600107,923,Skipjack tuna Indian Ocean,
600107,954,Skipjack tuna Indian Ocean,
600107,968,Skipjack tuna Indian Ocean,
600107,972,Skipjack tuna Indian Ocean,
600107,36,Skipjack tuna Central Western Pacific,
600107,50,Skipjack tuna Indian Ocean,
600107,104,Skipjack tuna Indian Ocean,
600107,144,Skipjack tuna Indian Ocean,
600107,162,Skipjack tuna Indian Ocean,
600107,166,Skipjack tuna Indian Ocean,
600107,356,Skipjack tuna Indian Ocean,
600107,357,Skipjack tuna Indian Ocean,
600107,361,Skipjack tuna Central Western Pacific,
600107,459,Skipjack tuna Indian Ocean,
