"rgn_id","rgn_name","status_calc_new","status_calc_old","status_calc_dif","status_gapfilled_new","status_gapfilled_old","status_gapfilled_dif"
89,"South Georgia and the South Sandwich Islands",,,,,,
90,"Prince Edward Islands",,,,,,
91,"Crozet Islands",,,,,,
92,"Amsterdam Island and Saint Paul Island",,,,,,
93,"Kerguelen Islands",,,,,,
94,"Heard and McDonald Islands",,,,,,
105,"Bouvet Island",,,,,,
213,"Antarctica",,,,,,
1,"Cocos Islands",,,,70.57,,
2,"Christmas Island",,,,70.57,,
3,"Norfolk Island",,,,70.57,,
4,"Macquarie Island",,,,70.57,,
10,"Nauru",,,,46.9,,
12,"Wake Island",,,,46.9,,
13,"Northern Mariana Islands and Guam",,,,46.9,,
26,"Andaman and Nicobar",,,,47.05,,
30,"Glorioso Islands",,,,70.34,,
32,"R_union",,,,70.34,,
33,"Juan de Nova Island",,,,70.34,,
34,"Bassas da India",,,,70.34,,
35,"Ile Europa",,,,70.34,,
36,"Ile Tromelin",,,,70.34,,
38,"British Indian Ocean Territory",,,,82.26,,
55,"Azores",,,,51.7,,
56,"Cape Verde",,,,60.56,,
57,"Madeira",,,,51.7,,
58,"Canary Islands",,,,51.7,,
60,"Gibraltar",,,,51.7,,
63,"Western Sahara",,,,33.29,,
85,"Ascension",,,,62.91,,
88,"Tristan da Cunha",,,,62.91,,
95,"Falkland Islands",,,,62.91,,
100,"Republique du Congo",0,,,0,,
107,"Clipperton Island",,,,42.65,,
116,"Puerto Rico and Virgin Islands of the United States",,,,30.88,,
117,"British Virgin Islands",,,,30.88,,
118,"Anguilla",,,,30.88,,
119,"Saint Kitts and Nevis",,,,30.88,,
121,"Montserrat",,,,30.88,,
144,"Jan Mayen",,,,62.91,,
146,"Pitcairn",,,,54.04,,
148,"Line Group",,,,46.9,,
149,"Jarvis Island",,,,46.9,,
150,"Palmyra Atoll",,,,46.9,,
151,"American Samoa",,,,54.04,,
154,"Niue",,,,54.04,,
156,"Tokelau",,,,54.04,,
157,"Phoenix Group",,,,46.9,,
158,"Howland Island and Baker Island",,,,46.9,,
159,"Johnston Atoll",,,,46.9,,
161,"Wallis and Futuna",,,,54.04,,
185,"Monaco",,,,93.09,,
192,"Iraq",,,,54.84,,
220,"Sint Maarten",46.19,,,46.19,,
221,"Northern Saint-Martin",,,,30.88,,
227,"Jersey",,,,62.91,,
228,"Guernsey",,,,62.91,,
237,"Oecussi Ambeno",,,,47.05,,
153,"Cook Islands",98.38,0.7,97.68,98.38,0.7,97.68
140,"Guadeloupe and Martinique",0,96.97,-96.97,0,96.97,-96.97
103,"Sao Tome and Principe",0,,,0,89.64,-89.64
53,"Pakistan",100,,,100,10.37,89.63
176,"Germany",100,,,100,11.43,88.57
247,"Brunei",0,88.28,-88.28,0,88.28,-88.28
112,"Cuba",13.03,98.15,-85.12,13.03,98.15,-85.12
64,"Mauritania",100,,,100,15.48,84.52
74,"Georgia",100,,,100,16.75,83.25
79,"Israel",89.69,,,89.69,7.86,81.83
204,"Bangladesh",81.76,,,81.76,1.09,80.67
143,"Iceland",93.12,,,93.12,13.65,79.47
175,"Denmark",98.17,,,98.17,18.77,79.4
168,"Suriname",100,21.07,78.93,100,21.07,78.93
137,"Ecuador",98.52,,,98.52,21.77,76.75
188,"Slovenia",100,,,100,24.36,75.64
59,"Belgium",98.3,,,98.3,23.28,75.02
135,"Mexico",90.72,,,90.72,16.42,74.3
191,"Iran",99.84,,,99.84,28.8,71.04
31,"Seychelles",100,,,100,29.23,70.77
177,"Netherlands",92.85,,,92.85,22.57,70.28
178,"Poland",100,,,100,30.94,69.06
70,"Estonia",77.4,,,77.4,8.45,68.95
174,"Finland",100,,,100,32.01,67.99
75,"Ukraine",100,,,100,32.98,67.02
202,"Tanzania",68.82,,,68.82,1.82,67
209,"China",67.83,,,67.83,1.22,66.61
184,"Italy",82.39,,,82.39,17.64,64.75
162,"New Zealand",84.54,,,84.54,19.88,64.66
76,"Turkey",63.31,,,63.31,0.89,62.42
244,"Curacao",,,,30.88,93.25,-62.37
250,"Aruba",,,,30.88,93.03,-62.15
43,"Kenya",65.86,,,65.86,4.27,61.59
212,"Kiribati",66.35,5.87,60.48,66.35,5.87,60.48
41,"Mozambique",60.64,,,60.64,0.82,59.82
120,"Antigua and Barbuda",,90.43,,30.88,90.43,-59.55
223,"Norway",76.54,,,76.54,20.51,56.03
78,"Lebanon",62.96,,,62.96,7.24,55.72
180,"United Kingdom",71.38,,,71.38,16.57,54.81
114,"Haiti",67.51,13.42,54.09,67.51,13.42,54.09
97,"Liberia",,,,60.56,6.76,53.8
207,"Vietnam",64.48,,,64.48,12.83,51.65
193,"Guinea Bissau",,10.75,,60.56,10.75,49.81
44,"Somalia",71.02,21.22,49.8,71.02,21.22,49.8
232,"Bosnia and Herzegovina",,,,51.7,2.3,49.4
45,"Eritrea",99.99,51.27,48.72,99.99,51.27,48.72
29,"Mayotte",54.47,5.84,48.63,54.47,5.84,48.63
181,"Ireland",70.53,,,70.53,22.04,48.49
248,"Saba",46.21,,,46.21,94.14,-47.93
51,"Kuwait",,,,54.84,7.24,47.6
245,"Bonaire",46.2,,,46.2,93.44,-47.24
66,"Senegal",75.17,,,75.17,27.96,47.21
205,"Myanmar",,0,,47.05,0,47.05
48,"Oman",77.77,,,77.77,30.88,46.89
71,"Bulgaria",49.71,,,49.71,2.86,46.85
249,"Sint Eustatius",46.16,,,46.16,92.95,-46.79
