rgn_id,year,lsp_status
21,2006,0.07
21,2007,0.07
21,2008,0.07
21,2009,0.07
21,2010,0.07
21,2011,0.07
21,2012,0.07
21,2013,0.07
21,2014,0.07
21,2015,0.07
24,2000,52.935
24,2001,52.935
24,2002,52.935
24,2003,52.935
24,2004,53.165
24,2005,53.165
24,2006,56.015
24,2007,56.015
24,2008,56.015
24,2009,56.015
24,2010,56.015
24,2011,56.015
24,2012,56.015
24,2013,56.015
24,2014,56.015
24,2015,56.015
25,2000,42.815
25,2001,42.815
25,2002,44.07
25,2003,44.07
25,2004,44.07
25,2005,44.07
25,2006,44.07
25,2007,44.07
25,2008,44.07
25,2009,48.45
25,2010,48.45
25,2011,48.45
25,2012,48.45
25,2013,48.45
25,2014,48.45
25,2015,48.45
26,2000,16.02
26,2001,16.02
26,2002,16.02
26,2003,16.02
26,2004,16.02
26,2005,16.02
26,2006,16.02
26,2007,16.02
26,2008,16.02
26,2009,16.02
26,2010,16.02
26,2011,16.02
26,2012,16.02
26,2013,16.02
26,2014,16.02
26,2015,16.02
28,2000,0.335
28,2001,0.335
28,2002,0.335
28,2003,0.335
28,2004,0.335
28,2005,0.335
28,2006,0.335
28,2007,0.335
28,2008,0.335
28,2009,0.335
28,2010,0.335
28,2011,0.335
28,2012,0.335
28,2013,0.335
28,2014,0.335
28,2015,0.335
29,2000,2.815
29,2001,5.42
29,2002,5.72
29,2003,5.72
29,2004,5.72
29,2005,5.72
29,2006,5.72
29,2007,7
29,2008,7
29,2009,9.415
29,2010,100
29,2011,100
29,2012,100
29,2013,100
29,2014,100
29,2015,100
30,2000,0
30,2001,0
30,2002,0
30,2003,0
30,2004,0
30,2005,0
30,2006,0
30,2007,0
30,2008,0
30,2009,0
30,2010,0
30,2011,0
30,2012,100
30,2013,100
30,2014,100
30,2015,100
31,2000,56.05
31,2001,56.05
31,2002,56.05
31,2003,56.05
31,2004,56.065
31,2005,56.065
31,2006,56.065
31,2007,56.065
31,2008,56.065
31,2009,56.065
31,2010,56.065
31,2011,56.065
31,2012,56.065
31,2013,56.065
31,2014,56.065
31,2015,56.065
32,2000,0.065
32,2001,0.065
32,2002,0.065
32,2003,0.265
32,2004,0.265
32,2005,0.265
32,2006,0.465
32,2007,31.2
32,2008,31.4
32,2009,31.4
32,2010,31.4
32,2011,31.4
32,2012,31.4
32,2013,31.4
32,2014,31.4
32,2015,31.4
33,2000,0
33,2001,0
33,2002,0
33,2003,0
33,2004,0
33,2005,0
33,2006,0
33,2007,0
33,2008,0
33,2009,0
33,2010,0
33,2011,0
33,2012,0
33,2013,0
33,2014,0
33,2015,0
34,2000,0
34,2001,0
34,2002,0
34,2003,0
34,2004,0
34,2005,0
34,2006,0
34,2007,0
34,2008,0
34,2009,0
34,2010,0
34,2011,0
34,2012,0
34,2013,0
34,2014,0
34,2015,0
35,2000,0
35,2001,0
35,2002,0
35,2003,0
35,2004,0
35,2005,0
35,2006,0
35,2007,0
35,2008,0
35,2009,0
35,2010,0
35,2011,100
35,2012,100
35,2013,100
35,2014,100
35,2015,100
36,2000,0
36,2001,0
36,2002,0
36,2003,0
36,2004,0
36,2005,0
36,2006,0
36,2007,0
36,2008,0
36,2009,0
36,2010,0
36,2011,0
36,2012,0
36,2013,0
36,2014,0
36,2015,0
37,2000,8.615
37,2001,8.615
37,2002,8.615
37,2003,8.615
37,2004,8.65
37,2005,8.65
37,2006,8.65
37,2007,8.65
37,2008,8.65
37,2009,8.65
37,2010,8.65
37,2011,9.965
37,2012,9.965
37,2013,9.965
37,2014,9.965
37,2015,9.965
38,2000,0
38,2001,0
38,2002,0
38,2003,0
38,2004,0
38,2005,0
38,2006,0
38,2007,0
38,2008,0
38,2009,0
38,2010,100
38,2011,100
38,2012,100
38,2013,100
38,2014,100
38,2015,100
39,2000,1.485
39,2001,1.485
39,2002,1.485
39,2003,1.485
39,2004,2.065
39,2005,2.065
39,2006,2.32
39,2007,2.32
39,2008,2.32
39,2009,3.2
39,2010,3.2
39,2011,3.78
39,2012,3.8
39,2013,3.8
39,2014,3.8
39,2015,3.8
40,2000,10.5
40,2001,10.5
40,2002,10.535
40,2003,10.565
40,2004,10.565
40,2005,12.55
40,2006,12.55
40,2007,12.55
40,2008,12.55
40,2009,12.55
40,2010,12.55
40,2011,12.55
40,2012,13.75
40,2013,13.75
40,2014,13.75
40,2015,13.75
41,2000,18.385
41,2001,18.385
41,2002,26.93
41,2003,26.93
41,2004,26.93
41,2005,26.93
41,2006,26.93
41,2007,26.93
41,2008,26.93
41,2009,26.93
41,2010,26.93
41,2011,26.93
41,2012,73
41,2013,73
41,2014,73
41,2015,73
42,2000,3.63
42,2001,3.63
42,2002,3.63
42,2003,3.63
42,2004,6.68
42,2005,6.68
42,2006,15.08
