"layer","region_id","value"
"af.oaf.mora",1,0.706
"af.oaf.mora",2,0.706
"af.oaf.mora",3,0.558
"af.oaf.mora",4,0.41
"af.oaf.mora",5,0.41
"af.oaf.mora",6,0.41
"af.oaf.mora",7,0.41
"af.oaf.mora",8,0.41
"af.oaf.mora",9,0.484
"af.oaf.mora",10,0.558
"af.oaf.mora",11,0.558
"af.oaf.mora",12,0.706
"af.oaf.mora",13,0.484
"af.oaf.mora",14,0.41
"af.oaf.mora",15,0.41
"af.oaf.mora",16,0.706
"af.oaf.mora",17,0.41
"af.oaf.mora",18,0.632
"af.oaf.mora",19,0.632
"af.oaf.mora",20,0.41
"af.oaf.mora",21,0.41
"af.oaf.mora",22,0.41
"af.oaf.mora",23,0.41
"af.oaf.mora",24,0.41
"af.oaf.mora",25,0.41
"af.oaf.mora",26,0.41
"af.oaf.mora",27,0.41
"af.oaf.mora",28,0.41
"af.oaf.mora",29,0.558
"af.oaf.mora",30,0.41
"af.oaf.mora",31,0.558
"af.oaf.mora",32,0.49528064302477
"af.oaf.mora",33,0.558
"af.oaf.mora",34,0.41
"af.oaf.mora",35,0.484
"af.oaf.mora",36,0.41
"af.oaf.mora",37,0.632
"af.oaf.mora",38,0.491921243882296
"af.oaf.mora",39,0.558
"af.oaf.mora",40,0.484
"af.oaf.mora",41,0.41
"af.oaf.mora",42,0.558
"af.oaf.mora",43,0.552232838602334
"af.oaf.mora",44,0.632
"af.oaf.mora",45,0.558
"af.oaf.mora",46,0.41
"af.oaf.mora",47,0.484
"af.oaf.mora",48,0.558
"af.oaf.mora",49,0.484
"af.oaf.mora",50,0.41
"af.oaf.mora",51,0.558
"af.oaf.mora",52,0.558
"af.oaf.mora",53,0.632
"af.oaf.mora",54,0.558
"af.oaf.mora",55,0.558
"af.oaf.mora",56,0.632
"af.oaf.mora",57,0.632
"af.oaf.mora",58,0.558
"af.oaf.mora",59,0.632
"af.oaf.mora",60,0.632
"af.oaf.mora",61,0.558
"af.oaf.mora",62,0.632
"af.oaf.mora",63,0.558
"af.oaf.mora",64,0.632
"af.oaf.mora",65,0.632
"af.oaf.mora",66,0.632
"af.oaf.mora",67,0.706
"af.oaf.mora",68,0.706
"af.oaf.mora",69,0.558
"af.oaf.mora",70,0.41
"af.oaf.mora",71,0.41
"af.oaf.mora",72,0.41
"af.oaf.mora",73,0.476034005437632
"af.oaf.mora",74,0.78
"af.oaf.mora",75,0.632020315255228
"af.oaf.mora",76,0.41
"af.oaf.mora",77,0.41
"af.oaf.mora",78,0.41
"af.oaf.mora",79,0.754190182130853
"af.oaf.mora",80,0.632
"af.oaf.mora",81,0.706
"af.oaf.mora",82,0.484
"af.oaf.mora",83,0.558
"af.oaf.mora",84,0.633419329343412
"af.oaf.mora",85,0.594653877535531
"af.oaf.mora",86,0.632
"af.oaf.mora",87,0.558
"af.oaf.mora",88,0.632
"af.oaf.mora",89,0.632
"af.oaf.mora",90,0.484
"af.oaf.mora",91,0.484
"af.oaf.mora",92,0.558
"af.oaf.mora",93,0.484
"af.oaf.mora",94,0.494622084309628
"af.oaf.mora",95,0.484
"af.oaf.mora",96,0.484
"af.oaf.mora",97,0.484
"af.oaf.mora",98,0.521
"af.oaf.mora",99,0.484
"af.oaf.mora",100,0.632
"af.oaf.mora",101,0.484
"af.oaf.mora",102,0.484
"af.oaf.mora",103,0.555771907253878
"af.oaf.mora",104,0.632
"af.oaf.mora",105,0.632
"af.oaf.mora",106,0.634392772230147
"af.oaf.mora",107,0.558
"af.oaf.mora",108,0.621142670855314
"af.oaf.mora",109,0.558
"af.oaf.mora",110,0.854
"af.oaf.mora",111,0.766195596301105
"af.oaf.mora",112,0.65
"af.oaf.mora",113,0.632
"af.oaf.mora",114,0.854
"af.oaf.mora",115,0.705884936257682
"af.oaf.mora",116,0.632
"af.oaf.mora",117,0.632
"af.oaf.mora",118,0.484
"af.oaf.mora",119,0.484
"af.oaf.mora",120,0.558
"af.oaf.mora",121,0.484
"af.oaf.mora",122,0.53
"af.oaf.mora",123,0.632
"af.oaf.mora",124,0.632
"af.oaf.mora",125,0.558
"af.oaf.mora",126,0.704591794613314
"af.oaf.mora",127,0.558
"af.oaf.mora",128,0.558
"af.oaf.mora",129,0.632
"af.oaf.mora",130,0.632
"af.oaf.mora",131,0.632
"af.oaf.mora",132,0.558
"af.oaf.mora",133,0.55687483917468
"af.oaf.mora",134,0.557413820234056
"af.oaf.mora",135,0.558
"af.oaf.mora",136,0.599830326543704
"af.oaf.mora",137,0.552232838602334
"af.oaf.mora",138,0.41
"af.oaf.mora",139,0.552232838602334
"af.oaf.mora",140,0.632
"af.oaf.mora",141,0.632
"af.oaf.mora",142,0.632
"af.oaf.mora",143,0.491921243882296
"af.oaf.mora",144,0.484
"af.oaf.mora",145,0.41
"af.oaf.mora",146,0.41
"af.oaf.mora",147,0.484
"af.oaf.mora",148,0.41
"af.oaf.mora",149,0.558
"af.oaf.mora",150,0.484
"af.oaf.mora",151,0.47
"af.oaf.mora",152,0.632
"af.oaf.mora",153,0.410156564229088
"af.oaf.mora",154,0.558
"af.oaf.mora",155,0.41
"af.oaf.mora",156,0.558
"af.oaf.mora",157,0.474246966365504
"af.oaf.mora",158,0.474246966365504
"af.oaf.mora",159,0.706
"af.oaf.mora",160,0.41
"af.oaf.mora",161,0.501003586133617
"af.oaf.mora",163,0.632
"af.oaf.mora",164,0.491921243882296
"af.oaf.mora",165,0.41
"af.oaf.mora",166,0.632
"af.oaf.mora",167,0.558
"af.oaf.mora",168,0.484
"af.oaf.mora",169,0.619839140529518
"af.oaf.mora",170,0.632050379497039
"af.oaf.mora",171,0.474246966365504
"af.oaf.mora",172,0.552232838602334
"alien.species",1,0.625001954821989
"alien.species",2,0.625001954821989
"alien.species",3,0.525469810690956
"alien.species",4,0.75
"alien.species",5,1
"alien.species",6,0.5
"alien.species",7,0.5
"alien.species",8,0.5
"alien.species",9,0.5
"alien.species",10,0.743824908621855
"alien.species",11,0.5
"alien.species",12,0.625
"alien.species",13,0.5
"alien.species",14,0.5
"alien.species",15,0.5
"alien.species",16,0.75
"alien.species",17,0.625
"alien.species",18,0.5
"alien.species",19,0.5
"alien.species",20,0.5
"alien.species",21,0.519807661770851
"alien.species",22,0.875
"alien.species",23,0.5
"alien.species",24,0.704306726935814
"alien.species",25,0.5
"alien.species",26,0.5
"alien.species",27,0.5
"alien.species",28,0.5
"alien.species",29,0.625
"alien.species",30,0.5
"alien.species",31,0.5
"alien.species",32,0.5
"alien.species",33,0.5
"alien.species",34,0.5
"alien.species",35,0.5
"alien.species",36,0.75
"alien.species",37,0.5
"alien.species",38,0.5
"alien.species",39,0.5
"alien.species",40,0.5
"alien.species",41,0.5
"alien.species",42,0.5
