GOAL,COMPONENT,LAYER
artisanal-fishing,all,fishing-v1
artisanal-fishing,all,habitat-combo
artisanal-fishing,all,species-diversity-3nm
artisanal-fishing,all,wgi-all
biodiversity,species,alien-species
biodiversity,species,cites
biodiversity,species,fishing-v2-eez
biodiversity,species,habitat-combo-eez
biodiversity,species,mariculture
biodiversity,species,tourism
biodiversity,species,water
biodiversity,species,wgi-all
biodiversity,habitats-bd-corals-only,water
biodiversity,habitats-bd-corals-only,fishing-v3-eez
biodiversity,habitats-bd-corals-only,habitat-combo-eez
biodiversity,habitats-bd-corals-only,tourism
biodiversity,habitats-bd-corals-only,mariculture
biodiversity,habitats-bd-corals-only,alien-species
biodiversity,habitats-bd-corals-only,species-diversity
biodiversity,habitats-bd-corals-only,wgi-all
biodiversity,habitats-bd-seagrasses-only,water
biodiversity,habitats-bd-seagrasses-only,habitat-combo-eez
biodiversity,habitats-bd-seagrasses-only,tourism
biodiversity,habitats-bd-seagrasses-only,mariculture
biodiversity,habitats-bd-seagrasses-only,alien-species
biodiversity,habitats-bd-seagrasses-only,species-diversity
biodiversity,habitats-bd-seagrasses-only,wgi-all
biodiversity,habitats-bd-soft-bottom-with-corals,water
biodiversity,habitats-bd-soft-bottom-with-corals,fishing-v2-eez
biodiversity,habitats-bd-soft-bottom-with-corals,habitat-combo-eez
biodiversity,habitats-bd-soft-bottom-with-corals,tourism
biodiversity,habitats-bd-soft-bottom-with-corals,mariculture
biodiversity,habitats-bd-soft-bottom-with-corals,alien-species
biodiversity,habitats-bd-soft-bottom-with-corals,species-diversity
biodiversity,habitats-bd-soft-bottom-with-corals,wgi-all
biodiversity,habitats-bd-soft-bottom-without-corals,water
biodiversity,habitats-bd-soft-bottom-without-corals,fishing-v1-eez
biodiversity,habitats-bd-soft-bottom-without-corals,habitat-combo-eez
biodiversity,habitats-bd-soft-bottom-without-corals,tourism
biodiversity,habitats-bd-soft-bottom-without-corals,mariculture
biodiversity,habitats-bd-soft-bottom-without-corals,alien-species
biodiversity,habitats-bd-soft-bottom-without-corals,species-diversity
biodiversity,habitats-bd-soft-bottom-without-corals,wgi-all
carbon-storage,habitats-ca-mangrove-only,habitat-combo
carbon-storage,habitats-ca-mangrove-only,wgi-all
carbon-storage,habitats-ca-default,water
carbon-storage,habitats-ca-default,habitat-combo
carbon-storage,habitats-ca-default,wgi-all
clean-waters,all,water
clean-waters,all,wgi-all
food-provision,fishing,fishing-v2-eez
food-provision,fishing,habitat-combo-eez
food-provision,fishing,species-diversity
food-provision,fishing,wgi-all
food-provision,mariculture,mariculture
food-provision,mariculture,msi-gov
food-provision,mariculture,water
food-provision,mariculture,wgi-all
livelihoods,economy,li-gci
livelihoods,economy,wgi-all
livelihoods,livelihood,li-gci
livelihoods,livelihood,li-sector-evenness
livelihoods,livelihood,wgi-all
natural-products,corals,cites
natural-products,corals,habitat-combo
natural-products,corals,species-diversity-3nm
natural-products,corals,water
natural-products,corals,wgi-all
natural-products,fish_oil,cites
natural-products,fish_oil,fishing-v1
natural-products,fish_oil,habitat-combo
natural-products,fish_oil,species-diversity-3nm
natural-products,fish_oil,water
natural-products,fish_oil,wgi-all
natural-products,ornamentals,cites
natural-products,ornamentals,fishing-v3
natural-products,ornamentals,habitat-combo
natural-products,ornamentals,species-diversity-3nm
natural-products,ornamentals,water
natural-products,ornamentals,wgi-all
natural-products,seaweeds,cites
natural-products,seaweeds,species-diversity-3nm
natural-products,seaweeds,water
natural-products,seaweeds,wgi-all
natural-products,shells,cites
natural-products,shells,habitat-combo
natural-products,shells,species-diversity-3nm
natural-products,shells,wgi-all
natural-products,sponges,cites
natural-products,sponges,habitat-combo
natural-products,sponges,species-diversity-3nm
natural-products,sponges,wgi-all
safe-coastlines,habitats-sh-mangrove-only,habitat-combo
safe-coastlines,habitats-sh-mangrove-only,wgi-all
safe-coastlines,habitats-sh-seaice-only,wgi-all
safe-coastlines,habitats-sh-default,water
safe-coastlines,habitats-sh-default,habitat-combo
safe-coastlines,habitats-sh-default,wgi-all
sense-of-place,iconic-species,habitat-combo-eez
sense-of-place,iconic-species,cites
sense-of-place,iconic-species,fishing-v2-eez
sense-of-place,iconic-species,species-diversity
sense-of-place,iconic-species,water
sense-of-place,iconic-species,wgi-all
sense-of-place,lasting-special-places,habitat
sense-of-place,lasting-special-places,water
sense-of-place,lasting-special-places,wgi-all
tourism-and-recreation,all,water
tourism-and-recreation,all,wgi-all
