iucn_sid_from_api,iucn_sid_from_maps,pop_from_api,pop_from_map
43398244,18175.0,eastern atlantic,Pristis pectinata Eastern Atlantic
43398244,18175.0,eastern atlantic,Pristis pectinata Western Atlantic
43398250,18175.0,western atlantic,Pristis pectinata Eastern Atlantic
43398250,18175.0,western atlantic,Pristis pectinata Western Atlantic
43508842,18584848.0,eastern atlantic,Pristis pristis Eastern Atlantic subpopulation
43508842,18584848.0,eastern atlantic,Pristis pristis Western Atlantic subpopulation
43508845,18584848.0,western atlantic,Pristis pristis Eastern Atlantic subpopulation
43508845,18584848.0,western atlantic,Pristis pristis Western Atlantic subpopulation
43508905,18584848.0,indo-west pacific,Pristis pristis Indo-west Pacific subpopulation
43508949,18584848.0,eastern pacific,Pristis pristis Eastern Pacific subpopulation
46967807,6494.0,east pacific,West Pacific
46967807,6494.0,east pacific,East Pacific
46967817,6494.0,west pacific,West Pacific
46967817,6494.0,west pacific,East Pacific
46967827,6494.0,northwest atlantic,Northwest Atlantic
46967838,6494.0,southwest atlantic,Southeast Atlantic
46967838,6494.0,southwest atlantic,Southwest Atlantic
46967848,6494.0,southeast atlantic,Southeast Atlantic
46967848,6494.0,southeast atlantic,Southwest Atlantic
46967863,6494.0,southwest indian,Southwest Indian
46967873,6494.0,northeast indian,Northeast Indian
16727330,42838.0,western australian,Centrophorus moluccensis (Western Australian)
16727327,42838.0,eastern australian,Centrophorus moluccensis (Eastern Australian)
71711344,41878.0,eastern indonesian-oceania,Eastern Indonesian-Oceania subpopulation
71711476,41878.0,indian-southeast asian,Indian Ocean-Southeast Asian subpopulation
72050476,2055.0,peruvian/northern chilean,Peruvian/Northern Chilean
74491261,9660.0,baltic sea,Baltic sea subpopulation
83644804,3897.0,mediterranean,Mediterranean
83652278,3897.0,north pacific,Pacific North
83776383,3897.0,north east atlantic,Atlantic Northwest
83776383,3897.0,north east atlantic,Atlantic Notheast
84126444,3897.0,north east indian,Indian Northwest
84126444,3897.0,north east indian,Indian Northeast
84127873,3897.0,north west indian,Indian Northwest
84127873,3897.0,north west indian,Indian Northeast
84131194,3897.0,north west atlantic,Atlantic Northwest
84156809,3897.0,south pacific,Pacific South
84189617,3897.0,south east indian,Indian Southeast
84189617,3897.0,south east indian,Indian Southwest
84191235,3897.0,south west atlantic,Atlantic Southwest
84199475,3897.0,south west indian,Indian Southeast
84199475,3897.0,south west indian,Indian Southwest
61442,6335.0,cook inlet,Cook Inlet
39428,15419.0,mahakam river,Mahakam River
2468,2467.0,bering-chukchi-beaufort sea,Bering-Chukchi-Beaufort Sea
2469,2467.0,okhotsk sea,Okhotsk Sea
2472,2467.0,svalbard-barents sea (spitsbergen),Svalbard-Barents Sea (Spitsbergen)
133710,20424.0,eastern taiwan strait,Eastern Taiwan Strait
8099,8097.0,western,Western
41762,6336.0,mediterranean,Mediterranean
41761,17978.0,rio grande do sul/uruguay,Rio Grande do Sul/Uruguay
17031,17027.0,baltic sea,Baltic Sea
44187,15419.0,malampaya sound,Malampaya Sound
44556,15419.0,ayeyarwady river,Ayeyarwady River
44555,15419.0,mekong river,Mekong River
44557,15419.0,songkhla lake,Songkhla Lake
194300,22563.0,fiordland,Fiordland
