ccamlr_id2,ccamlr_id,sp_id,sp_name,sp_key,land_area_km2
48.1,481,248100,CCAMLR 48.1,XAQ481,140603.4162
48.2,482,248200,CCAMLR 48.2,XAQ482,612.8684135
48.3,483,248300,CCAMLR 48.3,XAQ483,0
48.4,484,248400,CCAMLR 48.4,XAQ484,0
48.5,485,248500,CCAMLR 48.5,XAQ485,1838602.97
48.6,486,248600,CCAMLR 48.6,XAQ486,1339695.993
58.4.1,5841,258410,CCAMLR 58.4.1,XAQ5841,2072763.789
58.4.2,5842,258420,CCAMLR 58.4.2,XAQ5842,2555086.246
58.4.3.a,58431,258431,CCAMLR 58.4.3.a,XAQ5843a,0
58.4.3.b,58432,258432,CCAMLR 58.4.3.b,XAQ5843b,0
58.4.4.a,58441,258441,CCAMLR 58.4.4.a,XAQ5844a,0
58.4.4.b,58442,258442,CCAMLR 58.4.4.b,XAQ5844b,0
58.5.1,5851,258510,CCAMLR 58.5.1,XAQ5851,0
58.5.2,5852,258520,CCAMLR 58.5.2,XAQ5852,0
58.6,586,258600,CCAMLR 58.6,XAQ586,0
58.7,587,258700,CCAMLR 58.7,XAQ587,0
88.1,881,288100,CCAMLR 88.1,XAQ881,2909030.645
88.2,882,288200,CCAMLR 88.2,XAQ882,1179125.531
88.3,883,288300,CCAMLR 88.3,XAQ883,367868.5807
