"country","comname","sciname","ico_trend","ico_gl","ico_category","iucn_sid","am_sid","popn_trend","iucn_category","spatial_source","parent_sid","subpop_sid","ico_rgn_id","rgn_id"
"Peru","Peruvian anchoveta","Engraulis ringens","unknown",FALSE,"LC",183775,"Fis-29372","Unknown","LC","am",NA,NA,138,138
"Portugal","Mediterranean monk seal","Monachus monachus","decreasing",FALSE,"CR",13653,"ITS-180659","Decreasing","CR","iucn",NA,NA,183,183
"India","Smooth-coated Otter","Lutrogale perspicillata","decreasing",FALSE,"VU",12427,NA,"Decreasing","VU","iucn",NA,NA,203,203
"India","Ganges Shark","Glyphis gangeticus","decreasing",FALSE,"CR",9281,"Fis-23138","Decreasing","CR","am",NA,NA,203,203
"Australia","Pygmy right whale","Caperea marginata","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Antarctic minke whale","Balaenoptera bonaerensis","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Southern right whale","Eubalaena australis","increasing",FALSE,"LC",133704,"ITS-552771","Unknown","CR","iucn_subpop",8153,NA,16,16
"Australia","Southern right whale","Eubalaena australis","increasing",FALSE,"LC",8153,"ITS-552771","Increasing","LC","iucn_parent",NA,133704,16,16
"Australia","Bryde's whale","Balaenoptera edeni","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Sperm whale","Physeter macrocephalus","unknown",FALSE,"VU",16370739,"ITS-180488","Decreasing","EN","iucn_subpop",41755,NA,16,16
"Australia","Sperm whale","Physeter macrocephalus","unknown",FALSE,"VU",41755,"ITS-180488","Unknown","VU","iucn_parent",NA,16370739,16,16
"Australia","Pygmy sperm whale","Kogia breviceps","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Swarf sperm whale","Kogia simus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Gray's beaked whale","Mesoplodon grayi","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Andrew's beaked whale","Mesoplodon bowdoini","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","True's beaked whale","Mesoplodon mirus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Gingko-toothed Beaked Whale","Mesoplodon ginkgodens","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Cuvier's Beaked Whale","Ziphius cavirostris","unknown",FALSE,"LC",23211,"ITS-180498","Unknown","LC","iucn_parent",NA,16381144,16,16
"Australia","Hector's Beaked Whale","Mesoplodon hectori","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Shepherd's Beaked Whale","Tasmacetus shepherdi","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Arnoux's Beaked Whale","Berardius arnuxii","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Longman's Beaked Whale","Indopacetus pacificus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Blainville's Beaked Whale","Mesoplodon densirostris","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Strap-toothed Beaked Whale","Mesoplodon layardii","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Southern Bottlenose Whale","Hyperoodon planifrons","unknown",FALSE,"LC",10708,"ITS-180505","Unknown","LC","iucn",NA,NA,16,16
"Australia","Killer Whale","Orcinus orca","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Pygmy Killer Whale","Feresa attenuata","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","False Killer Whale","Pseudorca crassidens","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Long-finned Pilot Whale","Globicephala melas","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Short-finned Pilot Whale","Globicephala macrorhynchus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Melon-headed Whale","Peponocephala electra","unknown",FALSE,"LC",16564,"ITS-180459","Unknown","LC","iucn",NA,NA,16,16
"Australia","Rough Toothed Dolphin","Steno bredanensis","unknown",FALSE,"LC",20738,"ITS-180417","Unknown","LC","iucn",NA,NA,16,16
"Pakistan","Rough Toothed Dolphin","Steno bredanensis","unknown",FALSE,"LC",20738,"ITS-180417","Unknown","LC","iucn",NA,NA,53,53
"Australia","Dusky Dolphin","Lagenorhynchus obscurus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Hourglass Dolphin","Lagenorhynchus cruciger","unknown",FALSE,"LC",11144,"ITS-180447","Unknown","LC","iucn",NA,NA,16,16
"Australia","Risso's Dolphin","Grampus griseus","unknown",FALSE,"LC",9461,"ITS-180457","Unknown","LC","iucn_parent",NA,16378423,16,16
"Australia","Indo-Pacific Bottlenose Dolphin","Tursiops aduncus","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Pantropical Spotted Dolphin","Stenella attenuata","unknown",FALSE,"LC",20729,"ITS-180430","Unknown","LC","iucn",NA,NA,16,16
"Australia","Spinner Dolphin","Stenella longirostris","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Striped Dolphin","Stenella coeruleoalba","unknown",FALSE,"LC",16674437,"ITS-180434","Unknown","VU","iucn_subpop",20731,NA,16,16
"Australia","Striped Dolphin","Stenella coeruleoalba","unknown",FALSE,"LC",20731,"ITS-180434","Unknown","LC","iucn_parent",NA,16674437,16,16
"Australia","Common Dophin","Delphinus delphis","unknown",FALSE,"LC",41762,"ITS-180438","Decreasing","EN","iucn_subpop",6336,NA,16,16
"Australia","Common Dophin","Delphinus delphis","unknown",FALSE,"LC",6336,"ITS-180438","Unknown","LC","iucn_parent",NA,41762,16,16
"Australia","Fraser's Dolphin","Lagenodelphis hosei","unknown",FALSE,"LC",11140,"ITS-180440","Unknown","LC","iucn",NA,NA,16,16
"Australia","Southern Right Whale Dolphin","Lissodelphis peronii","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Spectacled Porpoise","Phocoena dioptrica","unknown",FALSE,"DD",NA,NA,NA,NA,NA,NA,NA,16,16
"Australia","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",16369383,"ITS-180426","Decreasing","VU","iucn_subpop",22563,NA,16,16
"Australia","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",22563,"ITS-180426","Unknown","LC","iucn_parent",NA,194300,16,16
"Australia","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",194300,"ITS-180426","Decreasing","CR","iucn_subpop",22563,NA,16,16
"Pakistan","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",16369383,"ITS-180426","Decreasing","VU","iucn_subpop",22563,NA,53,53
"Pakistan","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",22563,"ITS-180426","Unknown","LC","iucn_parent",NA,194300,53,53
"Pakistan","Bottlenose Dolphin","Tursiops truncatus","unknown",FALSE,"LC",194300,"ITS-180426","Decreasing","CR","iucn_subpop",22563,NA,53,53
"Russia","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,73
"United States","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,163
"Svalbard and Jan Mayen","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,NA
"Norway","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,223
"Canada","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,218
"Greenland","Polar bear","Ursus maritimus","decreasing",TRUE,"VU",22823,NA,"Decreasing","VU","iucn",NA,NA,NA,145
"Angola","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,200
"Argentina","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,172
"Australia","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,16,16
"Bahamas","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,110
"Bangladesh","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,204
"Benin","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,99
"Bermuda","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,108
"Brazil","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,171
"Cameroon","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,197
"Canada","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,218
"Cape Verde","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,56
"Chile","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,224
"China","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,209
"Cocos Islands","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,1
"Colombia","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,132
"Comoro Islands","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,28
"Cook Islands","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,153
"Costa Rica","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,130
"C<aa>te d'Ivoire","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,NA
"Djibouti","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,46
"East Timor","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,231
"Ecuador","Blue whale","Balaenoptera musculus","increasing",TRUE,"EN",2477,"ITS-180528","Increasing","EN","iucn_parent",NA,2479,NA,137
