"rgn_id","mean_cat","mean_trend","status"
1,0.388235,NaN,0.482353
2,0.4,NaN,0.466667
3,0.414286,NaN,0.447619
4,0.35,NaN,0.533333
5,0.380952,NaN,0.492063
6,0.388889,NaN,0.481481
7,0.375,NaN,0.5
8,0.386667,NaN,0.484444
9,0.4,NaN,0.466667
10,0.383333,NaN,0.488889
11,0.385714,NaN,0.485714
12,0.36,NaN,0.52
13,0.383333,NaN,0.488889
14,0.390909,NaN,0.478788
15,0.4,NaN,0.466667
16,0.257895,NaN,0.65614
17,0.355556,NaN,0.525926
18,0.388889,NaN,0.481481
19,0.4,NaN,0.466667
20,0.38,NaN,0.493333
21,0.3625,NaN,0.516667
24,0.383333,NaN,0.488889
25,0.373333,NaN,0.502222
26,0.4,NaN,0.466667
28,0.388235,NaN,0.482353
29,0.4,NaN,0.466667
30,0.4,NaN,0.466667
31,0.388889,NaN,0.481481
32,0.41,NaN,0.453333
33,0.4,NaN,0.466667
34,0.4,NaN,0.466667
35,0.4,NaN,0.466667
36,0.373333,NaN,0.502222
37,0.388889,NaN,0.481481
38,0.4,NaN,0.466667
39,0.386667,NaN,0.484444
40,0.386667,NaN,0.484444
41,0.380952,NaN,0.492063
42,0.409524,NaN,0.453968
43,0.4,NaN,0.466667
44,0.388889,NaN,0.481481
45,0.4,NaN,0.466667
46,0.381818,NaN,0.490909
47,0.388235,NaN,0.482353
48,0.375,NaN,0.5
49,0.4,NaN,0.466667
50,0.4,NaN,0.466667
51,0.6,NaN,0.2
53,0.3375,NaN,0.55
54,0.35,NaN,0.533333
55,0.442857,NaN,0.409524
56,0.423529,NaN,0.435294
57,0.446154,NaN,0.405128
58,0.471429,NaN,0.371429
59,0.366667,NaN,0.511111
60,0.523077,NaN,0.302564
61,0.413333,NaN,0.448889
62,0.442105,NaN,0.410526
63,0.442105,NaN,0.410526
64,0.44,NaN,0.413333
65,0.4,NaN,0.466667
66,0.411765,NaN,0.45098
67,0.444444,NaN,0.407407
68,0.425,NaN,0.433333
71,0.2,NaN,0.733333
72,0.2,NaN,0.733333
73,0.3375,NaN,0.55
74,0.2,NaN,0.733333
75,0.2,NaN,0.733333
76,0.45,NaN,0.4
77,0.6,NaN,0.2
78,0.6,NaN,0.2
79,0.4,NaN,0.466667
80,0.42,NaN,0.44
81,0.6,NaN,0.2
82,0.45,NaN,0.4
84,0.509091,NaN,0.321212
85,0.436364,NaN,0.418182
86,0.415385,NaN,0.446154
88,0.4,NaN,0.466667
89,0.4,NaN,0.466667
90,0.333333,NaN,0.555556
91,0.35,NaN,0.533333
92,0.4,NaN,0.466667
93,0.333333,NaN,0.555556
95,0.4,NaN,0.466667
96,0.436364,NaN,0.418182
97,0.433333,NaN,0.422222
98,0.428571,NaN,0.428571
99,0.415385,NaN,0.446154
100,0.416667,NaN,0.444444
101,0.435294,NaN,0.419608
102,0.390476,NaN,0.479365
103,0.414286,NaN,0.447619
104,0.414286,NaN,0.447619
106,0.414286,NaN,0.447619
107,0.4,NaN,0.466667
108,0.423529,NaN,0.435294
110,0.433333,NaN,0.422222
111,0.384615,NaN,0.487179
112,0.413333,NaN,0.448889
113,0.4,NaN,0.466667
114,0.415385,NaN,0.446154
115,0.385714,NaN,0.485714
116,0.369231,NaN,0.507692
117,0.369231,NaN,0.507692
118,0.369231,NaN,0.507692
119,0.4,NaN,0.466667
120,0.369231,NaN,0.507692
121,0.436364,NaN,0.418182
122,0.4,NaN,0.466667
123,0.369231,NaN,0.507692
124,0.4,NaN,0.466667
125,0.442857,NaN,0.409524
126,0.430769,NaN,0.425641
127,0.430769,NaN,0.425641
129,0.428571,NaN,0.428571
130,0.425,NaN,0.433333
131,0.425,NaN,0.433333
132,0.425,NaN,0.433333
133,0.416667,NaN,0.444444
134,0.385714,NaN,0.485714
135,0.426087,NaN,0.431884
136,0.430769,NaN,0.425641
137,0.3625,NaN,0.516667
138,0.4,NaN,0.466667
139,0.428571,NaN,0.428571
140,0.369231,NaN,0.507692
141,0.381818,NaN,0.490909
143,0.345455,NaN,0.539394
144,0.24,NaN,0.68
145,0.35,NaN,0.533333
146,0.32,NaN,0.573333
147,0.375,NaN,0.5
148,0.369231,NaN,0.507692
149,0.369231,NaN,0.507692
150,0.36,NaN,0.52
151,0.25,NaN,0.666667
152,0.311111,NaN,0.585185
153,0.35,NaN,0.533333
154,0.24,NaN,0.68
155,0.376471,NaN,0.498039
156,0.4,NaN,0.466667
157,0.36,NaN,0.52
158,0.4,NaN,0.466667
159,0.35,NaN,0.533333
161,0.32,NaN,0.573333
162,0.41,NaN,0.453333
