"rgn_id","mean_cat","score"
1,0.466667,0.377778
2,0.466667,0.377778
3,0.2,0.733333
5,0.381818,0.490909
6,0.422222,0.437037
7,0.436364,0.418182
8,0.428571,0.428571
9,0.444444,0.407407
10,0.342857,0.542857
11,0.35,0.533333
12,0.6,0.2
13,0.428571,0.428571
14,0.488889,0.348148
15,0.436364,0.418182
16,0.422222,0.437037
17,0.488889,0.348148
18,0.466667,0.377778
19,0.375,0.5
20,0.4,0.466667
21,0.4,0.466667
24,0.52,0.306667
25,0.488889,0.348148
28,0.48,0.36
29,0.48,0.36
31,0.428571,0.428571
32,0.2,0.733333
37,0.475,0.366667
38,0.5,0.333333
39,0.422222,0.437037
40,0.466667,0.377778
41,0.442857,0.409524
42,0.414286,0.447619
43,0.4,0.466667
44,0.4,0.466667
45,0.45,0.4
46,0.314286,0.580952
47,0.42,0.44
48,0.485714,0.352381
49,0.4,0.466667
50,0.425,0.433333
51,0.533333,0.288889
52,0.566667,0.244444
53,0.371429,0.504762
54,0.5,0.333333
56,0.36,0.52
59,0.4,0.466667
60,0.4,0.466667
61,0.4,0.466667
62,0.381818,0.490909
63,0.35,0.533333
64,0.38,0.493333
65,0.32,0.573333
66,0.44,0.413333
67,0.4,0.466667
68,0.4,0.466667
71,0.4,0.466667
72,0.4,0.466667
73,0.4,0.466667
74,0.4,0.466667
75,0.4,0.466667
76,0.428571,0.428571
77,0.4,0.466667
78,0.4,0.466667
79,0.6,0.2
80,0.4,0.466667
81,0.466667,0.377778
82,0.457143,0.390476
84,0.4,0.466667
86,0.6,0.2
89,0.2,0.733333
91,0.7,0.0666667
92,0.7,0.0666667
93,0.7,0.0666667
95,0.2,0.733333
96,0.371429,0.504762
97,0.4,0.466667
98,0.4,0.466667
99,0.4,0.466667
100,0.32,0.573333
101,0.4,0.466667
102,0.384615,0.487179
103,0.55,0.266667
104,0.428571,0.428571
106,0.4,0.466667
108,0.36,0.52
110,0.5,0.333333
111,0.5,0.333333
112,0.5,0.333333
113,0.466667,0.377778
114,0.5,0.333333
115,0.488889,0.348148
116,0.48,0.36
117,0.488889,0.348148
118,0.36,0.52
119,0.485714,0.352381
120,0.475,0.366667
121,0.36,0.52
122,0.457143,0.390476
123,0.433333,0.422222
124,0.475,0.366667
125,0.5,0.333333
126,0.533333,0.288889
127,0.433333,0.422222
129,0.454545,0.393939
130,0.454545,0.393939
131,0.48,0.36
132,0.48,0.36
133,0.475,0.366667
134,0.485714,0.352381
135,0.509091,0.321212
136,0.425,0.433333
137,0.46,0.386667
138,0.333333,0.555556
139,0.48,0.36
140,0.488889,0.348148
143,0.3,0.6
145,0.4,0.466667
146,0.333333,0.555556
147,0.355556,0.525926
150,0.4,0.466667
151,0.428571,0.428571
152,0.4,0.466667
153,0.371429,0.504762
154,0.366667,0.511111
155,0.371429,0.504762
156,0.4,0.466667
159,0.4,0.466667
161,0.32,0.573333
162,0.355556,0.525926
163,0.425,0.433333
164,0.457143,0.390476
166,0.475,0.366667
167,0.425,0.433333
168,0.425,0.433333
169,0.425,0.433333
171,0.457143,0.390476
172,0.366667,0.511111
173,0.377778,0.496296
175,0.333333,0.555556
176,0.4,0.466667
177,0.3,0.6
179,0.433333,0.422222
180,0.333333,0.555556
181,0.4,0.466667
182,0.4,0.466667
183,0.371429,0.504762
184,0.457143,0.390476
186,0.36,0.52
187,0.36,0.52
188,0.333333,0.555556
190,0.466667,0.377778
191,0.466667,0.377778
192,0.3,0.6
193,0.375,0.5
194,0.375,0.5
195,0.4,0.466667
196,0.333333,0.555556
197,0.333333,0.555556
198,0.333333,0.555556
199,0.6,0.2
200,0.425,0.433333
202,0.4,0.466667
203,0.483333,0.355556
204,0.433333,0.422222
205,0.488889,0.348148
206,0.525,0.3
207,0.45,0.4
208,0.4,0.466667
209,0.490909,0.345455
210,0.446154,0.405128
212,0.375,0.5
214,0.433333,0.422222
215,0.4,0.466667
216,0.466667,0.377778
218,0.36,0.52
220,0.533333,0.288889
222,0.3,0.6
223,0.35,0.533333
224,0.375,0.5
231,0.45,0.4
232,0.4,0.466667
244,0.533333,0.288889
245,0.533333,0.288889
247,0.4,0.466667
248,0.533333,0.288889
249,0.533333,0.288889
250,0.485714,0.352381
255,0.6,0.2
