"rgn_id","mean_cat","score"
1,0.4,0.466667
2,0.466667,0.377778
3,0.2,0.733333
5,0.36,0.52
6,0.4,0.466667
7,0.4,0.466667
8,0.4,0.466667
9,0.444444,0.407407
10,0.3,0.6
11,0.34,0.546667
12,0.6,0.2
13,0.436364,0.418182
14,0.430769,0.425641
15,0.426667,0.431111
16,0.268421,0.642105
17,0.4,0.466667
18,0.436364,0.418182
19,0.36,0.52
20,0.285714,0.619048
21,0.285714,0.619048
24,0.5,0.333333
25,0.45,0.4
28,0.428571,0.428571
29,0.48,0.36
31,0.4,0.466667
32,0.342857,0.542857
37,0.44,0.413333
38,0.5,0.333333
39,0.4,0.466667
40,0.442857,0.409524
41,0.411111,0.451852
42,0.422222,0.437037
43,0.4,0.466667
44,0.384615,0.487179
45,0.461538,0.384615
46,0.311111,0.585185
47,0.4,0.466667
48,0.444444,0.407407
49,0.4,0.466667
50,0.425,0.433333
51,0.533333,0.288889
52,0.566667,0.244444
53,0.290909,0.612121
54,0.4,0.466667
55,1,-0.333333
56,0.333333,0.555556
57,1,-0.333333
58,1,-0.333333
59,0.5,0.333333
60,0.475,0.366667
61,0.333333,0.555556
62,0.411765,0.45098
63,0.4,0.466667
64,0.357143,0.52381
65,0.228571,0.695238
66,0.384615,0.487179
67,0.433333,0.422222
68,0.466667,0.377778
71,0.4,0.466667
72,0.4,0.466667
73,0.3,0.6
74,0.4,0.466667
75,0.4,0.466667
76,0.45,0.4
77,0.45,0.4
78,0.466667,0.377778
79,0.54,0.28
80,0.4,0.466667
81,0.485714,0.352381
82,0.457143,0.390476
84,0.428571,0.428571
86,0.4,0.466667
89,0.4,0.466667
91,0.533333,0.288889
92,0.533333,0.288889
93,0.533333,0.288889
95,0.4,0.466667
96,0.371429,0.504762
97,0.4,0.466667
98,0.4,0.466667
99,0.375,0.5
100,0.35,0.533333
101,0.416667,0.444444
102,0.377778,0.496296
103,0.466667,0.377778
104,0.4,0.466667
106,0.38,0.493333
108,0.366667,0.511111
110,0.428571,0.428571
111,0.4,0.466667
112,0.414286,0.447619
113,0.4,0.466667
114,0.422222,0.437037
115,0.4,0.466667
116,0.4,0.466667
117,0.4,0.466667
118,0.257143,0.657143
119,0.4,0.466667
120,0.363636,0.515152
121,0.36,0.52
122,0.377778,0.496296
123,0.311111,0.585185
124,0.4,0.466667
125,0.436364,0.418182
126,0.425,0.433333
127,0.35,0.533333
129,0.414286,0.447619
130,0.414286,0.447619
131,0.430769,0.425641
132,0.430769,0.425641
133,0.4,0.466667
134,0.444444,0.407407
135,0.442105,0.410526
136,0.381818,0.490909
137,0.4,0.466667
138,0.369231,0.507692
139,0.416667,0.444444
140,0.4,0.466667
141,0.466667,0.377778
143,0.444444,0.407407
144,0.133333,0.822222
145,0.355556,0.525926
146,0.355556,0.525926
147,0.345455,0.539394
150,0.4,0.466667
151,0.375,0.5
152,0.35,0.533333
153,0.355556,0.525926
154,0.35,0.533333
155,0.325,0.566667
156,0.4,0.466667
159,0.4,0.466667
161,0.266667,0.644444
162,0.4,0.466667
163,0.376923,0.497436
164,0.425,0.433333
166,0.4,0.466667
167,0.4,0.466667
168,0.4,0.466667
169,0.36,0.52
171,0.42,0.44
172,0.363636,0.515152
173,0.371429,0.504762
175,0.266667,0.644444
176,0.6,0.2
177,0.44,0.413333
179,0.436364,0.418182
180,0.4,0.466667
181,0.444444,0.407407
182,0.428571,0.428571
183,0.442857,0.409524
184,0.422222,0.437037
185,0.6,0.2
186,0.36,0.52
187,0.36,0.52
188,0.333333,0.555556
190,0.466667,0.377778
191,0.425,0.433333
192,0.4,0.466667
193,0.375,0.5
194,0.375,0.5
195,0.377778,0.496296
196,0.325,0.566667
197,0.325,0.566667
198,0.325,0.566667
199,0.48,0.36
200,0.433333,0.422222
202,0.385714,0.485714
203,0.45,0.4
204,0.36,0.52
205,0.45,0.4
206,0.472727,0.369697
207,0.4,0.466667
208,0.4,0.466667
209,0.44,0.413333
210,0.4,0.466667
212,0.333333,0.555556
213,0,1
214,0.446154,0.405128
215,0.4,0.466667
216,0.4125,0.45
218,0.328571,0.561905
219,0.36,0.52
220,0.4,0.466667
222,0.3,0.6
223,0.418182,0.442424
224,0.369231,0.507692
231,0.4,0.466667
232,0.4,0.466667
244,0.4,0.466667
245,0.4,0.466667
247,0.4,0.466667
248,0.4,0.466667
249,0.4,0.466667
250,0.377778,0.496296
255,0.6,0.2
