"rgn_id","mean_cat","score"
1,0.3,0.6
5,0.3,0.6
6,0.3,0.6
7,0,1
8,0.3,0.6
10,0,1
11,0.3,0.6
13,0.45,0.4
14,0.3,0.6
15,0.4,0.466667
16,0.136842,0.817544
17,0,1
18,0.3,0.6
19,0.3,0.6
20,0.24,0.68
21,0.24,0.68
24,0.4,0.466667
25,0.333333,0.555556
28,0.3,0.6
31,0.3,0.6
32,0.45,0.4
37,0.3,0.6
39,0.3,0.6
40,0.3,0.6
41,0.3,0.6
42,0.45,0.4
43,0.4,0.466667
44,0.3,0.6
45,0.6,0.2
46,0.3,0.6
47,0.3,0.6
48,0.3,0.6
53,0.15,0.8
54,0,1
55,1,0
56,0.3,0.6
57,1,0
58,1,0
59,0.533333,0.288889
60,0.6,0.2
61,0.2,0.733333
62,0.466667,0.377778
63,0.466667,0.377778
64,0.3,0.6
65,0,1
66,0.2,0.733333
67,0.6,0.2
68,0.6,0.2
73,0.275,0.633333
76,0.6,0.2
77,0.6,0.2
78,0.6,0.2
79,0.3,0.6
80,0.4,0.466667
81,0.6,0.2
84,0.6,0.2
86,0.3,0.6
89,0.45,0.4
91,0.45,0.4
92,0.45,0.4
93,0.45,0.4
95,0.45,0.4
98,0.4,0.466667
99,0.3,0.6
100,0.4,0.466667
101,0.45,0.4
102,0.36,0.52
103,0.3,0.6
104,0.3,0.6
106,0.3,0.6
108,0.4,0.466667
110,0.36,0.52
111,0.2,0.733333
112,0.2,0.733333
113,0,1
114,0.3,0.6
115,0.2,0.733333
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
122,0,1
123,0,1
124,0,1
125,0.3,0.6
126,0,1
127,0,1
129,0.3,0.6
130,0.3,0.6
131,0.3,0.6
132,0.3,0.6
133,0,1
134,0.3,0.6
135,0.371429,0.504762
136,0.3,0.6
137,0.2,0.733333
138,0.45,0.4
139,0,1
140,0,1
141,0.466667,0.377778
143,0.485714,0.352381
144,0.133333,0.822222
145,0.35,0.533333
146,0.4,0.466667
147,0.3,0.6
151,0,1
152,0,1
153,0.3,0.6
154,0.3,0.6
155,0,1
161,0,1
162,0.4,0.466667
163,0.311111,0.585185
166,0,1
169,0,1
171,0.36,0.52
172,0.36,0.52
173,0.36,0.52
175,0.2,0.733333
176,0.8,0
177,0.533333,0.288889
179,0.44,0.413333
180,0.466667,0.377778
181,0.466667,0.377778
182,0.466667,0.377778
183,0.466667,0.377778
184,0.3,0.6
185,0.6,0.2
191,0.3,0.6
192,0.6,0.2
195,0.3,0.6
196,0.3,0.6
197,0.3,0.6
198,0.3,0.6
199,0.4,0.466667
200,0.45,0.4
202,0.3,0.6
203,0.35,0.533333
204,0.25,0.666667
205,0.333333,0.555556
206,0.333333,0.555556
207,0.2,0.733333
208,0.4,0.466667
209,0.3,0.6
210,0.3,0.6
212,0,1
213,0,1
214,0.6,0.2
216,0.25,0.666667
218,0.311111,0.585185
219,0.36,0.52
220,0,1
222,0.3,0.6
223,0.457143,0.390476
224,0.36,0.52
231,0.3,0.6
244,0,1
245,0,1
247,0.4,0.466667
248,0,1
249,0,1
250,0,1
