"rgn_id","am_sid","comname","sciname","ico_trend","ico_category","iucn_sid","popn_trend","iucn_category","spatial_source","parent_sid","subpop_sid"
1,"Fis-23047","Gray reef shark","Carcharhinus amblyrhynchos","unknown","NT",39365,"Unknown","NT","am",NA,NA
1,"Fis-23063","Blacktip reef shark","Carcharhinus melanopterus","decreasing","NT",39375,"Decreasing","NT","am",NA,NA
1,"Fis-23129","Tiger Shark","Galeocerdo cuvier","unknown","NT",39378,"Unknown","NT","am",NA,NA
1,"Fis-23222","Blue Shark","Prionace glauca","unknown","NT",39381,"Unknown","NT","am",NA,NA
1,"Fis-23311","Whitetip reef shark","Triaenodon obesus","unknown","NT",39384,"Unknown","NT","am",NA,NA
1,"Fis-23899","Thresher Shark","Alopias vulpinus","decreasing","VU",39339,"Decreasing","VU","am",NA,NA
1,"Fis-29423","Longfin Mako","Isurus paucus","decreasing","VU",60225,"Decreasing","VU","am",NA,NA
1,"Fis-30583","Whale Shark","Rhincodon typus","decreasing","VU",19488,"Decreasing","VU","am",NA,NA
1,"Fis-31463","Humphead wrasse, Napoleon Wrasse","Cheilinus undulatus","decreasing","EN",4592,"Decreasing","EN","am",NA,NA
1,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161750,"Decreasing","VU","am_subpop",39341,NA
1,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",39341,"Decreasing","VU","am_parent",NA,161749
1,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161749,"Decreasing","VU","am_subpop",39341,NA
1,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161751,"Decreasing","NT","am_subpop",39341,NA
1,"Rep-1408","Loggerhead Turtle","Caretta caretta","needs updating","EN",3897,NA,"EN","am",NA,NA
1,"Rep-1599","Green Turtle","Chelonia mydas","decreasing","EN",4615,"Decreasing","EN","am_parent",NA,16285718
1,"Rep-1599","Green Turtle","Chelonia mydas","decreasing","EN",16285718,"Increasing","LC","am_subpop",4615,NA
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967827,"Increasing","LC","am_subpop",6494,NA
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",6494,"Decreasing","VU","am_parent",NA,46967807
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967807,"Decreasing","CR","am_subpop",6494,NA
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967838,"Increasing","CR","am_subpop",6494,NA
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967817,"Decreasing","CR","am_subpop",6494,NA
1,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967863,"Decreasing","CR","am_subpop",6494,NA
1,"Rep-2852","Hawksbill Turtle","Eretmochelys imbricata","decreasing","CR",8005,"Decreasing","CR","am",NA,NA
1,"Rep-3850","Olive Ridley Turtle","Lepidochelys olivacea","decreasing","VU",11534,"Decreasing","VU","am",NA,NA
2,"Fis-23047","Gray reef shark","Carcharhinus amblyrhynchos","unknown","NT",39365,"Unknown","NT","am",NA,NA
2,"Fis-23063","Blacktip reef shark","Carcharhinus melanopterus","decreasing","NT",39375,"Decreasing","NT","am",NA,NA
2,"Fis-23129","Tiger Shark","Galeocerdo cuvier","unknown","NT",39378,"Unknown","NT","am",NA,NA
2,"Fis-23222","Blue Shark","Prionace glauca","unknown","NT",39381,"Unknown","NT","am",NA,NA
2,"Fis-23311","Whitetip reef shark","Triaenodon obesus","unknown","NT",39384,"Unknown","NT","am",NA,NA
2,"Fis-23899","Thresher Shark","Alopias vulpinus","decreasing","VU",39339,"Decreasing","VU","am",NA,NA
2,"Fis-29423","Longfin Mako","Isurus paucus","decreasing","VU",60225,"Decreasing","VU","am",NA,NA
2,"Fis-30583","Whale Shark","Rhincodon typus","decreasing","VU",19488,"Decreasing","VU","am",NA,NA
2,"Fis-31463","Humphead wrasse, Napoleon Wrasse","Cheilinus undulatus","decreasing","EN",4592,"Decreasing","EN","am",NA,NA
2,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161750,"Decreasing","VU","am_subpop",39341,NA
2,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",39341,"Decreasing","VU","am_parent",NA,161749
2,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161749,"Decreasing","VU","am_subpop",39341,NA
2,"Fis-58485","Shortfin Mako","Isurus oxyrinchus","decreasing","VU",161751,"Decreasing","NT","am_subpop",39341,NA
2,"Rep-1408","Loggerhead Turtle","Caretta caretta","needs updating","EN",3897,NA,"EN","am",NA,NA
2,"Rep-1599","Green Turtle","Chelonia mydas","decreasing","EN",4615,"Decreasing","EN","am_parent",NA,16285718
2,"Rep-1599","Green Turtle","Chelonia mydas","decreasing","EN",16285718,"Increasing","LC","am_subpop",4615,NA
2,"Rep-2331","Leatherback Turtle","Dermochelys coriacea","decreasing","CR",46967827,"Increasing","LC","am_subpop",6494,NA
