iucn_sid,am_sid,am_cat,sciname,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
22735615,NA,NA,Charadrius dealbatus,Unknown,DD,BIRDS,NA,NA,iucn-bli,NA,NA
22698567,NA,NA,Oceanodroma hornbyi,Unknown,DD,BIRDS,NA,NA,iucn-bli,NA,NA
22698543,NA,NA,Oceanodroma markhami,Unknown,DD,BIRDS,NA,NA,iucn-bli,NA,NA
22698442,NA,NA,Oceanites gracilis,Stable,DD,BIRDS,NA,NA,iucn-bli,NA,0
45354823,NA,NA,Oceanites pincoyae,Unknown,DD,BIRDS,NA,NA,iucn-bli,NA,NA
192330,NA,NA,Conus hypochlorus,Unknown,DD,CONESNAILS,192330,NA,iucn,NA,NA
192344,NA,NA,Conus sartii,Unknown,DD,CONESNAILS,192344,NA,iucn,NA,NA
192656,W-Msc-428195,DD,Conus luteus,Unknown,DD,CONESNAILS,192656,NA,iucn,NA,NA
192552,NA,NA,Conus moncuri,Unknown,DD,CONESNAILS,192552,NA,iucn,NA,NA
192294,NA,NA,Conus eduardi,Unknown,DD,CONESNAILS,192294,NA,iucn,NA,NA
192660,NA,NA,Conus subulatus,Unknown,DD,CONESNAILS,192660,NA,iucn,NA,NA
192750,NA,NA,Conus moylani,Unknown,DD,CONESNAILS,192750,NA,iucn,NA,NA
192756,NA,NA,Conus evansi,NA,DD,CONESNAILS,192756,NA,iucn,NA,NA
132739,Fis-26145,DD,Epinephelus undulosus,Unknown,DD,GROUPERS,132739,NA,iucn,NA,NA
132739,NA,NA,Bodianus undulosus,Unknown,DD,GROUPERS,132739,NA,iucn,NA,NA
132739,NA,NA,Cephalopholis undulosus,Unknown,DD,GROUPERS,132739,NA,iucn,NA,NA
132739,NA,NA,Serranus amboinensis,Unknown,DD,GROUPERS,132739,NA,iucn,NA,NA
132765,Fis-25402,DD,Epinephelus goreensis,Unknown,DD,GROUPERS,132765,NA,iucn,NA,NA
132725,Fis-26116,DD,Cephalopholis aurantia,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Cephalopholis analis,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Cephalopholis aurantius,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Cephalopholis indelibilis,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Cephalopholis obtusauris,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Cephalopholis obtusaurus,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Epinephelus analis,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Epinephelus aurantius,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Epinephelus miltostigma,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Serranus analis,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Serranus aurantius,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
132725,NA,NA,Serranus rufus,Unknown,DD,GROUPERS,132725,NA,iucn,NA,NA
13248,ITS-Mam-180507,DD,Mesoplodon hectori,Unknown,DD,MARINE_MAMMALS_update,13248,NA,iucn,NA,NA
2762,ITS-Mam-180495,DD,Berardius arnuxii,Unknown,DD,MARINE_MAMMALS_update,2762,NA,iucn,NA,NA
41670,ITS-Mam-622021,DD,Histriophoca fasciata,Unknown,DD,MARINE_MAMMALS_update,41670,NA,iucn,NA,NA
41670,NA,NA,Phoca fasciata,Unknown,DD,MARINE_MAMMALS_update,41670,NA,iucn,NA,NA
41760,ITS-Mam-612598,DD,Mesoplodon traversii,Unknown,DD,MARINE_MAMMALS_update,41760,NA,iucn,NA,NA
41760,NA,NA,Mesoplodon bahamondi,Unknown,DD,MARINE_MAMMALS_update,41760,NA,iucn,NA,NA
2763,ITS-Mam-180496,DD,Berardius bairdii,Unknown,DD,MARINE_MAMMALS_update,2763,NA,iucn,NA,NA
20733,ITS-Mam-180429,DD,Stenella longirostris,Unknown,DD,MARINE_MAMMALS_update,20733,NA,iucn,NA,NA
13243,ITS-Mam-180512,DD,Mesoplodon carlhubbsi,Unknown,DD,MARINE_MAMMALS_update,13243,NA,iucn,NA,NA
6337,ITS-Mam-555654,DD,Delphinus capensis,Unknown,DD,MARINE_MAMMALS_update,6337,NA,iucn,NA,NA
6337,NA,NA,Delphinus bairdii,Unknown,DD,MARINE_MAMMALS_update,6337,NA,iucn,NA,NA
6337,NA,NA,Delphinus tropicalis,Unknown,DD,MARINE_MAMMALS_update,6337,NA,iucn,NA,NA
20732,ITS-Mam-552460,DD,Stenella frontalis,Unknown,DD,MARINE_MAMMALS_update,20732,NA,iucn,NA,NA
20732,NA,NA,Stenella plagiodon,Unknown,DD,MARINE_MAMMALS_update,20732,NA,iucn,NA,NA
18596,ITS-Mam-180463,DD,Pseudorca crassidens,Unknown,DD,MARINE_MAMMALS_update,18596,NA,iucn,NA,NA
9250,ITS-Mam-552461,DD,Globicephala melas,Unknown,DD,MARINE_MAMMALS_update,9250,NA,iucn,NA,NA
9250,NA,NA,Globicephala leucosagmaphora,Unknown,DD,MARINE_MAMMALS_update,9250,NA,iucn,NA,NA
9250,NA,NA,Globicephala melaena,Unknown,DD,MARINE_MAMMALS_update,9250,NA,iucn,NA,NA
4161,ITS-Mam-180451,DD,Cephalorhynchus heavisidii,Unknown,DD,MARINE_MAMMALS_update,4161,NA,iucn,NA,NA
17029,ITS-Mam-180476,DD,Phocoena spinipinnis,Unknown,DD,MARINE_MAMMALS_update,17029,NA,iucn,NA,NA
2476,ITS-Mam-612597,NA,Balaenoptera brydei,Unknown,DD,MARINE_MAMMALS_update,2476,NA,iucn,NA,NA
2476,ITS-Mam-180525,DD,Balaenoptera edeni,Unknown,DD,MARINE_MAMMALS_update,2476,NA,iucn,NA,NA
41759,ITS-612599,DD,Mesoplodon perrini,Unknown,DD,MARINE_MAMMALS_update,41759,NA,iucn,NA,NA
11143,ITS-Mam-180446,DD,Lagenorhynchus australis,Unknown,DD,MARINE_MAMMALS_update,11143,NA,iucn,NA,NA
15106,ITS-Mam-180639,DD,Odobenus rosmarus,Unknown,DD,MARINE_MAMMALS_update,15106,NA,iucn,NA,NA
9249,ITS-Mam-180466,DD,Globicephala macrorhynchus,Unknown,DD,MARINE_MAMMALS_update,9249,NA,iucn,NA,NA
13246,ITS-Mam-180510,DD,Mesoplodon ginkgodens,Unknown,DD,MARINE_MAMMALS_update,13246,NA,iucn,NA,NA
13246,NA,NA,Mesoplodon hotaula,Unknown,DD,MARINE_MAMMALS_update,13246,NA,iucn,NA,NA
41715,ITS-Mam-180475,DD,Phocoena dioptrica,Unknown,DD,MARINE_MAMMALS_update,41715,NA,iucn,NA,NA
41715,NA,NA,Australophocaena dioptrica,Unknown,DD,MARINE_MAMMALS_update,41715,NA,iucn,NA,NA
13247,ITS-Mam-180511,DD,Mesoplodon grayi,Unknown,DD,MARINE_MAMMALS_update,13247,NA,iucn,NA,NA
41714,ITS-Mam-612596,DD,Tursiops aduncus,Unknown,DD,MARINE_MAMMALS_update,41714,NA,iucn,NA,NA
21500,ITS-Mam-180500,DD,Tasmacetus shepherdi,Unknown,DD,MARINE_MAMMALS_update,21500,NA,iucn,NA,NA
40635,ITS-Mam-180502,DD,Indopacetus pacificus,Unknown,DD,MARINE_MAMMALS_update,40635,NA,iucn,NA,NA
40635,NA,NA,Mesoplodon pacificus,Unknown,DD,MARINE_MAMMALS_update,40635,NA,iucn,NA,NA
8551,ITS-Mam-180461,DD,Feresa attenuata,Unknown,DD,MARINE_MAMMALS_update,8551,NA,iucn,NA,NA
11048,ITS-Mam-180492,DD,Kogia sima,Unknown,DD,MARINE_MAMMALS_update,11048,NA,iucn,NA,NA
11048,NA,NA,Kogia simus,Unknown,DD,MARINE_MAMMALS_update,11048,NA,iucn,NA,NA
2480,ITS-Mam-612592,DD,Balaenoptera bonaerensis,Unknown,DD,MARINE_MAMMALS_update,2480,NA,iucn,NA,NA
4159,ITS-Mam-180449,DD,Cephalorhynchus commersonii,Unknown,DD,MARINE_MAMMALS_update,4159,NA,iucn,NA,NA
20730,ITS-Mam-180435,DD,Stenella clymene,Unknown,DD,MARINE_MAMMALS_update,20730,NA,iucn,NA,NA
181359,NA,NA,Sotalia guianensis,Unknown,DD,MARINE_MAMMALS_update,181359,NA,iucn,NA,NA
13249,ITS-Mam-180516,DD,Mesoplodon layardii,Unknown,DD,MARINE_MAMMALS_update,13249,NA,iucn,NA,NA
3778,ITS-Mam-180535,DD,Caperea marginata,Unknown,DD,MARINE_MAMMALS_update,3778,NA,iucn,NA,NA
13250,ITS-Mam-180508,DD,Mesoplodon mirus,Unknown,DD,MARINE_MAMMALS_update,13250,NA,iucn,NA,NA
13245,ITS-Mam-180509,DD,Mesoplodon europaeus,Unknown,DD,MARINE_MAMMALS_update,13245,NA,iucn,NA,NA
13245,NA,NA,Mesoplodon gervaisi,Unknown,DD,MARINE_MAMMALS_update,13245,NA,iucn,NA,NA
11146,ITS-Mam-180445,DD,Lagenorhynchus obscurus,Unknown,DD,MARINE_MAMMALS_update,11146,NA,iucn,NA,NA
