rgn_type,rgn_id,rgn_name,rgn_key,area_km2
eez,1,Cocos Islands,CCK,467246.244447888
eez,2,Christmas Island,CXR,327999.950117893
eez,3,Norfolk Island,NFK,431137.891421809
eez,4,Macquarie Island,AUS,476361.337803063
eez,5,New Caledonia,NCL,1369630.95355947
eez,6,Vanuatu,VUT,618645.279670565
eez,7,Solomon Islands,SLB,1598288.42879229
eez,8,Palau,PLW,604246.416398559
eez,9,Micronesia,FSM,2992384.3722895
eez,10,Nauru,NRU,308506.735697712
eez,11,Marshall Islands,MHL,1992076.81823706
eez,12,Wake Island,UMI,407243.294149106
eez,13,Northern Mariana Islands and Guam,MNP,970764.31680821
eez,14,Taiwan,TWN,341307.694889668
eez,15,Philippines,PHL,1823938.33299761
eez,16,Australia,AUS,6931124.04234209
eez,17,Papua New Guinea,PNG,2392629.59257921
eez,18,Fiji,FJI,1281199.39388313
eez,19,Tuvalu,TUV,752093.994909712
eez,20,South Korea,KOR,324396.358510659
eez,21,North Korea,PRK,115889.148586524
eez,24,Cambodia,KHM,47663.1162658633
eez,25,Thailand,THA,304948.834301757
eez,26,Andaman and Nicobar,IND,659425.010905398
eez,28,Comoro Islands,COM,164625.000320465
eez,29,Mayotte,MYT,62982.2302262985
eez,30,Glorioso Islands,ATF,43431.2044427701
eez,31,Seychelles,SYC,1331983.46472964
eez,32,Reunion,REU,315070.507236417
eez,33,Juan de Nova Island,ATF,62205.2757554752
eez,34,Bassas da India,ATF,121556.786156104
eez,35,Ile Europa,ATF,125047.546771039
eez,36,Ile Tromelin,ATF,270477.946038044
eez,37,Mauritius,MUS,1272769.51486981
eez,38,British Indian Ocean Territory,IOT,638566.13552626
eez,39,Maldives,MDV,916018.788320192
eez,40,Sri Lanka,LKA,530603.252540354
eez,41,Mozambique,MOZ,571516.882954349
eez,42,Madagascar,MDG,1199949.69621642
eez,43,Kenya,KEN,111663.169317051
eez,44,Somalia,SOM,779413.206688008
eez,45,Eritrea,ERI,78379.2568196346
eez,46,Djibouti,DJI,6988.12531812613
eez,47,Yemen,YEM,544727.247880395
eez,48,Oman,OMN,536167.470983203
eez,49,Sudan,SDN,66441.6562934483
eez,50,Saudi Arabia,SAU,219297.237146134
eez,51,Kuwait,KWT,11854.5568315202
eez,52,Bahrain,BHR,7601.46103779396
