sp_type,sp_id,sp_name,sp_key,area_km2
land,157,Phoenix Group,KIR,54.9339767159
land,158,Howland Island and Baker Island,UMI,4.22709988716
land,159,Johnston Atoll,UMI,3.40431608215
land,160,Hawaii,USA-HI,16861.2544972
land,161,Wallis and Futuna,WLF,179.528611746
land,162,New Zealand,NZL,201383.150346
land,163,United States,USA-48,534634.642438
land,164,Belize,BLZ,15762.8516699
land,166,Jamaica,JAM,10999.2065046
land,167,Guyana,GUY,31354.3259728
land,168,Suriname,SUR,21968.2233029
land,169,French Guiana,GUF,18800.3461618
land,170,Alaska,USA-AK,501418.295268
land,171,Brazil,BRA,492471.307209
land,172,Argentina,ARG,215710.574059
land,173,Uruguay,URY,33260.8563528
land,174,Finland,FIN,74804.7115194
land,175,Denmark,DNK,44327.6507211
land,176,Germany,DEU,49690.7913153
land,177,Netherlands,NLD,25495.6987395
land,178,Poland,POL,26126.0863486
land,179,France,FRA,124901.248389
land,180,United Kingdom,GBR,205306.918325
land,181,Ireland,IRL,56920.5667489
land,182,Spain,ESP,120160.939624
land,183,Portugal,PRT,37784.8502521
land,184,Italy,ITA,173980.592727
land,185,Monaco,MCO,11.2143150276
land,186,Montenegro,MNE,5747.73665971
land,187,Croatia,HRV,25442.2045827
land,188,Slovenia,SVN,5176.06361048
land,189,Lithuania,LTU,6169.48889225
land,190,Qatar,QAT,11108.8676907
land,191,Iran,IRN,94421.3315786
land,192,Iraq,IRQ,3978.69874783
land,193,Guinea Bissau,GNB,20985.5728541
land,194,Guinea,GIN,20645.0651675
land,195,Ivory Coast,CIV,28304.6979516
land,196,Nigeria,NGA,53766.4470596
land,197,Cameroon,CMR,25083.2768864
land,198,Gabon,GAB,38964.0499471
land,199,Democratic Republic of the Congo,COD,3715.49668339
land,200,Angola,AGO,76595.8931491
land,202,Tanzania,TZA,46129.2803608
land,203,India,IND,278372.503362
land,204,Bangladesh,BGD,34827.8064539
land,205,Myanmar,MMR,125672.158687
land,206,Malaysia,MYS,162160.608352
land,207,Vietnam,VNM,125875.40181
land,208,Singapore,SGP,600.601009832
land,209,China,CHN,355084.811154
land,210,Japan,JPN,298646.130826
land,212,Kiribati,KIR,354.525339236
land,214,Egypt,EGY,130013.38346
land,215,Jordan,JOR,5770.86267096
land,216,Indonesia,IDN,1048377.93205
land,218,Canada,CAN,2498155.4647
land,219,Saint Pierre and Miquelon,SPM,237.097026666
land,220,Sint-Maarten,SXM,39.8890644065
land,221,Northern Saint-Martin,MAF,80.5984161731
land,222,Sweden,SWE,26480.9916406
land,223,Norway,NOR,226542.522639
land,223,Svalbard,NOR,69672.5281663
land,224,Chile,CHL,385716.880908
land,225,Easter Island,CHL,171.235519147
land,227,Jersey,JEY,125.340440547
land,228,Guernsey,GGY,85.6501585952
land,231,East Timor,TLS,14216.2962926
land,232,Bosnia and Herzegovina,BIH,6886.46635286
land,237,Oecussi Ambeno,TLS,796.825587658
land,244,Curacao,CW,448.224747255
land,245,Bonaire,BQ,284.798972242
