sp_type,sp_id,sp_name,sp_key,rgn_type,rgn_id,rgn_name,rgn_key,cntry_id,area_km2
eez,0,Australia,AUS,eez,16,Australia,AUS,AUS,6931124.04234
eez,1,Cocos Islands,CCK,eez,1,Cocos Islands,CCK,CCK,467246.244448
eez,2,Christmas Island,CXR,eez,2,Christmas Island,CXR,CXR,327999.950118
eez,3,Norfolk Island,NFK,eez,3,Norfolk Island,NFK,NFK,431137.891422
eez,4,Macquarie Island,AUS,eez,4,Macquarie Island,AUS,Macquarie Island,476361.337803
eez,5,New Caledonia,NCL,eez,5,New Caledonia,NCL,NCL,1369630.95356
eez,6,Vanuatu,VUT,eez,6,Vanuatu,VUT,VUT,618645.279671
eez,7,Solomon Islands,SLB,eez,7,Solomon Islands,SLB,SLB,1598288.42879
eez,8,Palau,PLW,eez,8,Palau,PLW,PLW,604246.416399
eez,9,Micronesia,FSM,eez,9,Micronesia,FSM,FSM,2992384.37229
eez,10,Nauru,NRU,eez,10,Nauru,NRU,NRU,308506.735698
eez,11,Marshall Islands,MHL,eez,11,Marshall Islands,MHL,MHL,1992076.81824
eez,12,Wake Island,UMI,eez,12,Wake Island,UMI,Wake Island,407243.294149
eez,13,Northern Mariana Islands and Guam,MNP,eez,13,Northern Mariana Islands and Guam,MNP,MNP|GUM,970764.316808
eez,14,Taiwan,TWN,eez,14,Taiwan,TWN,TWN,341307.69489
eez,15,Philippines,PHL,eez,15,Philippines,PHL,PHL,1823938.333
eez,17,Papua New Guinea,PNG,eez,17,Papua New Guinea,PNG,PNG,2392629.59258
eez,18,Fiji,FJI,eez,18,Fiji,FJI,FJI,1281199.39388
eez,19,Tuvalu,TUV,eez,19,Tuvalu,TUV,TUV,752093.99491
eez,20,South Korea,KOR,eez,20,South Korea,KOR,KOR,324396.358511
eez,21,North Korea,PRK,eez,21,North Korea,PRK,PRK,115889.148587
eez,24,Cambodia,KHM,eez,24,Cambodia,KHM,KHM,47663.1162659
eez,25,Thailand,THA,eez,25,Thailand,THA,THA,304948.834302
eez,26,Andaman and Nicobar,IND,eez,26,Andaman and Nicobar,IND,Andaman and Nicobar,659425.010905
eez,28,Comoro Islands,COM,eez,28,Comoro Islands,COM,COM,164625.00032
eez,29,Mayotte,MYT,eez,29,Mayotte,MYT,MYT,62982.2302263
eez,30,Glorioso Islands,ATF,eez,30,Glorioso Islands,ATF,Glorioso Islands,43431.2044428
eez,31,Seychelles,SYC,eez,31,Seychelles,SYC,SYC,1331983.46473
eez,32,Reunion,REU,eez,32,Reunion,REU,REU,315070.507236
eez,33,Juan de Nova Island,ATF,eez,33,Juan de Nova Island,ATF,Juan de Nova Island,62205.2757555
eez,34,Bassas da India,ATF,eez,34,Bassas da India,ATF,Bassas da India,121556.786156
eez,35,Ile Europa,ATF,eez,35,Ile Europa,ATF,Ile Europa,125047.546771
eez,36,Ile Tromelin,ATF,eez,36,Ile Tromelin,ATF,Ile Tromelin,270477.946038
eez,37,Mauritius,MUS,eez,37,Mauritius,MUS,MUS,1272769.51487
eez,38,British Indian Ocean Territory,IOT,eez,38,British Indian Ocean Territory,IOT,IOT,638566.135526
eez,39,Maldives,MDV,eez,39,Maldives,MDV,MDV,916018.78832
eez,40,Sri Lanka,LKA,eez,40,Sri Lanka,LKA,LKA,530603.25254
eez,41,Mozambique,MOZ,eez,41,Mozambique,MOZ,MOZ,571516.882954
eez,42,Madagascar,MDG,eez,42,Madagascar,MDG,MDG,1199949.69622
eez,43,Kenya,KEN,eez,43,Kenya,KEN,KEN,111663.169317
eez,44,Somalia,SOM,eez,44,Somalia,SOM,SOM,779413.206688
eez,45,Eritrea,ERI,eez,45,Eritrea,ERI,ERI,78379.2568196
eez,46,Djibouti,DJI,eez,46,Djibouti,DJI,DJI,6988.12531813
eez,47,Yemen,YEM,eez,47,Yemen,YEM,YEM,544727.24788
eez,48,Oman,OMN,eez,48,Oman,OMN,OMN,536167.470983
eez,49,Sudan,SDN,eez,49,Sudan,SDN,SDN,66441.6562934
eez,50,Saudi Arabia,SAU,eez,50,Saudi Arabia,SAU,SAU,219297.237146
eez,51,Kuwait,KWT,eez,51,Kuwait,KWT,KWT,11854.5568315
eez,52,Bahrain,BHR,eez,52,Bahrain,BHR,BHR,7601.46103779
eez,53,Pakistan,PAK,eez,53,Pakistan,PAK,PAK,221710.407374
eez,54,United Arab Emirates,ARE,eez,54,United Arab Emirates,ARE,ARE,54473.2559898
eez,55,Azores,PRT,eez,55,Azores,PRT,Azores,955823.805091
eez,56,Cape Verde,CPV,eez,56,Cape Verde,CPV,CPV,796535.772384
