"rgn_id","rgn_nam","tonnes","year"
5,"New Caledonia",39.72,2009
5,"New Caledonia",45.24,2010
5,"New Caledonia",39.46,2011
6,"Vanuatu",147,1990
6,"Vanuatu",222,1991
6,"Vanuatu",198,1992
6,"Vanuatu",131,1993
14,"China, Taiwan Province of",10210,1996
14,"China, Taiwan Province of",9593,1997
14,"China, Taiwan Province of",9116,1998
14,"China, Taiwan Province of",9239,2006
14,"China, Taiwan Province of",9744,2007
14,"China, Taiwan Province of",9061,2008
14,"China, Taiwan Province of",8816,2009
14,"China, Taiwan Province of",8105,2010
14,"China, Taiwan Province of",8506,2011
16,"Australia",18116,1990
16,"Australia",18116,1991
16,"Australia",22545,1992
16,"Australia",24234,1993
16,"Australia",21352,1994
16,"Australia",25957,1995
16,"Australia",31652,1996
16,"Australia",34572,1997
16,"Australia",37673,1998
16,"Australia",36403,2006
17,"Papua New Guinea",242,1992
17,"Papua New Guinea",344,1993
17,"Papua New Guinea",352,1994
17,"Papua New Guinea",210,1995
18,"Fiji",453,1990
18,"Fiji",1413,1991
18,"Fiji",420,1992
20,"Republic of Korea",50164,1990
20,"Republic of Korea",54952,1991
20,"Republic of Korea",53436,1992
20,"Republic of Korea",51998,1993
20,"Republic of Korea",29246,1994
20,"Republic of Korea",29071,1995
20,"Republic of Korea",27715,1996
20,"Republic of Korea",27097,1997
20,"Republic of Korea",23782,1998
20,"Republic of Korea",28452,1999
20,"Republic of Korea",26829,2006
20,"Republic of Korea",27252,2007
20,"Republic of Korea",27838,2008
20,"Republic of Korea",24719,2009
20,"Republic of Korea",22210,2010
25,"Thailand",37698,1993
25,"Thailand",40896,1994
25,"Thailand",48124,1995
25,"Thailand",43800,1996
25,"Thailand",47920,1997
25,"Thailand",38424,1998
25,"Thailand",45522,1999
25,"Thailand",94597,2006
25,"Thailand",133716,2007
25,"Thailand",130846,2008
25,"Thailand",150552,2009
25,"Thailand",137972,2010
25,"Thailand",174382,2011
31,"Seychelles",20,1990
31,"Seychelles",18,1991
31,"Seychelles",0,1992
31,"Seychelles",63,1993
31,"Seychelles",66,1994
31,"Seychelles",70,1995
31,"Seychelles",68,1996
31,"Seychelles",50,1997
31,"Seychelles",37,1998
37,"Mauritius",1778,1990
37,"Mauritius",0,1991
37,"Mauritius",1284,1994
37,"Mauritius",1480,1995
37,"Mauritius",1339,1996
37,"Mauritius",1605,1997
37,"Mauritius",1552,1998
37,"Mauritius",1522,1999
37,"Mauritius",2387,2006
37,"Mauritius",1965,2007
37,"Mauritius",2249,2008
37,"Mauritius",2324,2009
37,"Mauritius",2383,2010
37,"Mauritius",2107,2011
40,"Sri Lanka",3142.662,1990
40,"Sri Lanka",2818.306,1991
40,"Sri Lanka",4288.6,1992
40,"Sri Lanka",3506.4,1993
40,"Sri Lanka",3721.4,1994
40,"Sri Lanka",3471.302,1995
40,"Sri Lanka",3309.32,1996
40,"Sri Lanka",3245.302,1997
40,"Sri Lanka",3064.82,1998
40,"Sri Lanka",3533.82,1999
40,"Sri Lanka",3508.5,2006
40,"Sri Lanka",3339.6,2007
40,"Sri Lanka",2304.78,2008
40,"Sri Lanka",2340.72,2009
40,"Sri Lanka",2901.08,2010
40,"Sri Lanka",2580.62,2011
41,"Mozambique",204.52,1994
41,"Mozambique",144.38,1995
41,"Mozambique",131.7,1996
41,"Mozambique",121.26,1997
41,"Mozambique",891.54,2006
41,"Mozambique",547.311,2007
41,"Mozambique",892.431,2008
41,"Mozambique",916.971,2009
41,"Mozambique",1187.37,2010
41,"Mozambique",769.17,2011
42,"Madagascar",256.82,1990
42,"Madagascar",262,1991
42,"Madagascar",202.12,1992
42,"Madagascar",218.82,1993
42,"Madagascar",152.3,1994
42,"Madagascar",146.16,1995
42,"Madagascar",304.02,1996
42,"Madagascar",279.78,1997
42,"Madagascar",176.52,1998
42,"Madagascar",99.04,1999
42,"Madagascar",218.78,2006
42,"Madagascar",187.76,2007
42,"Madagascar",224.22,2008
42,"Madagascar",287.8,2009
42,"Madagascar",483.78,2010
42,"Madagascar",620.72,2011
43,"Kenya",3469,1994
43,"Kenya",4607,1995
43,"Kenya",6344,1996
43,"Kenya",5172,1997
45,"Eritrea",10,1996
45,"Eritrea",60,1997
45,"Eritrea",40,1998
47,"Yemen",1426.56,1997
47,"Yemen",2352.2,1998
