am_sid,iucn_sid,sciname,popn_category,popn_trend,rgn_id,rgn_name,n_cells,presence,spatial_source
Fis-29263,154820,Alepisaurus ferox,LC,Unknown,248600,Antarctica,3,NA,am
Fis-29263,154820,Alepisaurus ferox,LC,Unknown,258442,Antarctica,12,NA,am
Fis-29263,154820,Alepisaurus ferox,LC,Unknown,258441,Antarctica,4,NA,am
Fis-29263,154820,Alepisaurus ferox,LC,Unknown,258520,Antarctica,1,NA,am
Fis-29263,154820,Alepisaurus ferox,LC,Unknown,258431,Antarctica,3,NA,am
Fis-23905,190385,Antimora rostrata,LC,Unknown,288200,Antarctica,127,NA,am
Fis-23905,190385,Antimora rostrata,LC,Unknown,288100,Antarctica,75,NA,am
Fis-25455,198762,Borostomias antarcticus,LC,Unknown,288200,Antarctica,19,NA,am
Fis-25455,198762,Borostomias antarcticus,LC,Unknown,288100,Antarctica,26,NA,am
Fis-22852,195091,Brama brama,LC,Unknown,258410,Antarctica,313,NA,am
Fis-22852,195091,Brama brama,LC,Unknown,288100,Antarctica,278,NA,am
Fis-22852,195091,Brama brama,LC,Unknown,288200,Antarctica,422,NA,am
Fis-22852,195091,Brama brama,LC,Unknown,288300,Antarctica,460,NA,am
Fis-22852,195091,Brama brama,LC,Unknown,248100,Antarctica,24,NA,am
Fis-22856,198571,Centrolophus niger,LC,Unknown,248600,Antarctica,124,NA,am
Fis-22856,198571,Centrolophus niger,LC,Unknown,258520,Antarctica,4,NA,am
Fis-29358,170350,Coryphaena equiselis,LC,Stable,258700,Antarctica,15,NA,am
Fis-29358,170350,Coryphaena equiselis,LC,Stable,258600,Antarctica,14,NA,am
Fis-29358,170350,Coryphaena equiselis,LC,Stable,258510,Antarctica,87,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258600,Antarctica,172,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258700,Antarctica,59,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258510,Antarctica,197,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258520,Antarctica,122,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,248300,Antarctica,184,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,248400,Antarctica,166,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,248600,Antarctica,714,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258441,Antarctica,347,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258442,Antarctica,435,NA,am
Fis-139729,190485,Melanolagus bericoides,LC,Unknown,258432,Antarctica,32,NA,am
