"rgn_name","rgn_id","commodity","product","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"Albania",82,"Coral and the like","corals",,,,,,,,,,,,,,,,,,,,,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104
"Albania",82,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,,0.372830188679245,0,0,0,2,1,1,0,3,1,0,0
"Albania",82,"Z_TOTAL","corals",,,,,,,,,,,,,,,,,,,,,315,87,221,100,27,45,78,44,77,19,14,0,50,16,0,104
"Albania",82,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,,0.372830188679245,0,0,0,2,1,1,0,3,1,0,0
"Algeria",84,"Ornamental fish nei","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,,,0.362389023405972,0.261501210653753,1,1,1,0,0.463276836158192,0,0,0,0
"Algeria",84,"Z_TOTAL","ornamentals",,,,,,,,,,,,,,,,,,,,,,,,,,0.362389023405972,0.261501210653753,1,1,1,0,0.463276836158192,0,0,0,0
"Angola",200,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,,,931,688,400,0,0,922,811,851,500,0,0,0,0,499
"Angola",200,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,,,,,,,,,,,90,34,2,0,0,0,0,0,0,0,0,40,8,8,160
"Angola",200,"Z_TOTAL","fish_oil",,,,,,,,,,,,,,,,,,,,,,90,965,690,400,0,0,922,811,851,500,0,40,8,8,659
"Argentina",172,"Agar agar nei","seaweeds",,,,,,,,,,,,,,,,,,,49,55,25,2,1,1,1,1,1,3,4,2,2,5,1,1,2,0.80037762370773
"Argentina",172,"Fish body oils, nei","fish_oil",,,,,,,,,,,,,74,184,353,375,368,46,209,537,531,575,443,113,96,913,1249,1000,992,685,463,959,1543,1015,1243,1224
"Argentina",172,"Fish liver oils, nei","fish_oil",,,,,,,,,,,,1,6,0,1,0,1,1,1995,5,0,0,0,0,0,0,0,31,27,5,2,0,0,0,0,0
"Argentina",172,"Ornamental fish nei","ornamentals",1.0700581449236,1.14105550646638,1.14105550646638,1.14105550646638,1.41321205904707,1.12922261287592,1.09372393210452,1.0700581449236,0,0,1.09372393210452,1,1.05822525133313,1.0700581449236,1,8,1,1.29488312314242,1.05822525133313,1.41321205904707,1.38954627186614,1.12922261287592,1.15288840005685,0,1.2357186551901,1,1,2,1,2,2,1,1,1,1,1
"Argentina",172,"Other seaweeds and aquatic plants and products thereof","seaweeds",,,,,,,,,,,,,,,,276,74,239,704,375,211,198,229,120,18,1,0,59,42,88,169,84,116,126,125,119
"Argentina",172,"Z_TOTAL","fish_oil",,,,,,,,,,,,1,80,184,354,375,369,47,2204,542,531,575,443,113,96,913,1249,1031,1019,690,465,959,1543,1015,1243,1224
