"rgn_id","commodity","product","value_ext","rgn_name","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
5,"Agar agar nei","seaweeds",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
5,"Fish body oils, nei","fish_oil",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,"Miscellaneous corals and shells","shells",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,5,,,0,0,,
5,"Natural sponges nei","sponges",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,0,0
5,"Ornamental fish nei","ornamentals",FALSE,"New Caledonia",,,,,,,,,23,,45,62,,,,,,,,,,131,111,20,96,112,87,105,120,106,101,113,141,132,182,124
5,"Other seaweeds and aquatic plants and products thereof","seaweeds",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5,"Trochus shells","shells",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,351,333,538,238,361,484,694,1129,1097,1124,1496,1205,712
5,"Z_TOTAL","fish_oil",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,"Z_TOTAL","ornamentals",FALSE,"New Caledonia",,,,,,,,,23,,45,62,,,,,,,,,,131,111,20,96,112,87,105,120,106,101,113,141,132,182,124
5,"Z_TOTAL","seaweeds",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
5,"Z_TOTAL","shells",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,351,333,542,238,365,484,699,1129,1097,1124,1496,1205,712
5,"Z_TOTAL","sponges",FALSE,"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,0,0,0
6,"Coral and the like","corals",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,34,54,,99,57,219,41,15,0,0,0,0,0,0
6,"Miscellaneous corals and shells","shells",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,13,55,7,25,147,108,28
6,"Ornamental fish nei","ornamentals",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,366,463,444,0,0,0,0,0,0
6,"Ornamental saltwater fish","ornamentals",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,218,0,0,0,0,0,0
6,"Z_TOTAL","corals",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,34,54,,99,57,219,41,15,0,0,0,0,0,0
6,"Z_TOTAL","ornamentals",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,366,475,662,0,0,0,0,0,0
6,"Z_TOTAL","shells",FALSE,"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,13,55,7,25,147,108,28
7,"Coral and the like","corals",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,1007,810,642,813,624,526,886,946,799,696,800,850,734,195
7,"Ornamental fish nei","ornamentals",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,50,22,36,49,3,194,43,55,66,73,96,106,68,126,,
7,"Other seaweeds and aquatic plants and products thereof","seaweeds",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,282,106,94,60,170,560,116
7,"Z_TOTAL","corals",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,1007,810,642,813,624,526,886,946,799,696,800,850,734,195
7,"Z_TOTAL","ornamentals",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,50,22,36,49,3,194,43,55,66,73,96,106,68,126,,
7,"Z_TOTAL","seaweeds",FALSE,"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,282,106,94,60,170,560,116
8,"Coral and the like","corals",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,195,4,3,,,3,,241,8,13,54,,4,42
8,"Miscellaneous corals and shells","shells",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,19,0,0,0,0,0
8,"Ornamental fish nei","ornamentals",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,19,1,,3,,,,57,105,90,62,65,66,0,0,0,5
8,"Other seaweeds and aquatic plants and products thereof","seaweeds",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,0,0
8,"Shells nei","shells",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
8,"Shells nei","shells",TRUE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
8,"Z_TOTAL","corals",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,195,4,3,,,3,,241,8,13,54,,4,42
8,"Z_TOTAL","ornamentals",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,19,1,,3,,,,57,105,90,62,65,66,0,0,0,5
8,"Z_TOTAL","seaweeds",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,41,0,0,0,0,0,0,0,0,0
8,"Z_TOTAL","shells",FALSE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,19,0,0,0,4,
8,"Z_TOTAL","shells",TRUE,"Palau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
9,"Coral and the like","corals",FALSE,"Micronesia",,,,,,,,,,,,,,,,,,,,,,,129,173,44,,137,44,8,39,79,66,24,48,116,109
9,"Miscellaneous corals and shells","shells",FALSE,"Micronesia",,,,,,,,,,,,,,,,,,,,,,,,,,46,30,0,0,83,0,0,0,0,0,0
9,"Ornamental saltwater fish","ornamentals",FALSE,"Micronesia",,,,,,,,,,,,,,,,40,40,,,,19,13,33,18,10,3,2,27,21,4,,,5,10,13,137
9,"Z_TOTAL","corals",FALSE,"Micronesia",,,,,,,,,,,,,,,,,,,,,,,129,173,44,,137,44,8,39,79,66,24,48,116,109
9,"Z_TOTAL","ornamentals",FALSE,"Micronesia",,,,,,,,,,,,,,,,40,40,,,,19,13,33,18,10,3,2,27,21,4,,,5,10,13,137
9,"Z_TOTAL","shells",FALSE,"Micronesia",,,,,,,,,,,,,,,,,,,,,,,,,,46,30,0,0,83,0,0,0,0,0,0
11,"Coral and the like","corals",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,151,,,1,82,111,156,120,181,132,138,101,4,89
11,"Fish body oils, nei","fish_oil",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0
11,"Miscellaneous corals and shells","shells",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,35,67,1,0,0,0
11,"Ornamental fish nei","ornamentals",FALSE,"Marshall Islands",,,,,,73,,,,,,,110,220,170,,,,,478,278,109,65,47,53,104,98,102,173,245,391,401,553,818,1046,684
11,"Ornamental saltwater fish","ornamentals",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,16,38,58,71,23,5
11,"Shells nei","shells",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0
11,"Z_TOTAL","corals",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,151,,,1,82,111,156,120,181,132,138,101,4,89
11,"Z_TOTAL","fish_oil",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0
11,"Z_TOTAL","ornamentals",FALSE,"Marshall Islands",,,,,,73,,,,,,,110,220,170,,,,,478,278,109,65,47,53,104,98,102,174,245,407,439,611,889,1069,689
11,"Z_TOTAL","shells",FALSE,"Marshall Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,35,67,1,0,2,0
14,"Agar agar nei","seaweeds",FALSE,"Taiwan",47,40,3573,8141,6776,,,,,,,,,32816,,,,,1545,1711,3112,3514,1742,1321,1110,965,709,709,568,749,598,660,559,463,146,193
14,"Carrageen (Chondrus crispus)","seaweeds",FALSE,"Taiwan",,,,,,,,,,,,26,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
