"rgn_name","rgn_id","product","year","tonnes","usd","gapfill_sum","tonnes_rollmean","usd_rollmean","tonnes_peak","usd_peak","usd_peak_product_weight","tonnes_rel","usd_rel"
"New Caledonia",5,"ornamentals",1984,2,22.6666666666667,0,2,22.6666666666667,3.9,99.45,0.110589085652331,0.512820512820513,0.227920227920228
"New Caledonia",5,"ornamentals",1985,2.75,32.5,1,2.75,32.5,3.9,99.45,0.110589085652331,0.705128205128205,0.326797385620915
"New Caledonia",5,"ornamentals",1986,2,26.75,0,2,26.75,3.9,99.45,0.110589085652331,0.512820512820513,0.268979386626445
"New Caledonia",5,"ornamentals",1987,2,26.75,0,2,26.75,3.9,99.45,0.110589085652331,0.512820512820513,0.268979386626445
"New Caledonia",5,"ornamentals",1988,1.25,15.5,1,1.25,15.5,3.9,99.45,0.110589085652331,0.32051282051282,0.155857214680744
"New Caledonia",5,"ornamentals",1989,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1990,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1991,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1992,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1993,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1994,0,0,1,0,0,3.9,99.45,0.110589085652331,0,0
"New Caledonia",5,"ornamentals",1995,1,32.75,1,1,32.75,3.9,99.45,0.110589085652331,0.256410256410256,0.329311211664153
"New Caledonia",5,"ornamentals",1996,2.25,60.5,1,2.25,60.5,3.9,99.45,0.110589085652331,0.576923076923077,0.608345902463549
"New Caledonia",5,"ornamentals",1997,2.5,65.5,0,2.5,65.5,3.9,99.45,0.110589085652331,0.641025641025641,0.658622423328306
"New Caledonia",5,"ornamentals",1998,4.25,89.5,0,4.25,89.5,3.9,99.45,0.110589085652331,1,0.899949723479135
"New Caledonia",5,"ornamentals",1999,5,84.75,0,5,84.75,3.9,99.45,0.110589085652331,1,0.852187028657617
"New Caledonia",5,"ornamentals",2000,4.75,78.75,0,4.75,78.75,3.9,99.45,0.110589085652331,1,0.791855203619909
