"base","population","treatment","treatment_gf","Lat","Lon","ccamlr","year"
"Antarctic Receiving Station (GARS)",0,NA,NA,-63.32109182,-57.90094008,248100,NA
"Arctowski",26,1,1,-62.15977292,-58.47332175,248100,1977
"Artigas",34.5,1,1,-62.18455071,-58.90244173,248100,1984
"Arturo Prat",12,NA,0,-62.47933555,-59.66351347,248100,1947
"Bellingshausen",31.5,3,3,-62.19818377,-58.96060891,248100,1968
"Bernardo O'Higgins Riquelme",30,NA,1,-63.32095118,-57.89978113,248100,1948
"Brown",9,NA,0,-64.89536982,-62.87045109,248100,1951
"Cámara",18,NA,0,-62.59385833,-59.91934444,248100,1953
"Comandante Ferraz",26,2,2,-62.08462076,-58.39256957,248100,1984
"Dallman Lab at Base Jubany",6,NA,0,-62.23760854,-58.66671638,248100,1994
"Decepcíon",32.5,NA,1,-62.97676018,-60.70069463,248100,1948
"Eduardo Frei Montalva",95,3,3,-62.20023174,-58.96262712,248100,1969
"Esperanza",72.5,3,3,-63.39695938,-56.99805434,248100,1952
"Fossil Bluff",3,NA,0,-71.32341152,-68.28906406,248100,1961
"Gabriel de Castilla",12.5,1,1,-62.97719656,-60.67574545,248100,1990
"Great Wall",27,2,2,-62.21751944,-58.96199167,248100,1985
"Guillermo Mann",3,NA,0,-62.87585,-60.76668333,248100,1991
"Johann Gregor Mendel",10,0,0,-63.80062531,-57.88259183,248100,2006
"Juan Carlos I",12.5,3,3,-62.66340863,-60.38814603,248100,1989
"Jubany",60,3,3,-62.2379,-58.66684167,248100,1982
"Julio Escudero",14,3,3,-62.20137307,-58.96267648,248100,1994
"King Sejong",44,3,3,-62.2232395,-58.7865044,248100,1988
"Lieutenant Luis Carvajal Villarroel",15,NA,0,-67.76132249,-68.91481561,248100,1985
"Lieutenant Rodolfo Marsh M. Aerodrome",11.5,NA,0,-62.19373488,-58.9799737,248100,1969
"Macchu Picchu",14,3,3,-62.09159252,-58.47055896,248100,1989
"Maldonado",11,NA,0,-62.44932928,-59.74096859,248100,1990
"Marambio",102.5,3,3,-64.24176895,-56.62322459,248100,1969
"Matienzo",7.5,NA,0,-64.97586484,-60.07094839,248100,1961
"Melchior",18,NA,0,-64.3257045,-62.97632863,248100,1947
"Ohridiski",9,0,0,-62.64072307,-60.36523384,248100,1988
"Palmer Station",27.5,1,1,-64.77426073,-64.05333352,248100,1965
"Petrel",27.5,NA,0,-63.47830316,-56.23099341,248100,1967
"President Gabriel Gonzalez Videla",4.5,NA,0,-64.82386172,-62.85749916,248100,1951
"Primavera",9,NA,0,-64.1558536,-60.95425641,248100,1977
"Refugio Ecuador",2,NA,0,-62.12099018,-58.3951612,248100,1990
"Ripamonti",0,NA,NA,-62.21015169,-58.93474027,248100,NA
"Risopatrón",4,NA,0,-62.37853344,-59.70072429,248100,1957
"Rothera",76,3,3,-67.56863642,-68.124377,248100,1975
"Rothera Skiway",0,NA,NA,-67.56758573,-68.12717991,248100,1975
"Ruperto Elichiribehety",0,NA,NA,-63.40237211,-56.9909068,248100,1997
"San Martín",20,0,0,-68.13030011,-67.10293129,248100,1951
"Sub Base Yelcho",0,NA,NA,-64.87585799,-63.58380638,248100,1962
"Vernadsky",18,0,0,-65.24574295,-64.25748123,248100,1996
"Orcadas",29.5,2,2,-60.7375919,-44.73738674,248200,1904
"Signy",5,0,0,-60.70828739,-45.59538916,248200,1947
"Belgrano II",12,1,1,-77.8744444,-34.6269444,248500,1955
"Halley",40,3,3,-75.57982394,-26.72862432,248500,1956
"Lieutenant Arturo Parodi",12.5,NA,0,-80.31193304,-81.36657271,248500,1999
"Aboa",10,2,2,-73.04228194,-13.40735764,248600,1989
"Asuka",0,NA,NA,-71.52627263,24.11251621,248600,1984
"Dakshin Gangotri",0,NA,NA,-70.08333333,12,248600,1983
"Maitri",45,3,3,-70.76683367,11.73078318,248600,1989
"Neumayer III",29.5,3,3,-70.67725032,-8.271599716,248600,1981
"Novolazarevskaya",50,2,2,-70.77692572,11.82366729,248600,1961
"Novolazarevskaya Airfield",0,NA,NA,-70.8217966,11.63987117,248600,NA
"Princess Elisabeth",10,3,3,-71.9498578,23.34689116,248600,2009
"SANAE IV",45,3,3,-71.67287313,-2.840324047,248600,1962
"Svea",0,NA,NA,-74.57606102,-11.22487242,248600,NA
"Tor",2,0,0,-71.88951483,5.159892622,248600,1985
"Troll",23.5,2,2,-72.01194552,2.533070031,248600,1990
"Wasa",10,1,1,-73.04279886,-13.41290971,248600,1989
"Cap Prud'homme",10,NA,0,-66.68760751,139.9071699,258410,NA
"Casey",45,3,3,-66.28234266,110.5267924,258410,1969
"Dumont d'Urville",63,0,0,-66.66283333,140.0013333,258410,1956
"Edgeworth-David",0,NA,NA,-66.24993451,100.6042134,258410,NA
"Mirny",114.5,0,0,-66.55823444,93.0003795,258410,1956
"Wilkins Aerodrome",0,NA,NA,-66.68966697,111.4845668,258410,NA
"Beaver Lake",0,NA,NA,-70.803,68.17983333,258420,NA
"Davis",46,3,3,-68.57593768,77.96951603,258420,1957
"Druzhnaya 4",25,0,0,-69.74782719,73.70921376,258420,1987
"Law - Racovita - Negoita",6.5,0,0,-69.3882965,76.38069645,258420,1987
"Mawson",40,2,2,-67.60264444,62.87302778,258420,1954
"Molodezhnaya",0,1,1,-67.66544285,45.84203764,258420,1962
"Molodezhnaya Airfield",0,NA,NA,-67.66974075,45.82860961,258420,NA
"Progress",48.5,2,2,-69.37812036,76.38779398,258420,1989
"S17",0,NA,NA,-69.02807608,40.09244947,258420,2005
"Soyuz",0,0,0,-70.5765771,68.79493694,258420,1982
"Syowa",69,3,3,-69.00412231,39.58183616,258420,1957
"Zhongshan",22.5,3,3,-69.37320625,76.37187122,258420,1989
"Browning Pass",1,NA,0,-74.62290575,163.9151708,288100,1997
"Enigma Lake",0,NA,NA,-74.719164,164.027711,288100,2005
"Gondwana",0,NA,NA,-74.63550051,164.2212145,288100,1983
"Lenindgradskaya",0,0,0,-69.50149558,159.3911476,288100,1971
"Marble Point Heliport",0,NA,NA,-77.41366667,163.6791667,288100,NA
"Mario Zucchelli",45,3,3,-74.69480668,164.1132678,288100,1986
"McMurdo Station",625,3,3,-77.8482091,166.668422,288100,1955
"Odell Glacier Camp",0,NA,NA,-76.6601162,159.953156,288100,NA
"Scott Base",47.5,3,3,-77.849437,166.767281,288100,1957
"Russkaya",0,0,0,-74.76572579,-136.8000722,288200,1980
"Siple Dome",0,NA,NA,-81.65430285,-149.0051336,288200,NA
"Sky Blu",3,NA,0,-74.856351,-71.58519987,288300,NA
"Amundsen-Scott South Pole Station",162.5,0,0,-90,0,NA,1956
"Concordia",36.5,3,3,-75.0999745,123.3326053,NA,1997
"Dome Fuji",7.5,0,0,-77.31707524,39.69877019,NA,1995
"Kohnen",14,0,0,-75.00191485,0.066733305,NA,2001
"Kunlun",10,NA,0,-80.41718972,77.1159973,NA,2009
"Mid Point",0,NA,NA,-75.54170266,145.8203993,NA,1998
"Mizuho",0,NA,NA,-70.6990456,44.27781168,NA,1970
"Sitry",0,NA,NA,-71.65173817,148.654737,NA,2000
"Vostok",19,0,0,-78.46415952,106.8379632,NA,1957
