"species_code","species"
1,"European seabass"
2,"Gilthead seabream"
3,"Kuruma prawn"
4,"Mediterranean mussel"
5,"Caramote prawn"
6,"Common sole"
7,"European eel"
8,"European seabass"
9,"Gilthead seabream"
10,"Grooved carpet shell"
11,"Mediterranean mussel"
12,"Mullets nei"
13,"Pacific cupped oyster"
14,"Blue mussel"
15,"Pacific cupped oyster"
16,"Aquatic invertebrates nei"
17,"Atlantic salmon"
18,"Australian mussel"
19,"Barramundi"
20,"Blacklip abalone"
21,"Brine shrimp"
22,"Brown tiger prawn"
23,"Chinook(=Spring=King)salmon"
24,"Cupped oysters nei"
25,"Eastern king prawn"
26,"Eastern school shrimp"
27,"Flat and cupped oysters nei"
28,"Flat oysters nei"
29,"Giant tiger prawn"
30,"Giant tiger prawn (br)"
31,"Indo-Pacific swamp crab"
32,"Kuruma prawn"
33,"Marine fishes nei"
34,"Pacific cupped oyster"
35,"Pacific cupped oyster (br)"
36,"Penaeus shrimps nei"
37,"Rainbow trout"
38,"Southern Australia scallop"
39,"Southern bluefin tuna"
40,"Sydney cupped oyster"
41,"Brine shrimp"
42,"Florida pompano"
43,"Red drum"
44,"Whiteleg shrimp"
45,"Gilthead seabream"
46,"Mangrove red snapper"
47,"Orange-spotted grouper"
48,"Sobaity seabream"
49,"White-spotted spinefoot"
50,"Giant tiger prawn"
51,"Indian white prawn"
52,"Marine fishes nei"
53,"Metapenaeus shrimps nei"
54,"Penaeus shrimps nei"
55,"Cobia"
56,"Palinurid spiny lobsters nei"
57,"Whiteleg shrimp"
58,"Common dentex"
59,"European flat oyster"
60,"European seabass"
61,"Gilthead seabream"
62,"Mediterranean mussel"
63,"Cupped oysters nei"
64,"Groupers nei"
65,"Marine fishes nei"
66,"Marine molluscs nei"
67,"Mullets nei"
68,"Pacific lion's paw"
69,"Scallops nei"
70,"Snooks(=Robalos) nei"
71,"South American rock mussel"
72,"Whiteleg shrimp"
73,"Barramundi"
74,"Blue shrimp"
75,"Giant tiger prawn"
76,"Indo-Pacific swamp crab"
77,"Jacks, crevalles nei"
78,"Marine fishes nei"
79,"Orange-spotted grouper"
80,"Snappers nei"
81,"Mediterranean mussel"
82,"Barramundi"
83,"Blood cockle"
84,"Green mussel"
85,"Indo-Pacific swamp crab"
86,"Marine fishes nei"
87,"Marine molluscs nei"
88,"Orange-spotted grouper"
89,"Penaeus shrimps nei"
90,"Snappers nei"
91,"American cupped oyster"
92,"Atlantic bluefin tuna"
93,"Atlantic cod"
94,"Atlantic salmon (Atl)"
95,"Atlantic salmon (Pac)"
96,"Blue mussel"
97,"Butter clam"
98,"Chinook(=Spring=King)salmon"
99,"Coho(=Silver)salmon"
100,"Japanese carpet shell"
101,"Marine molluscs nei"
102,"Pacific cupped oyster"
103,"Rainbow trout"
104,"Salmonids nei"
105,"Scallops nei"
106,"Blue mussel"
107,"Great Atlantic scallop"
108,"Grooved carpet shell"
109,"Pacific cupped oyster"
110,"Tuberculate abalone"
111,"Turbot"
112,"Atlantic salmon"
113,"Bastard halibut"
114,"Chilean flat oyster"
115,"Chilean mussel"
116,"Chinook(=Spring=King)salmon"
117,"Cholga mussel"
118,"Choro mussel"
119,"Coho(=Silver)salmon"
120,"Japanese abalone"
121,"Masu(=Cherry) salmon"
122,"Pacific cupped oyster"
123,"Peruvian calico scallop"
124,"Rainbow trout"
125,"Red abalone"
126,"Turbot"
127,"Abalones nei"
128,"Amberjacks nei"
129,"Aquatic invertebrates nei"
130,"Blood cockle"
131,"Cobia"
132,"Cupped oysters nei"
133,"Fleshy prawn"
134,"Florida pompano"
135,"Giant tiger prawn"
136,"Groupers nei"
137,"Indo-Pacific swamp crab"
138,"Japanese carpet shell"
139,"Japanese sea cucumber"
140,"Japanese seabass"
141,"Jellyfishes nei"
142,"Kuruma prawn"
143,"Large yellow croaker"
144,"Lefteye flounders nei"
145,"Marine crabs nei"
146,"Marine fishes nei"
147,"Marine molluscs nei"
148,"Pearl oyster shells nei"
149,"Pen shells nei"
150,"Penaeus shrimps nei"
151,"Porgies, seabreams nei"
152,"Puffers nei"
153,"Red drum"
154,"Righteye flounders nei"
155,"Scallops nei"
156,"Sea mussels nei"
157,"Sea snails"
158,"Sea urchins nei"
159,"Swimming crabs, etc. nei"
160,"Turbot"
161,"Whiteleg shrimp"
162,"Areolate grouper"
163,"Barramundi"
164,"Goldlined seabream"
165,"Greasy grouper"
166,"Hong Kong grouper"
167,"Mangrove red snapper"
168,"Marine fishes nei"
169,"Pacific cupped oyster"
170,"Russell's snapper"
171,"Snubnose pompano"
172,"Cobia"
173,"Cupped oysters nei"
174,"Marine fishes nei"
175,"Tarpon"
176,"Whiteleg shrimp (Atl)"
177,"Whiteleg shrimp (Pac)"
178,"Milkfish"
179,"Natantian decapods nei"
180,"Pacific cupped oyster"
181,"Spotted rose snapper"
182,"Whiteleg shrimp"
183,"Atlantic bluefin tuna"
184,"European flat oyster"
185,"European seabass"
186,"Gilthead seabream"
187,"Marine fishes nei"
188,"Marine molluscs nei"
189,"Meagre"
190,"Mediterranean mussel"
191,"Largemouth black bass"
192,"Mangrove cupped oyster"
193,"Southern white shrimp"
194,"Tropical spiny lobsters nei"
195,"Whiteleg shrimp"
196,"Atlantic bluefin tuna"
197,"Blackspot(=red) seabream"
198,"European seabass"
199,"Gilthead seabream"
200,"Indian white prawn"
201,"Marbled spinefoot"
202,"Meagre"
203,"Red porgy"
204,"Sharpsnout seabream"
205,"Shi drum"
206,"Atlantic cod"
207,"Atlantic salmon"
208,"Blue mussel"
209,"European eel"
210,"European flounder"
211,"European whitefish"
212,"Marine fishes nei"
213,"Rainbow trout"
214,"Sea trout"
215,"Turbot"
216,"American cupped oyster"
217,"Common snook"
218,"European seabass"
219,"Florida pompano"
220,"Gilthead seabream"
221,"Gudgeons, sleepers nei"
222,"Largemouth black bass"
223,"Mullets nei"
224,"Penaeus shrimps nei"
225,"Whiteleg shrimp"
226,"Blue shrimp"
227,"Red drum"
228,"Scallops nei"
229,"Whiteleg shrimp"
230,"European seabass (br)"
231,"Flathead grey mullet"
232,"Gilthead seabream (br)"
233,"Groupers nei"
234,"Jacks, crevalles nei"
235,"Marine fishes nei"
236,"Meagre"
237,"Penaeus shrimps nei"
238,"White seabream"
239,"Anadara clams nei"
240,"Blue shrimp"
241,"Cupped oysters nei"
242,"Marine fishes nei"
243,"Whiteleg shrimp"
244,"blood cockle"
245,"Penaeus shrimps nei"
246,"Rainbow trout"
247,"Blue mussel"
248,"Pacific cupped oyster"
249,"Atlantic salmon"
250,"Rainbow trout"
251,"Anadara clams nei"
252,"Blue shrimp"
253,"Flathead grey mullet"
254,"Giant tiger prawn"
255,"Pearl oyster shells nei"
256,"Atlantic salmon"
257,"European whitefish"
258,"Rainbow trout"
259,"Sea trout"
260,"Atlantic salmon"
261,"Blue mussel"
262,"Clams, etc. nei"
263,"Coho(=Silver)salmon"
264,"Common edible cockle"
265,"European eel"
266,"European flat oyster"
267,"European seabass"
268,"European seabass (br)"
269,"Finfishes nei"
270,"Gilthead seabream"
271,"Great Atlantic scallop"
272,"Grooved carpet shell"
273,"Japanese carpet shell"
274,"Kuruma prawn"
275,"Marine fishes nei"
276,"Marine molluscs nei"
277,"Meagre"
278,"Mediterranean mussel"
279,"Pacific cupped oyster"
280,"Pacific cupped oyster (Med)"
281,"Periwinkles nei"
282,"Rainbow trout"
283,"Sea trout"
284,"Senegalese sole"
285,"Tuberculate abalone"
286,"Turbot"
287,"White seabream"
288,"Barramundi"
289,"Blacklip pearl oyster"
290,"Blue shrimp"
291,"Marine fishes nei"
292,"Sea mussels nei"
293,"Gasar cupped oyster"
294,"Penaeus shrimps nei"
295,"Bastard halibut"
296,"Blue mussel"
297,"Clams, etc. nei"
298,"Common edible cockle"
299,"European seabass"
300,"Pacific cupped oyster"
301,"Rainbow trout"
302,"Turbot"
