"rgn_id","area_2014","area_2015"
1,0,0
2,44,44
3,17,17
4,76.25,76.25
5,465.75,542.5
6,14.75,14.75
7,253.75,253.75
8,103.25,103.25
9,1.25,1.25
10,0,0
11,36.25,36.25
12,8.5,8.5
13,77.25,77.25
14,78.75,78.75
15,3074,3074
16,19981.5,19981.5
17,579,579
18,508.25,508.25
19,0.75,0.75
20,732,732
21,0.5,0.5
24,348.25,348.25
25,744.75,744.75
26,182.25,182.25
28,0.75,0.75
29,50.25,50.25
30,3.5,3.5
31,144.75,144.75
32,32.25,32.25
33,0,0
34,0,0
35,0,0
36,0,0
37,15,15
38,71.25,71.25
39,2.5,2.5
40,196.75,196.75
41,1288,1288
42,314.75,314.75
43,64,64
44,0.75,0.75
45,0,0
46,0,0
47,376.75,376.75
48,142,142
49,0,0
50,545.5,545.5
51,214.5,214.5
52,0,0
53,481.5,481.5
54,246.5,246.5
55,146,146
56,0,0
57,67.75,67.75
58,515,515
59,28.5,28.5
60,3.25,3.25
61,6.5,6.5
62,874,874
63,542,542
64,576.75,576.75
65,93.75,93.75
66,254.75,254.75
67,0,0
68,57,57
69,298.5,298.5
70,1152,1153
71,318.75,318.75
72,446.5,446.5
73,27571.5,27571.5
74,29.75,29.75
75,636.25,636.25
76,189.75,189.75
77,0,0
78,6.5,6.5
79,8.25,8.25
80,4118.25,4118.25
81,76,76
82,29.5,29.5
84,49,49
85,0,5.25
86,12,12
88,49,49
89,1069.25,1069.25
90,93,93
91,0,0
92,0,0
93,0,0
94,105.75,105.75
95,0,0
96,12,12
97,0,0
98,0,0
99,0,0
100,48.25,48.25
101,1435.75,1435.75
102,928.75,928.75
103,0,0
104,284.25,284.25
105,0,0
106,5.5,5.5
107,0,0
108,7,7
110,57.25,57.25
111,176.5,176.5
112,2166,2166
113,19.25,19.25
114,36,36
115,605.75,605.75
116,251.75,251.75
117,3,3
118,0,0
119,0,0
120,68.75,68.75
121,0,0
122,8.25,8.25
123,0.75,0.75
124,0,0
125,0,0
126,116,116
127,18.5,18.5
129,654.25,654.25
130,426.25,426.25
131,760.75,760.75
132,1259.25,1259.25
133,889,889
134,336.5,336.5
135,7126.5,7126.5
136,183.75,183.75
137,1565.5,1565.5
138,461.75,461.75
139,1644.75,1644.75
140,471.75,471.75
141,30.75,30.75
143,269,269
144,128,128
145,16860.75,16860.75
146,21.5,21.5
147,0,0
148,0,0
149,5,5
150,267,267
151,22,22
152,2,2
153,0.25,0.25
154,0,0
155,7.5,7.5
156,0,0
157,53.5,53.5
158,4,4
159,3.25,3.25
161,0,0
162,3636.25,3651.75
163,46194.5,46194.5
164,314,314
166,177.25,177.25
167,95.25,95.25
168,352,352
169,324.75,324.75
171,12709,12709
172,2332,2737
173,100.75,100.75
174,1360.25,1360.25
175,1771,1771
176,2096,2096
177,889.75,890.25
178,668.5,668.5
179,2441,2441
180,6596,6596
181,1345.25,1345.25
182,1819.5,1819.5
183,756.5,756.5
184,2681.5,2681.5
185,1,1
186,1.25,1.25
187,2029,2029
188,14.5,14.5
189,162,162
190,0,0
191,1136.5,1136.5
192,0,0
193,1303.75,1303.75
194,445.25,445.25
195,99,99
196,154.25,154.25
197,299.25,299.25
198,694.5,694.5
199,109.5,109.5
200,300.5,300.5
202,1148.5,1148.5
203,980,980
204,673.25,673.25
205,399.5,399.5
206,423.25,423.25
207,1646.25,1646.25
208,0.75,0.75
209,1329.75,1329.75
210,7044,7044
212,0,0
213,35.75,35.75
214,769.75,769.75
215,0,0
216,9112,9112
218,15080.75,15080.75
219,14.75,14.75
220,0.5,0.5
221,22.5,22.5
222,2260.5,2260.5
223,6758.75,6759.5
224,27438.25,27456.25
227,10.5,10.5
228,0,0
231,114,114
232,1.25,1.25
237,10.5,10.5
244,38.5,38.5
245,13.25,13.25
247,32.5,32.5
248,10.75,10.75
249,0,0
250,0,0
