"rgn_id","area_2014","area_2015"
1,0,0
2,44,44
3,2.75,2.75
4,76.25,76.25
5,220.25,220.25
6,1.5,1.5
7,106.25,106.25
8,81.5,81.5
9,1.25,1.25
10,0,0
11,36.25,36.25
12,0,0
13,27.5,27.5
14,78.75,78.75
15,1910,1910
16,13490.5,13490.5
17,140.25,140.25
18,1.5,1.5
19,0.75,0.75
20,597,597
21,0.5,0.5
24,141,141
25,744.75,744.75
26,108.75,108.75
28,0.75,0.75
29,11.75,11.75
30,0,0
31,144.75,144.75
32,10,10
33,0,0
34,0,0
35,0,0
36,0,0
37,15,15
38,71.25,71.25
39,0,0
40,180,180
41,242,242
42,64.5,64.5
43,23,23
44,0,0
45,0,0
46,0,0
47,376.75,376.75
48,142,142
49,0,0
50,51.75,51.75
51,43,43
52,0,0
53,217.5,217.5
54,173,173
55,79.75,79.75
56,0,0
57,52.75,52.75
58,494,494
59,21,21
60,3.25,3.25
61,6.5,6.5
62,408.5,408.5
63,0,0
64,574.75,574.75
65,72.25,72.25
66,224.25,224.25
67,0,0
68,52,52
69,264.25,264.25
70,1095,1095
71,274.75,274.75
72,446,446
73,25371.5,25371.5
74,29.75,29.75
75,547,547
76,189.25,189.25
77,0,0
78,6.5,6.5
79,0.25,0.25
80,3958.75,3958.75
81,76,76
82,29.5,29.5
84,49,49
85,0,5.25
86,10.25,10.25
88,49,49
89,18.5,18.5
90,76.75,76.75
91,0,0
92,0,0
93,0,0
94,105.75,105.75
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,47.75,47.75
101,795.75,795.75
102,322.75,322.75
103,0,0
104,259,259
105,0,0
106,5.5,5.5
107,0,0
108,1.75,1.75
110,57.25,57.25
111,121.75,121.75
112,2115.25,2115.25
113,10.25,10.25
114,14.5,14.5
115,507.75,507.75
116,100,100
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,7,7
123,0.75,0.75
124,0,0
125,0,0
126,6.5,6.5
127,12.25,12.25
129,613,613
130,382,382
131,416,416
132,597,597
133,496,496
134,327.75,327.75
135,4547.25,4547.25
136,155.5,155.5
137,1340.25,1340.25
138,207,207
139,898.75,898.75
140,355.75,355.75
141,30.75,30.75
143,60.25,60.25
144,128,128
145,16860.75,16860.75
146,21.5,21.5
147,0,0
148,0,0
149,5,5
150,139.5,139.5
151,0.25,0.25
152,2,2
153,0.25,0.25
154,0,0
155,0,0
156,0,0
157,53.5,53.5
158,4,4
159,3.25,3.25
161,0,0
162,3562.5,3578
163,30652.75,30652.75
164,306.75,306.75
166,112,112
167,0,0
168,148,148
169,229,229
171,4107.75,4107.75
172,1022.5,1476.25
173,90.25,90.25
174,1315.5,1315.5
175,1619.75,1619.75
176,1725.5,1725.5
177,889.75,890.25
178,549.75,549.75
179,2147.75,2147.75
180,3405.25,3405.25
181,1345.25,1345.25
182,1696.75,1696.75
183,729,729
184,2610,2610
185,1,1
186,1.25,1.25
187,1966,1966
188,6.5,6.5
189,161.75,161.75
190,0,0
191,562.25,562.25
192,0,0
193,978.5,978.5
194,445.25,445.25
195,35.75,35.75
196,6.25,6.25
197,299.25,299.25
198,232.25,232.25
199,0,0
200,300.5,300.5
202,514.5,514.5
203,859.25,859.25
204,673.25,673.25
205,197.25,197.25
206,340,340
207,1231.25,1231.25
208,0.75,0.75
209,599,599
210,3097.25,3097.25
212,0,0
213,35.75,35.75
214,234.5,234.5
215,0,0
216,5633.75,5633.75
218,14554.25,14554.25
219,14.75,14.75
220,0.5,0.5
221,22.5,22.5
222,1931.25,1931.25
223,6288.5,6289.25
224,27438.25,27438.25
227,0,0
228,0,0
231,0,0
232,1.25,1.25
237,0,0
244,27.25,27.25
245,13.25,13.25
247,7.5,7.5
248,10.75,10.75
249,0,0
250,0,0
