"","stock_id","common","bbmsy_q2.5","bbmsy_q25","bbmsy_q50","bbmsy_q75","bbmsy_q97.5","bbmsy_sd","bbmsy_mean","year","model"
"13","Crassostrea-34","Cupped oysters",1.81374344511402,1.88043592806944,1.93612268405532,1.96617680178093,1.99158302654458,0.0529307493961185,1.92185461388941,1962,"COM-SIR"
"14","Crassostrea-34","Cupped oysters",1.80524298036365,1.87560424724936,1.93360476682115,1.96469857663614,1.99130743001926,0.0555321929652297,1.91836846296933,1963,"COM-SIR"
"15","Crassostrea-34","Cupped oysters",1.79639981287201,1.87059614940594,1.93075497186366,1.9634025902055,1.99102387510827,0.0582269991315542,1.91477925905638,1964,"COM-SIR"
"16","Crassostrea-34","Cupped oysters",1.78720431612873,1.8654067336376,1.92775770067256,1.96192347760602,1.99073187220006,0.0610188458095135,1.91108136051972,1965,"COM-SIR"
"17","Crassostrea-34","Cupped oysters",1.77764698370045,1.86003109161205,1.92505779505462,1.96043188449688,1.99043104919835,0.0639107065386614,1.90727053645359,1966,"COM-SIR"
"18","Crassostrea-34","Cupped oysters",1.76771847310804,1.85416786842199,1.92216260162012,1.95903602817023,1.99012109355268,0.0669049565224828,1.90334363540625,1967,"COM-SIR"
"19","Crassostrea-34","Cupped oysters",1.75740965291851,1.84793566350106,1.91905010528986,1.95759664315658,1.98980172191926,0.0700034467448748,1.89929836740739,1968,"COM-SIR"
"20","Crassostrea-34","Cupped oysters",1.74671165303066,1.84180266800825,1.91561528802493,1.95611278097508,1.9894721489602,0.0732075548332193,1.89513315899353,1969,"COM-SIR"
"21","Crassostrea-34","Cupped oysters",1.73561591810184,1.83497655635658,1.91210830411736,1.95458350206326,1.98913229506397,0.0765182192008005,1.89084705620811,1970,"COM-SIR"
"22","Crassostrea-34","Cupped oysters",1.7241142640237,1.82796364568816,1.90852949435615,1.95295772817606,1.98873914142359,0.0799359613767999,1.88643965955131,1971,"COM-SIR"
"23","Crassostrea-34","Cupped oysters",1.71219893731069,1.8212998707196,1.90488034336105,1.95120597296744,1.98832490094883,0.0834609002029538,1.88191108033531,1972,"COM-SIR"
"24","Crassostrea-34","Cupped oysters",1.69986267721665,1.81477672577605,1.90116330690356,1.94941528222531,1.9878972419756,0.0870927606527272,1.87726191133704,1973,"COM-SIR"
"25","Crassostrea-34","Cupped oysters",1.68709878034254,1.80807632247517,1.89738168066759,1.94765107844998,1.98745586282799,0.0908308793383056,1.87249320685394,1974,"COM-SIR"
"26","Crassostrea-34","Cupped oysters",1.67390116744207,1.80119831635914,1.89353949812062,1.94576165581804,1.98700046660308,0.0946742082540845,1.86760646872735,1975,"COM-SIR"
"27","Crassostrea-34","Cupped oysters",1.6602644520729,1.79323434133044,1.88964144839018,1.94388290741297,1.98653201740879,0.0986213179170525,1.86260363588385,1976,"COM-SIR"
"28","Crassostrea-34","Cupped oysters",1.6460710202794,1.78482631069858,1.88578242843039,1.94217567064504,1.98604700966874,0.102670400770096,1.85748707562463,1977,"COM-SIR"
"29","Crassostrea-34","Cupped oysters",1.63143640359696,1.77622643397711,1.88172111798064,1.94038424268201,1.98554810028832,0.106819275488423,1.85225957537404,1978,"COM-SIR"
"30","Crassostrea-34","Cupped oysters",1.61667769666112,1.76724108402948,1.87766743177975,1.93826139966389,1.98503480726706,0.111065392653578,1.84692433394623,1979,"COM-SIR"
"31","Crassostrea-34","Cupped oysters",1.60124703214041,1.75802288764626,1.87401029500835,1.93615996250643,1.98450611818799,0.115405842120651,1.8414849516475,1980,"COM-SIR"
"32","Crassostrea-34","Cupped oysters",1.58536319944961,1.7493782429247,1.87050872676302,1.93417333797573,1.98396160792313,0.119837362293012,1.83594541872924,1981,"COM-SIR"
"33","Crassostrea-34","Cupped oysters",1.56902645379101,1.7408805028835,1.86600417486038,1.93216892076234,1.98339939222931,0.124356351428489,1.83031010186062,1982,"COM-SIR"
"34","Crassostrea-34","Cupped oysters",1.55223823261633,1.73319906970468,1.86129343230768,1.93017660319634,1.98282094590708,0.128958881026821,1.82458372841458,1983,"COM-SIR"
"35","Crassostrea-34","Cupped oysters",1.53500121885388,1.72585557629649,1.85717572852361,1.92813091912072,1.98222604842315,0.133640711287191,1.8187713684625,1984,"COM-SIR"
"36","Crassostrea-34","Cupped oysters",1.51731940006278,1.71642758109872,1.8530640149413,1.92616736176399,1.98161519034314,0.138397308574289,1.81287841445803,1985,"COM-SIR"
"37","Crassostrea-34","Cupped oysters",1.49919812261348,1.70642431878534,1.84896632938879,1.92421644039808,1.98098820750721,0.143223864790017,1.80691055866266,1986,"COM-SIR"
"38","Crassostrea-34","Cupped oysters",1.48064413997598,1.69616005429572,1.84453494311541,1.92228179709498,1.98034533338991,0.148115318514388,1.80087376842671,1987,"COM-SIR"
"39","Crassostrea-34","Cupped oysters",1.46166565419223,1.68563447664707,1.83953169855209,1.91974550371275,1.97968718057036,0.153066377752235,1.79477425949117,1988,"COM-SIR"
"40","Crassostrea-34","Cupped oysters",1.44227234961997,1.67542770870257,1.83442872606894,1.91705496971013,1.97904561317059,0.158071544101277,1.7886184675192,1989,"COM-SIR"
"41","Crassostrea-34","Cupped oysters",1.4224754180625,1.66648784111538,1.82988385449122,1.91468476255151,1.97843090199005,0.163125138141093,1.78241301810178,1990,"COM-SIR"
"42","Crassostrea-34","Cupped oysters",1.40228757444411,1.65661733988724,1.82642037668894,1.91252537558335,1.9777993122895,0.168221325830876,1.77616469551012,1991,"COM-SIR"
"43","Crassostrea-34","Cupped oysters",1.38172306225468,1.64660102831112,1.82096007260695,1.91037111044177,1.97715044945115,0.173354145695971,1.76988041048876,1992,"COM-SIR"
"44","Crassostrea-34","Cupped oysters",1.36079764806991,1.63666522758484,1.81544369051531,1.90822500567041,1.97645114562258,0.178517536578457,1.76356716739753,1993,"COM-SIR"
"45","Crassostrea-34","Cupped oysters",1.33952860455603,1.62845374780024,1.80997393795688,1.90651684873536,1.97564362894939,0.183705365725038,1.75723203101864,1994,"COM-SIR"
"46","Crassostrea-34","Cupped oysters",1.3184026812475,1.62127589744737,1.80555562145328,1.90396926451675,1.97480977050698,0.188911456985854,1.75088209334665,1995,"COM-SIR"
"47","Crassostrea-34","Cupped oysters",1.30133830473052,1.61239362718864,1.80126943779237,1.90199518887484,1.97400682638492,0.19412961890016,1.74452444067525,1996,"COM-SIR"
"48","Crassostrea-34","Cupped oysters",1.28204966822886,1.60456842747552,1.79703778109458,1.89978155988289,1.97322978763526,0.199353672449087,1.73816612128497,1997,"COM-SIR"
"49","Crassostrea-34","Cupped oysters",1.26216205687592,1.59689412886403,1.79286722313829,1.89743146896784,1.972339032634,0.204577478261692,1.73181411402197,1998,"COM-SIR"
"50","Crassostrea-34","Cupped oysters",1.24218905749187,1.58615337194257,1.78815340141459,1.89522226727737,1.97140261163084,0.209794963068279,1.72547529803885,1999,"COM-SIR"
