season.year,ASD,ASD2,ScientificName,SpeciesCode,EnglishName,Class,Tax_Lev,totC_old,corr.Catch2
1990,483,48,Myctophidae,LXX,Lanternfish,F,4,130,0
1992,5852,58,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,430,0
1993,5852,58,Dissostichus eleginoides,TOP,Patagonian toothfish,F,6,243,0
2001,483,48,Nototheniidae,NOX,Antarctic Rockcods,F,4,1,0
2004,5852,58,Cephalopoda,CEP,Cephalopods,C,2,0.01,0
2009,483,48,Euphausia superba,KRI,Antarctic Krill,C,6,500,0
2007,481,48,Akarotaxis nudiceps,AKN,,F,6,0.002,0.000002
2007,481,48,Paraliparis spp,PVZ,,F,5,0.002,0.000002
2010,481,48,Protomyctophum spp,PVP,,F,5,0.002,0.000002
2006,481,48,Krefftichthys anderssoni,KRA,Lanternfish spp.,F,6,0.003,0.000003
2007,481,48,Krefftichthys anderssoni,KRA,Lanternfish spp.,F,6,0.003,0.000003
2010,481,48,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,0.003,0.000003
2012,481,48,Osteichthyes,MZZ,Unidentified saltwater bony fish,F,2,0.005,0.000005
2009,5852,58,Zanclorhynchus spinifer,ZSP,Spiny horsefish,F,6,0.006,0.000006
2010,481,48,Dissostichus mawsoni,TOA,Antarctic toothfish,F,6,0.0079,0.0000079
2007,481,48,Trematomus loennbergii,TLO,Scaly rockcod,F,6,0.009,0.000009
2010,483,48,Liparididae,LIZ,Snailfish,F,4,0.01,0.00001
2007,481,48,Pogonophryne phyllopogon,PZJ,,F,6,0.011,0.000011
2007,481,48,Protomyctophum spp,PVP,,F,5,0.013,0.000013
2010,41,41,Cryodraco antarcticus,FIC,Long-fingered Icefish,F,6,0.0135,0.0000135
2009,5852,58,Patagonotothen brevicauda,NOT,Patagonian rockcod,F,6,0.019,0.000019
2008,881,88,Paralomis anamerae,KDD,,C,6,0.02,0.00002
2012,482,48,Gymnoscopelus nicholsi,GYN,lanternfish,F,6,0.02,0.00002
2007,481,48,Prionodraco evansii,PEV,Dragonfish spp.,F,6,0.022,0.000022
2011,482,48,Chaenocephalus aceratus,SSI,Blackfin icefish,F,6,0.0248,0.0000248
2008,483,48,Protomyctophum choriodon,PRY,Lanternfish,F,6,0.027000001,2.7E-05
2006,481,48,Artedidraco skottsbergi,ADK,Plunderfish,F,6,0.028,0.000028
2006,481,48,Bathylagus antarcticus,BAA,deepsea smelt,F,6,0.029,0.000029
2008,483,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.029999999,3E-05
2010,483,48,Electrona carlsbergi,ELC,Lanternfish,F,6,0.029999999,3E-05
2010,483,48,Paradiplospinus gracilis,PDG,Splendor escolor,F,6,0.029999999,3E-05
2008,483,48,Notothenia angustifrons,NOF,Narrowheaded rockcod,F,6,0.030999999,3.1E-05
2007,481,48,Harpagifer antarcticus,HGW,Antarctic spiny plunderfish,F,6,0.032,0.000032
2007,483,48,Notolepis annulata,NNV,Ringed barracudina,F,6,0.035999998,3.6E-05
2009,483,48,Aethotaxis mitopteryx,AEM,Longfin icedevil,F,6,0.035999998,3.6E-05
2006,481,48,Gymnoscopelus opisthopterus,GYO,Lanternfish,F,6,0.038,0.000038
2007,481,48,Lycodichthys antarcticus,LCN,eelpout,F,6,0.05,0.00005
2007,481,48,Pogonophryne spp,POG,plunderfish,F,5,0.053,0.000053
2004,5852,58,Bathydraconidae,BTI,Bathydraconidae,F,4,0.06,0.00006
2007,481,48,Macrourus holotrachys,MCH,Bigeye grenadier,F,6,0.062,0.000062
2009,483,48,Artedidraco mirus,AZT,Plunderfish,F,6,0.078000002,7.8E-05
2009,5852,58,Bathydraconidae,BTI,Bathydraconidae,F,4,0.08,0.00008
2006,481,48,Gerlachea australis,GEA,Dragonfish spp.,F,6,0.083,0.000083
2007,481,48,Gymnoscopelus braueri,GYR,Lanternfish,F,6,0.096,0.000096
2007,481,48,Notolepis coatsi,NTO,Antarctic jonasfish,F,6,0.096,0.000096
2001,5844a,58,Muraenolepis spp,MRL,Moray cods,F,5,0.1,0.0001
2004,5852,58,Bathylagus spp,BTY,Deep-sea Smelts,F,5,0.1,0.0001
2005,483,48,Parachaenichthys georgianus,PGE,Bathydraconidae,F,6,0.1,0.0001
