"ScientificName","area","season.year","C_msy_assmt"
"Dissostichus mawsoni","48.6",2008,0
"Dissostichus mawsoni","58.4.3a",2010,0
"Dissostichus mawsoni","58.4.3a",2008,0.036
"Dissostichus mawsoni","58.4.3a",2011,0.046511628
"Dissostichus mawsoni","58.4.3b",2010,0.194444444
"Dissostichus mawsoni","58.4.3b",2012,0.225
"Dissostichus mawsoni","58.4.2",2008,0.278205128
"Dissostichus mawsoni","58.4.3a",2009,0.36
"Dissostichus mawsoni","58.4.3a",2012,0.395348837
"Dissostichus mawsoni","58.4.4a",2012,0.4
"Dissostichus mawsoni","88.2",2010,0.546086957
"Dissostichus mawsoni","58.4.1",2008,0.688333333
"Dissostichus mawsoni","48.6",2009,0.71
"Dissostichus mawsoni","88.2",2008,0.733686067
"Dissostichus mawsoni","48.6",2010,0.7375
"Dissostichus mawsoni","58.4.1",2012,0.747619048
"Dissostichus mawsoni","58.4.2",2012,0.757142857
"Dissostichus mawsoni","88.2",2012,0.781132075
"Dissostichus mawsoni","88.1",2008,0.836666667
"Dissostichus mawsoni","88.2",2009,0.85
"Dissostichus mawsoni","58.4.3b",2009,0.87
"Dissostichus mawsoni","88.1",2009,0.9
"Dissostichus mawsoni","58.4.1",2010,0.933333333
"Dissostichus mawsoni","58.4.3b",2008,0.94
"Dissostichus mawsoni","58.4.2",2009,0.94
"Dissostichus mawsoni","48.6",2012,0.9525
"Dissostichus mawsoni","88.1",2012,0.967397928
"Dissostichus mawsoni","48.6",2011,0.9825
"Dissostichus mawsoni","88.2",2011,1.00173913
"Dissostichus mawsoni","88.1",2010,1.007017544
"Dissostichus mawsoni","88.1",2011,1.01122807
"Dissostichus mawsoni","58.4.1",2011,1.028571429
"Dissostichus mawsoni","58.4.1",2009,1.06
"Dissostichus mawsoni","58.4.2",2010,1.328571429
"Dissostichus mawsoni","58.4.4a",2008,1.54
"Dissostichus mawsoni","58.4.2",2011,1.942857143
"Dissostichus mawsoni","83.3",2008,NA
"Dissostichus mawsoni","83.3",2009,NA
"Dissostichus mawsoni","83.3",2010,NA
"Dissostichus mawsoni","83.3",2011,NA
"Dissostichus mawsoni","83.3",2012,NA
"Dissostichus mawsoni","58.4.3b",2011,NA
"Dissostichus mawsoni","58.4.4a",2009,NA
"Dissostichus mawsoni","58.4.4a",2010,NA
"Dissostichus mawsoni","58.4.4a",2011,NA
"Dissostichus mawsoni","58.4.4b",2008,NA
"Dissostichus mawsoni","58.4.4b",2009,NA
"Dissostichus mawsoni","58.4.4b",2010,NA
"Dissostichus mawsoni","58.4.4b",2011,NA
"Dissostichus mawsoni","58.4.4b",2012,NA
"Champsocephalus gunnari","48.3",2010,0
"Champsocephalus gunnari","48.3",2009,0.01
"Champsocephalus gunnari","58.5.2",2010,0.01
"Champsocephalus gunnari","58.5.2",2011,0.13
"Champsocephalus gunnari","48.3",2011,0.18
"Champsocephalus gunnari","58.5.2",2009,0.22
"Champsocephalus gunnari","48.3",2008,0.48
"Champsocephalus gunnari","48.3",2007,0.54
"Champsocephalus gunnari","58.5.2",2007,0.9
"Champsocephalus gunnari","58.5.2",2008,0.97
"Dissostichus eleginoides","58.5.2",2010,0
"Dissostichus eleginoides","58.5.2",2012,0.708791209
"Dissostichus eleginoides","58.5.1 ",2012,NA
"Dissostichus eleginoides","48.4",2011,0.566666667
"Dissostichus eleginoides","48.3",2011,0.596
"Dissostichus eleginoides","58.5.2",2008,0.5984
"Dissostichus eleginoides","58.5.2",2011,0.632941176
"Dissostichus eleginoides","48.4",2009,0.79
"Dissostichus eleginoides","58.5.2",2009,0.81
"Dissostichus eleginoides","48.3",2010,0.840666667
"Dissostichus eleginoides","48.3",2009,0.86
"Dissostichus eleginoides","48.4",2011,0.9
"Dissostichus eleginoides","48.4",2010,0.975609756
"Dissostichus eleginoides","48.4",2008,0.98
"Dissostichus eleginoides","48.3",2008,0.983673469
"Dissostichus eleginoides","48.4",2009,0.99
"Dissostichus eleginoides","48.4",2010,0.986666667
"Dissostichus eleginoides","58.7",2012,NA
"Dissostichus eleginoides","48.4",2008,NA
"Dissostichus eleginoides","58.7",2008,NA
"Dissostichus eleginoides","58.7",2009,NA
"Dissostichus eleginoides","58.7",2010,NA
"Dissostichus eleginoides","58.7",2011,NA
"Dissostichus eleginoides","58.6",2012,NA
"Dissostichus eleginoides","58.5.1 ",2008,NA
"Dissostichus eleginoides","58.5.1 ",2009,NA
"Dissostichus eleginoides","58.5.1 ",2010,NA
"Dissostichus eleginoides","58.5.1 ",2011,NA
"Dissostichus eleginoides","58.6",2008,NA
"Dissostichus eleginoides","58.6",2009,NA
"Dissostichus eleginoides","58.6",2010,NA
"Dissostichus eleginoides","58.6",2011,NA
"Dissostichus eleginoides","48.4",2012,0.895833333
"Dissostichus eleginoides","48.4",2012,1
"Dissostichus eleginoides","48.3",2012,0.709230769
