SBID,SpeciesCode,CatchWeight,season year,calendar month nr,ASD,TargetSpeciesCode,GearCode,FishingCode
1,TOP,21000,1988,12,586,TOT,OTB,C
2,ANI,207000,1988,12,5851,ANI,OTB,C
2,TOP,1000,1988,12,5851,ANI,OTB,C
3,ANI,358000,1989,1,5851,ANI,OTB,C
4,SQS,8230,1989,3,483,SQS,JIG,S
5,ANI,2640,1989,3,483,MZZ,OTB,S
5,MZZ,590,1989,3,483,MZZ,OTB,S
5,NOG,1210,1989,3,483,MZZ,OTB,S
5,NOR,240,1989,3,483,MZZ,OTB,S
5,NOS,30,1989,3,483,MZZ,OTB,S
5,SGI,1250,1989,3,483,MZZ,OTB,S
5,SSI,730,1989,3,483,MZZ,OTB,S
5,TOP,60,1989,3,483,MZZ,OTB,S
6,KRI,1913000,1989,1,481,KRI,OTM,C
7,KRI,24626000,1989,2,481,KRI,OTM,C
8,KRI,26569000,1989,3,481,KRI,OTM,C
9,KRI,14435000,1989,4,481,KRI,OTM,C
10,KRI,8369000,1989,5,481,KRI,OTM,C
11,KRI,11000,1989,1,482,KRI,OTM,C
12,KRI,2799000,1989,4,482,KRI,OTM,C
13,KRI,206000,1989,5,482,KRI,OTM,C
14,KRI,2879000,1989,2,481,KRI,OTM,C
15,KRI,2764000,1989,3,481,KRI,OTM,C
16,KRI,5753000,1989,4,481,KRI,OTM,C
17,KRI,7041000,1989,2,481,KRI,OTM,C
18,KRI,1330000,1989,3,481,KRI,OTM,C
19,KRI,1108000,1989,4,481,KRI,OTM,C
20,KRI,829000,1988,12,482,KRI,OTM,C
21,KRI,11165000,1989,1,482,KRI,OTM,C
22,KRI,12400000,1989,2,482,KRI,OTM,C
23,KRI,10704000,1989,3,482,KRI,OTM,C
24,KRI,6722000,1989,4,482,KRI,OTM,C
25,KRI,553000,1988,11,482,KRI,OTM,C
26,KRI,2565000,1988,12,482,KRI,OTM,C
27,KRI,16348000,1989,1,482,KRI,OTM,C
28,KRI,7731000,1989,2,482,KRI,OTM,C
29,KRI,6964000,1989,3,482,KRI,OTM,C
30,KRI,513000,1989,4,482,KRI,OTM,C
31,KRI,29000,1989,4,483,KRI,OTM,S
32,KRI,20000,1989,5,483,KRI,OTM,S
33,KRI,22610000,1988,8,483,KRI,OTM,C
34,KRI,20127000,1988,9,483,KRI,OTM,C
35,KRI,3776000,1988,10,483,KRI,OTM,C
36,KRI,192000,1989,1,483,KRI,OTM,C
37,KRI,110000,1989,2,483,KRI,OTM,C
38,KRI,5026000,1989,4,483,KRI,OTM,C
39,KRI,20033000,1989,5,483,KRI,OTM,C
40,KRI,25209000,1989,6,483,KRI,OTM,C
41,KRI,19547000,1989,7,483,KRI,OTM,C
42,KRI,39796000,1988,8,483,KRI,OTM,C
43,KRI,17324000,1988,9,483,KRI,OTM,C
44,KRI,2003000,1988,10,483,KRI,OTM,C
45,KRI,157000,1989,2,483,KRI,OTM,C
46,KRI,900000,1989,3,483,KRI,OTM,C
47,KRI,680000,1989,4,483,KRI,OTM,C
48,KRI,9167000,1989,5,483,KRI,OTM,C
49,KRI,7836000,1989,6,483,KRI,OTM,C
50,KRI,9370000,1989,7,483,KRI,OTM,C
51,ANI,27000,1989,3,482,MZZ,OTB,C
51,NOG,63000,1989,3,482,MZZ,OTB,C
52,ANI,67000,1989,5,482,MZZ,OTB,C
52,NOG,3000,1989,5,482,MZZ,OTB,C
53,ANI,87000,1989,2,481,MZZ,OTB,C
53,NOG,566000,1989,2,481,MZZ,OTB,C
54,ANI,52000,1989,3,481,MZZ,OTB,C
54,LXX,17000,1989,3,481,MZZ,OTB,C
54,NOG,94000,1989,3,481,MZZ,OTB,C
55,ANI,1000,1989,4,481,MZZ,OTB,C
55,NOG,5000,1989,4,481,MZZ,OTB,C
56,NOG,42000,1988,12,482,MZZ,OTB,C
57,NOG,351000,1989,1,482,MZZ,OTB,C
58,ANI,143000,1989,2,482,MZZ,OTB,C
58,NOG,46000,1989,2,482,MZZ,OTB,C
59,ANI,190000,1989,3,482,MZZ,OTB,C
59,NOG,92000,1989,3,482,MZZ,OTB,C
60,ANI,56000,1989,4,482,MZZ,OTB,C
61,ANI,49000,1989,5,482,MZZ,OTB,C
61,NOG,4000,1989,5,482,MZZ,OTB,C
62,LXX,3414000,1988,8,483,MZZ,OTM,C
62,MZZ,2000,1988,8,483,MZZ,OTM,C
63,LXX,2110000,1988,9,483,MZZ,OTM,C
64,LXX,5352000,1988,10,483,MZZ,OTM,C
65,ANI,1368000,1988,11,483,MZZ,OTM,C
65,LXX,2478000,1988,11,483,MZZ,OTM,C
66,LXX,700000,1989,2,483,MZZ,OTM,C
66,MZZ,8000,1989,2,483,MZZ,OTM,C
66,NOT,701000,1989,2,483,MZZ,OTM,C
67,LXX,2944000,1988,8,483,MZZ,OTM,C
67,MZZ,3000,1988,8,483,MZZ,OTM,C
68,LXX,1663000,1988,9,483,MZZ,OTM,C
