"sciname"
"Isurus oxyrinchus"
"Dermochelys coriacea"
"Cetorhinus maximus"
"Prionace glauca"
"Carcharodon carcharias"
"Alopias vulpinus"
"Caretta caretta"
"Balaenoptera physalus"
"Chelonia mydas"
"Galeocerdo cuvier"
"Triaenodon obesus"
"Megaptera novaeangliae"
"Eretmochelys imbricata"
"Cheilinus undulatus"
"Rhincodon typus"
"Balaenoptera musculus"
"Balaenoptera borealis"
"Lepidochelys olivacea"
"Balaenoptera acutorostrata"
"Carcharhinus perezi"
"Lamna nasus"
"Phocoena dioptrica"
"Delphinus delphis"
"Globicephala macrorhynchus"
"Lagenodelphis hosei"
"Lissodelphis peronii"
"Mesoplodon grayi"
"Lagenorhynchus obscurus"
"Peponocephala electra"
"Tursiops truncatus"
"Stenella attenuata"
"Megachasma pelagios"
"Isurus paucus"
"Pseudorca crassidens"
"Mesoplodon layardii"
"Stenella longirostris"
"Carcharhinus melanopterus"
"Orcinus orca"
"Globicephala melas"
"Feresa attenuata"
"Lagenorhynchus cruciger"
"Sousa chinensis"
"Mesoplodon bowdoini"
"Tursiops aduncus"
"Carcharhinus amblyrhynchos"
"Kogia sima"
"Orcaella heinsohni"
"Stenella coeruleoalba"
"Steno bredanensis"
"Grampus griseus"
"Physeter macrocephalus"
"Ziphius cavirostris"
"Balaenoptera edeni"
"Kogia breviceps"
"Tasmacetus shepherdi"
"Hyperoodon planifrons"
"Eubalaena australis"
"Indopacetus pacificus"
"Mesoplodon densirostris"
"Mesoplodon hectori"
"Mesoplodon ginkgodens"
"Natator depressus"
"Caperea marginata"
"Berardius arnuxii"
"Balaenoptera bonaerensis"
"Mesoplodon mirus"
"Eubalaena glacialis"
"Orcaella brevirostris"
"Balaena mysticetus"
"Eschrichtius robustus"
"Ursus maritimus"
"Glyphis gangeticus"
"Lutrogale perspicillata"
"Phocoena sinus"
"Lepidochelys kempii"
"Cephalorhynchus hectori"
"Engraulis ringens"
"Monachus monachus"
"Euphausia superba"
"Aptenodytes forsteri"
"Aptenodytes patagonicus"
"Pygoscelis adeliae"
"Pygoscelis papua"
"Pygoscelis antarcticus"
"Eudyptes chrysolophus"
"Arctocephalus gazella"
"Lobodon carcinophaga"
"Hydrurga leptonyx"
"Ommatophoca rossii"
"Mirounga leonina"
"Leptonychotes weddellii"
"Catharacta sp."
"Diomedea exulans"
"Thalassarche melanophrys"
"Phalacrocorax atriceps"
"Chionis albus"
"Macronectes giganteus"
"Daption capense"
"Stercorarius maccormicki"
"Stercorarius lonnbergi"
"Oceanites oceanicus"
"Catharacta maccormicki"
"Catharacta antarctica"
