sciname,class,order,family,modified_year,category,popn_trend
Chionis albus,AVES,CHARADRIIFORMES,CHIONIDAE,2012,LC,Stable
Stercorarius lonnbergi,AVES,CHARADRIIFORMES,STERCORARIIDAE,2012,LC,Stable
Stercorarius maccormicki,AVES,CHARADRIIFORMES,STERCORARIIDAE,2012,LC,Stable
Aptenodytes patagonicus,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,LC,Increasing
Aptenodytes forsteri,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,NT,Stable
Balaenoptera bonaerensis,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2008,DD,Unknown
Berardius arnuxii,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Caperea marginata,MAMMALIA,CETARTIODACTYLA,NEOBALAENIDAE,2008,DD,Unknown
Pygoscelis papua,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,NT,Decreasing
Pygoscelis adeliae,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,NT,Increasing
Globicephala melas,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2008,DD,Unknown
Pygoscelis antarcticus,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,LC,Increasing
Eudyptes chrysolophus,AVES,SPHENISCIFORMES,SPHENISCIDAE,2012,VU,Decreasing
Macronectes giganteus,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,2012,LC,Increasing
Lagenorhynchus obscurus,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2008,DD,Unknown
Daption capense,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,2012,LC,Stable
Diomedea exulans,AVES,PROCELLARIIFORMES,DIOMEDEIDAE,2012,VU,Decreasing
Lissodelphis peronii,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2012,DD,Unknown
Thalassarche melanophrys,AVES,PROCELLARIIFORMES,DIOMEDEIDAE,2012,EN,Decreasing
Oceanites oceanicus,AVES,PROCELLARIIFORMES,HYDROBATIDAE,2012,LC,Stable
Mesoplodon bowdoini,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Mesoplodon grayi,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Mesoplodon hectori,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Mesoplodon layardii,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Cetorhinus maximus,CHONDRICHTHYES,LAMNIFORMES,CETORHINIDAE,2005,VU,Decreasing
Lamna nasus,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,2006,VU,Decreasing
Orcinus orca,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2013,DD,Unknown
Tasmacetus shepherdi,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,DD,Unknown
Isurus oxyrinchus,CHONDRICHTHYES,LAMNIFORMES,LAMNIDAE,2009,VU,Decreasing
Prionace glauca,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,2009,NT,Unknown
Arctocephalus gazella,MAMMALIA,CARNIVORA,OTARIIDAE,2008,LC,Increasing
Balaenoptera acutorostrata,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2008,LC,Stable
Phocoena dioptrica,MAMMALIA,CETARTIODACTYLA,PHOCOENIDAE,2008,DD,Unknown
Balaenoptera borealis,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2008,EN,Unknown
Balaenoptera musculus,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2008,EN,Increasing
Balaenoptera physalus,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2013,EN,Unknown
Eubalaena australis,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,2013,LC,Increasing
Hydrurga leptonyx,MAMMALIA,CARNIVORA,PHOCIDAE,2008,LC,Unknown
Hyperoodon planifrons,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,LC,Unknown
Lagenorhynchus cruciger,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2008,LC,Unknown
Leptonychotes weddellii,MAMMALIA,CARNIVORA,PHOCIDAE,2008,LC,Unknown
Lobodon carcinophaga,MAMMALIA,CARNIVORA,PHOCIDAE,2008,LC,Unknown
Megaptera novaeangliae,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,2008,LC,Increasing
Mirounga leonina,MAMMALIA,CARNIVORA,PHOCIDAE,2008,LC,Unknown
Ommatophoca rossii,MAMMALIA,CARNIVORA,PHOCIDAE,2008,LC,Unknown
Tursiops truncatus,MAMMALIA,CETARTIODACTYLA,DELPHINIDAE,2012,LC,Unknown
Ziphius cavirostris,MAMMALIA,CETARTIODACTYLA,ZIPHIIDAE,2008,LC,Unknown
Physeter macrocephalus,MAMMALIA,CETARTIODACTYLA,PHYSETERIDAE,2008,VU,Unknown
Phalacrocorax atriceps,AVES,SULIFORMES,PHALACROCORACIDAE,,,
