Layer,Mora,Mora_s4,CBD_hab,MPA_coast,MPA_eez,Join
r_fishing_v1_2013a,1,0,1,1,0,2
r_fishing_v1_eez_2013a,1,0,1,0,1,2
r_fishing_v2_eez_2013a,1,1,1,0,1,2
r_fishing_v3_2013a,0,1,1,1,0,2
r_fishing_v3_eez_2013a,0,1,1,0,1,2
r_habitat_combo_2013a,0,0,1,1,0,2
r_habitat_combo_eez_2013a,0,0,1,0,1,2
