rgn_id_2013,rgn_nam_2013,Join
1,Cocos Islands,2
2,Christmas Island,2
3,Norfolk Island,2
4,Macquarie Island,2
5,New Caledonia,2
6,Vanuatu,2
7,Solomon Islands,2
8,Palau,2
9,Micronesia,2
10,Nauru,2
11,Marshall Islands,2
12,Wake Island,2
13,Northern Mariana Islands and Guam,2
14,Taiwan,2
15,Philippines,2
16,Australia,2
17,Papua New Guinea,2
18,Fiji,2
19,Tuvalu,2
20,South Korea,2
21,North Korea,2
24,Cambodia,2
25,Thailand,2
26,Andaman and Nicobar,2
28,Comoro Islands,2
29,Mayotte,2
30,Glorioso Islands,2
31,Seychelles,2
32,R_union,2
33,Juan de Nova Island,2
34,Bassas da India,2
35,Ile Europa,2
36,Ile Tromelin,2
37,Mauritius,2
38,British Indian Ocean Territory,2
39,Maldives,2
40,Sri Lanka,2
41,Mozambique,2
42,Madagascar,2
43,Kenya,2
44,Somalia,2
45,Eritrea,2
46,Djibouti,2
47,Yemen,2
48,Oman,2
49,Sudan,2
50,Saudi Arabia,2
51,Kuwait,2
52,Bahrain,2
53,Pakistan,2
54,United Arab Emirates,2
55,Azores,2
56,Cape Verde,2
57,Madeira,2
58,Canary Islands,2
59,Belgium,2
60,Gibraltar,2
61,Tunisia,2
62,Morocco,2
63,Western Sahara,2
64,Mauritania,2
65,Gambia,2
66,Senegal,2
67,Libya,2
68,Malta,2
69,Latvia,2
70,Estonia,2
71,Bulgaria,2
72,Romania,2
73,Russia,2
74,Georgia,2
75,Ukraine,2
76,Turkey,2
77,Syria,2
78,Lebanon,2
79,Israel,2
80,Greece,2
81,Cyprus,2
82,Albania,2
84,Algeria,2
85,Ascension,2
86,Saint Helena,2
88,Tristan da Cunha,2
89,South Georgia and the South Sandwich Islands,2
90,Prince Edward Islands,2
91,Crozet Islands,2
92,Amsterdam Island and Saint Paul Island,2
93,Kerguelen Islands,2
94,Heard and McDonald Islands,2
95,Falkland Islands,2
96,Sierra Leone,2
97,Liberia,2
98,Togo,2
99,Benin,2
100,Republique du Congo,2
101,Namibia,2
102,South Africa,2
103,Sao Tome and Principe,2
104,Equatorial Guinea,2
105,Bouvet Island,2
106,Ghana,2
107,Clipperton Island,2
108,Bermuda,2
110,Bahamas,2
111,Turks and Caicos Islands,2
112,Cuba,2
113,Cayman Islands,2
114,Haiti,2
115,Dominican Republic,2
116,Puerto Rico and Virgin Islands of the United States,2
117,British Virgin Islands,2
118,Anguilla,2
119,Saint Kitts and Nevis,2
120,Antigua and Barbuda,2
121,Montserrat,2
122,Saint Lucia,2
123,Dominica,2
124,Barbados,2
125,Grenada,2
126,Trinidad and Tobago,2
127,Saint Vincent and the Grenadines,2
129,Panama,2
130,Costa Rica,2
131,Nicaragua,2
132,Colombia,2
133,Honduras,2
134,El Salvador,2
135,Mexico,2
136,Guatemala,2
137,Ecuador,2
138,Peru,2
139,Venezuela,2
140,Guadeloupe and Martinique,2
141,Faeroe Islands,2
143,Iceland,2
144,Jan Mayen,2
145,Greenland,2
146,Pitcairn,2
147,French Polynesia,2
148,Line Group,2
149,Jarvis Island,2
150,Palmyra Atoll,2
151,American Samoa,2
152,Samoa,2
153,Cook Islands,2
154,Niue,2
155,Tonga,2
156,Tokelau,2
157,Phoenix Group,2
158,Howland Island and Baker Island,2
159,Johnston Atoll,2
161,Wallis and Futuna,2
162,New Zealand,2
163,United States,2
164,Belize,2
166,Jamaica,2
167,Guyana,2
168,Suriname,2
169,French Guiana,2
171,Brazil,2
172,Argentina,2
173,Uruguay,2
174,Finland,2
175,Denmark,2
176,Germany,2
177,Netherlands,2
178,Poland,2
179,France,2
180,United Kingdom,2
181,Ireland,2
182,Spain,2
183,Portugal,2
184,Italy,2
185,Monaco,2
186,Montenegro,2
187,Croatia,2
188,Slovenia,2
189,Lithuania,2
190,Qatar,2
191,Iran,2
192,Iraq,2
193,Guinea Bissau,2
194,Guinea,2
195,Ivory Coast,2
196,Nigeria,2
197,Cameroon,2
198,Gabon,2
199,Democratic Republic of the Congo,2
200,Angola,2
202,Tanzania,2
203,India,2
204,Bangladesh,2
205,Myanmar,2
206,Malaysia,2
207,Vietnam,2
208,Singapore,2
209,China,2
210,Japan,2
212,Kiribati,2
214,Egypt,2
215,Jordan,2
216,Indonesia,2
218,Canada,2
219,Saint Pierre and Miquelon,2
220,Sint Maarten,2
221,Northern Saint-Martin,2
222,Sweden,2
223,Norway,2
224,Chile,2
227,Jersey,2
228,Guernsey,2
231,East Timor,2
232,Bosnia and Herzegovina,2
237,Oecussi Ambeno,2
244,Curacao,2
245,Bonaire,2
247,Brunei,2
248,Saba,2
249,Sint Eustatius,2
250,Aruba,2
