stockid,tsn,scientificname,commonname,areaid,stocklong,region,inmyersdb,myersstockid,OHI_rgn,OHI_name,FAO,check
SEELNSSA1,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 1,European Union,0,,180,United Kingdom,27,
SEELNSSA1,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 1,European Union,0,,223,Norway,27,
SEELNSSA2,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 2,European Union,0,,180,United Kingdom,27,
SEELNSSA2,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 2,European Union,0,,175,Denmark,27,
SEELNSSA2,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 2,European Union,0,,176,Germany,27,
SEELNSSA3,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 3,European Union,0,,180,United Kingdom,27,
SEELNSSA3,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 3,European Union,0,,176,Germany,27,
SEELNSSA3,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 3,European Union,0,,177,Netherlands,27,
SEELNSSA3,171677,Ammodytes marinus,Sand lance,multinational-ICES-IV,Sandeel North Sea Area 3,European Union,0,,59,Belgium,27,
SABLEFPCAN,167123,Anoplopoma fimbria,Sablefish,Canada-DFO-PCOAST,Sablefish Pacific Coast of Canada,Canada West Coast,1,SABLEFPCAN,218,Canada,67,
RDSHRMPMEDGSA6,96062,Aristeus antennatus,Red shrimp,multinational-GFCM-GSA6,Red Shrimp Northern Spain,Mediterranean-Black Sea,0,NA,182,Spain,37,
CATWASG1,-987,Arius spp,Catfish,multinational-FAO-SG1,Catfish West Africa Subgroup 1,West Africa,0,NA,62,Morocco,34,
CATWASG1,-987,Arius spp,Catfish,multinational-FAO-SG1,Catfish West Africa Subgroup 1,West Africa,0,NA,63,Western Sahara,34,
CATWASG1,-987,Arius spp,Catfish,multinational-FAO-SG1,Catfish West Africa Subgroup 1,West Africa,0,NA,57,Madeira,34,
CATWASG1,-987,Arius spp,Catfish,multinational-FAO-SG1,Catfish West Africa Subgroup 1,West Africa,0,NA,58,Canary Islands,34,
CATWASG3,-987,Arius spp,Catfish,multinational-FAO-SG3,Catfish West Africa Subgroup 3,West Africa,0,NA,64,Mauritania,34,
