X,assessid,stockid,stocklong.x,tsn,scientificname,commonname,areaid,region,inmyersdb,myersstockid,OHI_rgn,OHI_name,FAO
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,1,Cocos Islands,57
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,1,Cocos Islands,57
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,1,Cocos Islands,57
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,1,Cocos Islands,57
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,1,Cocos Islands,57
2,IOTC-ALBAIO-1950-2010-CHING,ALBAIO,Albacore tuna Indian Ocean,172419,Thunnus alalunga,albacore tuna,multinational-IOTC-IO,Indian Ocean,0,,2,Christmas Island,57
29,IOTC-BIGEYEIO-1950-2010-CHING,BIGEYEIO,Bigeye tuna Indian Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-IOTC-IO,Indian Ocean,0,,2,Christmas Island,57
169,IOTC-SKJCIO-1950-2010-CHING,SKJCIO,Skipjack tuna Indian Ocean,172401,Katsuwonus pelamis,skipjack tuna,multinational-IOTC-IO,Indian Ocean,0,,2,Christmas Island,57
197,IOTC-SWORDIO-1950-2010-CHING,SWORDIO,Swordfish Indian Ocean,172482,Xiphias gladius,swordfish,multinational-IOTC-IO,Indian Ocean,0,,2,Christmas Island,57
235,IOTC-YFINEIO-1972-2009-BRANCH,YFINEIO,Yellowfin tuna Indian Ocean,172423,Thunnus albacares,Yellowfin tuna,multinational-IOTC-IO,Indian Ocean,0,,2,Christmas Island,57
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,3,Norfolk Island,81
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,3,Norfolk Island,81
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,3,Norfolk Island,81
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,3,Norfolk Island,81
192,SPC-STMARLINSWPO-1952-2011-CHING,STMARLINSWPO,Striped marlin Southwestern Pacific Ocean,768127,Kajikia audax,Striped marlin,multinational-WCPFC-WPO,Pacific Ocean,0,NULL,3,Norfolk Island,81
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,4,Macquarie Island,81
30,SPC-BIGEYEWPO-1952-2006-JENSEN,BIGEYEWPO,Bigeye tuna Western Pacific Ocean,172428,Thunnus obesus,Bigeye tuna,multinational-WCPFC-WPO,Pacific Ocean,0,NA,4,Macquarie Island,81
43,ISC-BMARLINPAC-1952-2010-CHING,BMARLINPAC,Blue marlin Pacific Ocean,172491,Makaira nigricans,blue marlin,Multinational-ISC-PAC,Pacific Ocean,0,,4,Macquarie Island,81
122,ISC-PACBTUNA-1952-2008-CHING,PACBTUNA,Pacific bluefin tuna Pacific Ocean,172422,Thunnus orientalis,pacific bluefin tuna,Multinational-ISC-PAC,Pacific Ocean,0,,4,Macquarie Island,81
192,SPC-STMARLINSWPO-1952-2011-CHING,STMARLINSWPO,Striped marlin Southwestern Pacific Ocean,768127,Kajikia audax,Striped marlin,multinational-WCPFC-WPO,Pacific Ocean,0,NULL,4,Macquarie Island,81
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,5,New Caledonia,71
7,SPC-ALBASPAC-1965-2007-BRANCH,ALBASPAC,Albacore tuna South Pacific Ocean,172419,Thunnus alalunga,Albacore tuna,multinational-WCPFC-SPAC,Pacific Ocean,1,ALBASPAC,5,New Caledonia,81
