"rgn_id","rgn_nam","r2","r1","whence_choice","year","usd","rgn_id_whence","rgn_nam_whence","usd_whence"
1,"Cocos Islands",53,9,"r2",1960,12047440779.3431,16,"Australia",18609026766.7152
1,"Cocos Islands",53,9,"r2",1960,12047440779.3431,162,"New Zealand",5485854791.97096
1,"Cocos Islands",53,9,"r2",1961,12679919529.5115,16,"Australia",19689774890.8052
1,"Cocos Islands",53,9,"r2",1961,12679919529.5115,162,"New Zealand",5670064168.21773
1,"Cocos Islands",53,9,"r2",1962,13000669961.6337,16,"Australia",19923843655.5045
1,"Cocos Islands",53,9,"r2",1962,13000669961.6337,162,"New Zealand",6077496267.76294
1,"Cocos Islands",53,9,"r2",1963,14090551629.5864,16,"Australia",21542165976.0331
1,"Cocos Islands",53,9,"r2",1963,14090551629.5864,162,"New Zealand",6638937283.13963
1,"Cocos Islands",53,9,"r2",1964,15538740895.3105,16,"Australia",23803337439.8029
1,"Cocos Islands",53,9,"r2",1964,15538740895.3105,162,"New Zealand",7274144350.81809
1,"Cocos Islands",53,9,"r2",1965,15816368314.4488,16,"Australia",25978273042.8939
1,"Cocos Islands",53,9,"r2",1965,15816368314.4488,162,"New Zealand",5654463586.00366
1,"Cocos Islands",53,9,"r2",1966,16584571285.6639,16,"Australia",27305409340.3517
1,"Cocos Islands",53,9,"r2",1966,16584571285.6639,162,"New Zealand",5863733230.97616
1,"Cocos Islands",53,9,"r2",1967,18200778483.4321,16,"Australia",30440138873.3341
1,"Cocos Islands",53,9,"r2",1967,18200778483.4321,162,"New Zealand",5961418093.53003
1,"Cocos Islands",53,9,"r2",1968,18944873790.7216,16,"Australia",32709149960.8019
1,"Cocos Islands",53,9,"r2",1968,18944873790.7216,162,"New Zealand",5180597620.64135
1,"Cocos Islands",53,9,"r2",1969,21221594022.4643,16,"Australia",36681599283.2344
1,"Cocos Islands",53,9,"r2",1969,21221594022.4643,162,"New Zealand",5761588761.69421
1,"Cocos Islands",53,9,"r2",1970,41330496136.1855,16,"Australia",41330496136.1855
1,"Cocos Islands",53,9,"r2",1971,26545757059.9756,16,"Australia",45212229812.969
1,"Cocos Islands",53,9,"r2",1971,26545757059.9756,162,"New Zealand",7879284306.98211
1,"Cocos Islands",53,9,"r2",1972,30780124875.7889,16,"Australia",52035046728.972
1,"Cocos Islands",53,9,"r2",1972,30780124875.7889,162,"New Zealand",9525203022.60574
1,"Cocos Islands",53,9,"r2",1973,38278665268.4147,16,"Australia",63818065342.729
1,"Cocos Islands",53,9,"r2",1973,38278665268.4147,162,"New Zealand",12739265194.1005
1,"Cocos Islands",53,9,"r2",1974,51410081337.433,16,"Australia",88959469417.8335
1,"Cocos Islands",53,9,"r2",1974,51410081337.433,162,"New Zealand",13860693257.0325
1,"Cocos Islands",53,9,"r2",1975,55028453753.6613,16,"Australia",97278437798.7164
1,"Cocos Islands",53,9,"r2",1975,55028453753.6613,162,"New Zealand",12778469708.6063
1,"Cocos Islands",53,9,"r2",1976,59270589212.5129,16,"Australia",105025841421.908
1,"Cocos Islands",53,9,"r2",1976,59270589212.5129,162,"New Zealand",13515337003.1177
1,"Cocos Islands",53,9,"r2",1977,62819936135.5147,16,"Australia",110320027529.25
1,"Cocos Islands",53,9,"r2",1977,62819936135.5147,162,"New Zealand",15319844741.7794
1,"Cocos Islands",53,9,"r2",1978,68420259172.9425,16,"Australia",118458154748.477
1,"Cocos Islands",53,9,"r2",1978,68420259172.9425,162,"New Zealand",18382363597.408
1,"Cocos Islands",53,9,"r2",1979,77704645532.9676,16,"Australia",134858570941.724
1,"Cocos Islands",53,9,"r2",1979,77704645532.9676,162,"New Zealand",20550720124.2112
1,"Cocos Islands",53,9,"r2",1980,86498660338.3426,16,"Australia",149957660167.131
1,"Cocos Islands",53,9,"r2",1980,86498660338.3426,162,"New Zealand",23039660509.5541
1,"Cocos Islands",53,9,"r2",1981,100533140399.111,16,"Australia",176884941367.7
1,"Cocos Islands",53,9,"r2",1981,100533140399.111,162,"New Zealand",24181339430.522
1,"Cocos Islands",53,9,"r2",1982,108965871281.314,16,"Australia",194047224980.691
1,"Cocos Islands",53,9,"r2",1982,108965871281.314,162,"New Zealand",23884517581.9374
1,"Cocos Islands",53,9,"r2",1983,100646592223.355,16,"Australia",177255966307.908
1,"Cocos Islands",53,9,"r2",1983,100646592223.355,162,"New Zealand",24037218138.8013
1,"Cocos Islands",53,9,"r2",1984,107514358659.235,16,"Australia",193593551892.773
1,"Cocos Islands",53,9,"r2",1984,107514358659.235,162,"New Zealand",21435165425.6974
1,"Cocos Islands",53,9,"r2",1985,102484345933.763,16,"Australia",180551507248.6
1,"Cocos Islands",53,9,"r2",1985,102484345933.763,162,"New Zealand",24417184618.9258
1,"Cocos Islands",53,9,"r2",1986,106404747780.467,16,"Australia",182504896474.538
1,"Cocos Islands",53,9,"r2",1986,106404747780.467,162,"New Zealand",30304599086.3963
1,"Cocos Islands",53,9,"r2",1987,114861903720.35,16,"Australia",189718766543.145
1,"Cocos Islands",53,9,"r2",1987,114861903720.35,162,"New Zealand",40005040897.5549
1,"Cocos Islands",53,9,"r2",1988,140847272096.506,16,"Australia",236924476135.041
1,"Cocos Islands",53,9,"r2",1988,140847272096.506,162,"New Zealand",44770068057.971
1,"Cocos Islands",53,9,"r2",1989,172200451840.706,16,"Australia",300881035746.275
1,"Cocos Islands",53,9,"r2",1989,172200451840.706,162,"New Zealand",43519867935.1364
1,"Cocos Islands",53,9,"r2",1990,178218506057.642,16,"Australia",311393612928.049
