"rgn_id","totalArea_new500"
46,0
91,0
92,0
93,0
106,0
114,0
152,0.25
186,0.5
49,0.75
190,0.75
192,0.75
208,1
185,1.5
61,2
124,3.5
125,3.5
78,4.5
85,4.75
232,5.25
153,5.75
96,6.25
122,7
21,7.5
118,7.75
237,8.5
227,9.75
219,10.25
86,12.25
117,12.25
2,13
247,14
245,14.5
146,15
248,15.25
84,22
195,22.5
6,22.75
220,24.75
79,26.5
244,27.75
155,35
167,35.5
65,40
126,44
82,45.25
199,47.75
141,50.75
196,52.75
51,59.5
37,77.75
60,84.75
19,86.75
108,89.75
200,92.25
32,95.25
74,105.5
197,107
127,110.25
188,122.5
110,127
113,130.75
14,141.25
149,143.25
81,159.75
213,167
40,170.25
120,201.5
159,206.25
12,209.5
68,210.25
111,229.25
30,241
24,244.5
205,246.5
158,261
59,278.25
3,328.75
100,331
9,332.75
76,338
151,339.75
57,351.25
26,358.75
173,366.75
31,378.75
43,455
39,463
88,505
50,517
13,524.75
136,530.75
206,563.5
134,570.25
104,578.75
231,583
48,601
53,611.5
189,635.25
221,643.75
194,652
62,654.25
90,750.5
4,751.5
144,795.25
8,856.5
71,865.25
55,892.75
169,955.25
66,957.25
198,984.75
94,989.75
29,1003.75
166,1055.75
63,1145.5
204,1152.5
130,1237.25
168,1332.75
47,1346.5
191,1370.75
116,1396.5
157,1510.75
183,1593.75
7,1676.25
72,1777.25
69,1885
150,1912
58,2005.75
75,2030
17,2078.75
64,2313.5
203,2433.75
42,2703.75
38,2706.5
129,2752
178,2884.5
143,2892
115,2903.25
54,2972.5
132,3108.5
101,3227.25
138,3300
209,3306.75
164,3383.25
133,3409
11,3641.75
140,3783.25
20,3839.5
41,4256.5
131,4278.75
102,4288.25
202,4322.75
25,4553.75
181,4571.25
214,4672.5
193,4740
187,4922
139,5130
70,5202.25
182,5492
177,5599.75
162,5756.75
89,6022
18,6480.75
112,7005
80,7769
175,8243
207,8321
222,8896.75
137,9077
176,9145.75
174,9398
5,10525
172,11077
184,12859.25
15,13071.25
179,17589.25
180,20683.5
210,23421
135,24186.5
171,24853.75
224,29457.75
223,31300.25
218,33861.25
145,61462
216,81235.25
73,89564.75
16,103046
163,179337
