"rgn_id","totalArea_new500"
46,0
91,0
92,0
93,0
192,0.25
49,0.5
220,0.75
19,1
124,1
153,1
9,1.25
21,1.25
186,1.5
44,1.75
232,1.75
123,2
208,2.25
28,2.5
185,2.75
159,3.25
30,3.5
39,4
158,4
152,4.25
149,5
60,5.25
61,7
12,8.5
122,8.75
78,10.25
227,10.5
106,11
237,11
248,11
117,11.75
85,13.75
219,14.75
3,19.5
155,21.25
6,22
146,22
86,22.75
188,22.75
96,23.5
245,25
127,25.5
37,27.75
79,30
141,30.75
108,31.5
151,33.25
82,33.75
114,36
11,36.25
221,40
247,40.25
213,42.75
74,45
244,48.5
88,49
59,49.75
2,51.5
84,52
32,53
157,53.5
113,55.5
100,57.75
110,58.5
38,71.25
4,76.25
14,84.5
57,91.25
13,91.5
90,93
68,93.5
120,96
43,96.25
81,98
29,102.5
65,103
173,105
94,105.75
8,106
195,112
199,112.75
231,118
144,128.75
126,130
167,131.25
48,144.75
196,154.25
31,156.5
189,171.75
136,195.75
76,202.5
26,211
166,213.5
40,217
111,223.5
51,252.75
54,255.25
150,267
66,270.25
55,286.75
116,320
104,324.75
69,331
71,336
134,351.75
169,352.25
168,357.25
200,357.5
7,372.5
197,387
24,391.25
164,391.25
42,406
47,409.25
205,449.25
194,462.75
72,471.75
138,504.5
143,528.75
53,531.25
140,532.5
130,556.75
206,566.5
64,583.5
50,631.75
17,643.75
5,645.75
58,667.5
115,703
129,709
204,724.5
178,728.5
75,737.5
63,745
198,774.5
18,814.5
131,823
183,858.25
214,887.25
25,907.25
133,956.75
20,993.75
62,1047.75
203,1064.25
89,1069.25
177,1114.25
102,1129
202,1189.75
191,1199.75
193,1321
132,1354.25
70,1403.5
41,1408.25
101,1537.75
209,1559.75
137,1577
139,1782.5
207,1788.5
174,1888
112,2288
182,2387.75
176,2417
187,2428.25
181,2479.75
172,3001.25
222,3362.75
179,3486
175,3508.25
184,3586.25
15,3694.25
80,4835.5
162,5162.75
135,7710
223,7782
180,8464.25
210,10413.75
216,12391.75
171,14081.5
145,16940.25
218,17682.25
16,24052.5
73,28656.25
224,32964.75
163,54926
