FAOCountry,SAUPCountry
Afghanistan,
Andorra,
Anguilla,
Antigua and Barbuda,Antigua & Barbuda
Armenia,
Aruba,
Austria,
Azerbaijan,
Belarus,
Bermuda,
Bhutan,
Bolivia (Plurinat.State),
Bonaire/S.Eustatius/Saba,Bonaire (Netherlands)
Bonaire/S.Eustatius/Saba,Saba and Saint Eustaius (Netherlands)
Bosnia and Herzegovina,Bosnia & Herzegovina
Botswana,
British Indian Ocean Ter,
British Virgin Islands,
Burkina Faso,
Burundi,
Cabo Verde,Cape Verde
Cayman Islands,
Central African Republic,
Chad,
Channel Islands,
"China, Hong Kong SAR",
"China, Macao SAR",
Congo,Congo (ex-Zaire)
"Congo, Dem. Rep. of the","Congo, R. of"
Curaçao,Curacao
Czech Republic,
Czechoslovakia,
Ethiopia,
Falkland Is.(Malvinas),
Faroe Islands,
"Fiji, Republic of",Fiji
French Southern Terr,
Gibraltar,
Greenland,
Guadeloupe,
Guam,
Hungary,
Iran (Islamic Rep. of),Iran
Isle of Man,
Kazakhstan,
"Korea, Dem. People's Rep",Korea (South)
"Korea, Republic of",Korea (North)
Kyrgyzstan,
Lao People's Dem. Rep.,
Lesotho,
Liechtenstein,
Luxembourg,
"Macedonia, Fmr Yug Rp of",
Malawi,
Mali,
Marshall Islands,Marshall Isl.
Martinique,
Mayotte,
"Micronesia, Fed.States of",Micronesia
"Moldova, Republic of",
Monaco,
Mongolia,
Montserrat,
Nepal,
Netherlands Antilles,Saba and Saint Eustaius (Netherlands)
Netherlands Antilles,Bonaire (Netherlands)
Netherlands Antilles,Sint Maarten (Netherlands)
New Caledonia,
Niger,
Niue,
Norfolk Island,
Northern Mariana Is.,
Other nei,
"Palestine, Occupied Tr.",
Paraguay,
Pitcairn Islands,
Puerto Rico,
Rwanda,
Réunion,
Saint Barthélemy,St Barthelemy (France)
Saint Helena,
Saint Kitts and Nevis,Saint Kitts & Nevis
Saint Vincent/Grenadines,Saint Vincent & the Grenadines
Saint-Martin,St Martin
San Marino,
Sao Tome and Principe,Sao Tome & Principe
Serbia,
Serbia and Montenegro,
Sint Maarten,Sint Maarten (Netherlands)
Slovakia,
Solomon Islands,Solomon Isl.
South Sudan,
St. Pierre and Miquelon,
Sudan (former),
Svalbard and Jan Mayen,
Swaziland,
Switzerland,
Taiwan Province of China,Taiwan
Tajikistan,
"Tanzania, United Rep. of",Tanzania
Timor-Leste,Timor Leste
Tokelau,
Trinidad and Tobago,Trinidad & Tobago
Turkmenistan,
Turks and Caicos Is.,
US Virgin Islands,
Uganda,
Un. Sov. Soc. Rep.,
United States of America,USA
Uzbekistan,
"Venezuela, Boliv Rep of",Venezuela
Wallis and Futuna Is.,
Western Sahara,
Zambia,
Zanzibar,
Zimbabwe,
Totals - Quantity (tonnes),
Totals - Quantity (number),
