rgn_id,sciname,category,popn_trend
1,Balaenoptera musculus,EN,increasing
1,Cheilinus undulatus,EN,decreasing
1,Chelonia mydas,EN,decreasing
1,Megaptera novaeangliae,LC,increasing
1,Triaenodon obesus,NT,unknown
59,Balaenoptera acutorostrata,LC,stable
59,Balaenoptera physalus,EN,unknown
59,Cetorhinus maximus,EN,decreasing
59,Cetorhinus maximus,EN,decreasing
59,Cetorhinus maximus,VU,decreasing
59,Cetorhinus maximus,VU,decreasing
164,Carcharhinus perezi,NT,decreasing
164,Caretta caretta,EN,NA
164,Chelonia mydas,EN,decreasing
164,Dermochelys coriacea,LC,increasing
164,Dermochelys coriacea,LC,decreasing
164,Dermochelys coriacea,VU,increasing
164,Dermochelys coriacea,VU,decreasing
164,Eretmochelys imbricata,CR,decreasing
164,Galeocerdo cuvier,NT,unknown
164,Isurus oxyrinchus,VU,decreasing
164,Isurus oxyrinchus,VU,decreasing
164,Isurus oxyrinchus,VU,decreasing
164,Isurus oxyrinchus,VU,decreasing
164,Prionace glauca,NT,unknown
164,Rhincodon typus,VU,decreasing
208,Cheilinus undulatus,EN,decreasing
208,Isurus oxyrinchus,VU,decreasing
208,Orcaella brevirostris,VU,decreasing
208,Prionace glauca,NT,unknown
210,Alopias vulpinus,VU,decreasing
210,Balaenoptera acutorostrata,LC,stable
210,Balaenoptera borealis,EN,unknown
210,Balaenoptera musculus,EN,increasing
210,Balaenoptera physalus,EN,unknown
210,Carcharhinus melanopterus,NT,decreasing
210,Carcharodon carcharias,VU,unknown
210,Caretta caretta,EN,NA
210,Cetorhinus maximus,VU,decreasing
210,Cetorhinus maximus,VU,decreasing
210,Cetorhinus maximus,EN,decreasing
210,Cetorhinus maximus,EN,decreasing
210,Cheilinus undulatus,EN,decreasing
210,Chelonia mydas,EN,decreasing
210,Dermochelys coriacea,VU,decreasing
210,Dermochelys coriacea,VU,decreasing
210,Dermochelys coriacea,CR,decreasing
210,Dermochelys coriacea,CR,decreasing
210,Eretmochelys imbricata,CR,decreasing
210,Eschrichtius robustus,CR,increasing
210,Eubalaena japonica,EN,unknown
210,Isurus oxyrinchus,VU,decreasing
210,Isurus oxyrinchus,VU,decreasing
210,Isurus oxyrinchus,VU,decreasing
210,Isurus oxyrinchus,VU,decreasing
210,Isurus paucus,VU,decreasing
210,Lepidochelys olivacea,VU,decreasing
210,Megaptera novaeangliae,LC,increasing
210,Prionace glauca,NT,unknown
210,Rhincodon typus,VU,decreasing
