loiczid,rgn_id,rgn_name,mean_risk,n_spp
63280,210,Japan,0.060000000000000005,140
63999,210,Japan,0.058333333333333334,144
64e3,210,Japan,0.05131578947368421,152
64001,210,Japan,0.054143646408839785,181
64002,210,Japan,0.05514018691588785,214
64003,210,Japan,0.05898617511520737,217
64004,210,Japan,0.06927374301675977,179
64005,210,Japan,0.08399999999999999,200
64006,210,Japan,0.0816568047337278,169
64011,210,Japan,0.08153846153846155,130
64719,210,Japan,0.053793103448275856,145
64720,210,Japan,0.05125,160
64721,210,Japan,0.05658536585365854,205
64722,210,Japan,0.05809523809523809,210
64723,210,Japan,0.06507177033492824,209
64724,210,Japan,0.07804878048780488,205
64725,210,Japan,0.081651376146789,218
64726,210,Japan,0.07714285714285714,210
64727,210,Japan,0.08333333333333333,168
64728,210,Japan,0.08023255813953488,172
64729,210,Japan,0.07790697674418606,172
64730,210,Japan,0.07875,160
64731,210,Japan,0.07631578947368423,152
65439,210,Japan,0.053164556962025315,158
65440,210,Japan,0.04731182795698925,186
65441,210,Japan,0.05566037735849057,212
65442,210,Japan,0.05904761904761904,210
65443,210,Japan,0.06331658291457286,199
65444,210,Japan,0.07014218009478672,211
65446,210,Japan,0.07909090909090909,220
65447,210,Japan,0.07605633802816901,213
65448,210,Japan,0.07909604519774012,177
65449,210,Japan,0.07771428571428572,175
65450,210,Japan,0.07191011235955057,178
65451,210,Japan,0.07885714285714286,175
65452,210,Japan,0.08044692737430167,179
66157,210,Japan,0.048366013071895426,153
66158,210,Japan,0.05064935064935065,154
66159,210,Japan,0.049704142011834325,169
66160,210,Japan,0.05544554455445545,202
66161,210,Japan,0.055855855855855854,222
66162,210,Japan,0.05662100456621005,219
66163,210,Japan,0.06666666666666667,216
66164,210,Japan,0.06547085201793723,223
66167,210,Japan,0.08865979381443298,194
66168,210,Japan,0.08202764976958525,217
66169,210,Japan,0.075,224
66170,210,Japan,0.07257383966244726,237
66171,210,Japan,0.07583333333333334,240
66172,210,Japan,0.07190082644628099,242
66877,210,Japan,0.04900662251655629,151
66878,210,Japan,0.04832214765100671,149
66879,210,Japan,0.05340314136125655,191
66880,210,Japan,0.05412844036697248,218
66881,210,Japan,0.05384615384615385,234
66882,210,Japan,0.062264150943396226,212
66883,210,Japan,0.06184738955823294,249
66884,210,Japan,0.07115384615384615,208
66889,210,Japan,0.09333333333333334,180
66890,210,Japan,0.09285714285714286,196
66891,210,Japan,0.07611336032388664,247
66892,210,Japan,0.07196652719665271,239
67596,210,Japan,0.048529411764705876,136
67597,210,Japan,0.0496551724137931,145
67598,210,Japan,0.05680473372781066,169
67599,210,Japan,0.05263157894736843,190
67600,210,Japan,0.05570776255707763,219
67601,210,Japan,0.06129032258064516,248
67602,210,Japan,0.0608,250
67603,210,Japan,0.07142857142857142,224
67610,210,Japan,0.07419354838709677,248
67611,210,Japan,0.07430830039525692,253
67612,210,Japan,0.06818181818181818,264
68315,210,Japan,0.04748201438848921,139
68316,210,Japan,0.04782608695652174,138
68317,210,Japan,0.04967320261437908,153
68318,210,Japan,0.05245901639344263,183
68319,210,Japan,0.054000000000000006,200
68320,210,Japan,0.060000000000000005,260
68321,210,Japan,0.06036363636363637,275
68322,210,Japan,0.07477477477477477,222
68323,210,Japan,0.06473029045643154,241
68324,210,Japan,0.06666666666666667,255
68328,210,Japan,0.06840148698884758,269
68329,210,Japan,0.06615384615384616,260
68330,210,Japan,0.06896551724137931,261
68331,210,Japan,0.05847457627118644,236
68332,210,Japan,0.05772357723577236,246
68333,210,Japan,0.06192893401015229,197
69034,210,Japan,0.05038167938931298,131
69035,210,Japan,0.04888888888888889,135
69036,210,Japan,0.04748201438848921,139
69037,210,Japan,0.046753246753246755,154
69038,210,Japan,0.05340314136125655,191
69039,210,Japan,0.055197132616487454,279
69040,210,Japan,0.058736059479553904,269
69041,210,Japan,0.06319702602230483,269
69042,210,Japan,0.07272727272727272,231
69043,210,Japan,0.06923076923076923,260
69044,210,Japan,0.06869565217391305,230
69045,210,Japan,0.06741573033707865,267
69046,210,Japan,0.06616541353383458,266
69047,210,Japan,0.065942028985507245,276
69048,210,Japan,0.06465517241379311,232
69049,210,Japan,0.05822784810126583,237
69050,210,Japan,0.05963302752293578,218
69051,210,Japan,0.05990338164251209,207
69052,210,Japan,0.06153846153846154,195
69053,210,Japan,0.0659217877094972,179
69054,210,Japan,0.06832298136645965,161
69753,210,Japan,0.04888888888888889,135
69754,210,Japan,0.04817518248175182,137
69755,210,Japan,0.04680851063829788,141
69756,210,Japan,0.04583333333333333,144
69757,210,Japan,0.03914893617021277,235
69758,210,Japan,0.050980392156862744,204
69759,210,Japan,0.05171102661596959,263
69760,210,Japan,0.06160714285714286,224
69761,210,Japan,0.06327272727272729,275
69762,210,Japan,0.06715867158671587,271
69763,210,Japan,0.06666666666666667,267
