"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
6,6,6,6,1,0.626,0.626,0.626,0.626,1,1,1,1,1,1,1,1,1,"v","6",1,1,1,0,0.626
7,7,7,7,1,0.53,0.53,0.53,0.53,1,1,1,1,1,1,1,1,1,"v","7",1,1,1,0,0.53
8,8,8,8,1,0.791,0.791,0.791,0.791,1,1,1,1,1,1,1,1,1,"v","8",1,1,1,0,0.791
9,9,9,9,1,0.645,0.645,0.645,0.645,1,1,1,1,1,1,1,1,1,"v","9",1,1,1,0,0.645
15,15,15,15,1,0.654,0.654,0.654,0.654,1,1,1,1,1,1,1,1,1,"v","15",1,1,1,0,0.654
16,16,16,16,1,0.938,0.938,0.938,0.938,1,1,1,6,6,6,1,1,1,"v","16",1,1,1,0,0.938
17,17,17,17,1,0.466,0.466,0.466,0.466,1,1,1,1,1,1,1,1,1,"v","17",1,1,1,0,0.466
18,18,18,18,1,0.702,0.702,0.702,0.702,1,1,1,1,1,1,1,1,1,"v","18",1,1,1,0,0.702
20,20,20,20,1,0.909,0.909,0.909,0.909,1,1,1,1,1,1,1,1,1,"v","20",1,1,1,0,0.909
24,24,24,24,1,0.543,0.543,0.543,0.543,1,1,1,1,1,1,1,1,1,"v","24",1,1,1,0,0.543
25,25,25,25,1,0.69,0.69,0.69,0.69,1,1,1,1,1,1,1,1,1,"v","25",1,1,1,0,0.69
28,28,28,28,1,0.429,0.429,0.429,0.429,1,1,1,1,1,1,1,1,1,"v","28",1,1,1,0,0.429
31,31,31,31,1,0.806,0.806,0.806,0.806,1,1,1,1,1,1,1,1,1,"v","31",1,1,1,0,0.806
37,37,37,37,1,0.737,0.737,0.737,0.737,1,1,1,1,1,1,1,1,1,"v","37",1,1,1,0,0.737
39,39,39,39,1,0.688,0.688,0.688,0.688,1,1,1,1,1,1,1,1,1,"v","39",1,1,1,0,0.688
40,40,40,40,1,0.715,0.715,0.715,0.715,1,1,1,1,1,1,1,1,1,"v","40",1,1,1,0,0.715
41,41,41,41,1,0.327,0.327,0.327,0.327,1,1,1,1,1,1,1,1,1,"v","41",1,1,1,0,0.327
42,42,42,42,1,0.483,0.483,0.483,0.483,1,1,1,1,1,1,1,1,1,"v","42",1,1,1,0,0.483
43,43,43,43,1,0.519,0.519,0.519,0.519,1,1,1,1,1,1,1,1,1,"v","43",1,1,1,0,0.519
45,45,45,45,1,0.351,0.351,0.351,0.351,1,1,1,1,1,1,1,1,1,"v","45",1,1,1,0,0.351
46,46,46,46,1,0.445,0.445,0.445,0.445,1,1,1,1,1,1,1,1,1,"v","46",1,1,1,0,0.445
47,47,47,47,1,0.458,0.458,0.458,0.458,1,1,1,1,1,1,1,1,1,"v","47",1,1,1,0,0.458
48,48,48,48,1,0.731,0.731,0.731,0.731,1,1,1,1,1,1,1,1,1,"v","48",1,1,1,0,0.731
49,49,49,49,1,0.414,0.414,0.414,0.414,1,1,1,1,1,1,1,1,1,"v","49",1,1,1,0,0.414
50,50,50,50,1,0.782,0.782,0.782,0.782,1,1,1,1,1,1,1,1,1,"v","50",1,1,1,0,0.782
51,51,51,51,1,0.79,0.79,0.79,0.79,1,1,1,1,1,1,1,1,1,"v","51",1,1,1,0,0.79
52,52,52,52,1,0.796,0.796,0.796,0.796,1,1,1,1,1,1,1,1,1,"v","52",1,1,1,0,0.796
53,53,53,53,1,0.515,0.515,0.515,0.515,1,1,1,1,1,1,1,1,1,"v","53",1,1,1,0,0.515
54,54,54,54,1,0.818,0.818,0.818,0.818,1,1,1,1,1,1,1,1,1,"v","54",1,1,1,0,0.818
56,56,56,56,1,0.586,0.586,0.586,0.586,1,1,1,1,1,1,1,1,1,"v","56",1,1,1,0,0.586
59,59,59,59,1,0.897,0.897,0.897,0.897,1,1,1,1,1,1,1,1,1,"v","59",1,1,1,0,0.897
61,61,61,61,1,0.712,0.712,0.712,0.712,1,1,1,1,1,1,1,1,1,"v","61",1,1,1,0,0.712
62,62,62,62,1,0.591,0.591,0.591,0.591,1,1,1,2,2,2,1,1,1,"v","62",1,1,1,0,0.591
64,64,64,64,1,0.467,0.467,0.467,0.467,1,1,1,1,1,1,1,1,1,"v","64",1,1,1,0,0.467
65,65,65,65,1,0.439,0.439,0.439,0.439,1,1,1,1,1,1,1,1,1,"v","65",1,1,1,0,0.439
66,66,66,66,1,0.47,0.47,0.47,0.47,1,1,1,1,1,1,1,1,1,"v","66",1,1,1,0,0.47
67,67,67,67,1,0.769,0.769,0.769,0.769,1,1,1,1,1,1,1,1,1,"v","67",1,1,1,0,0.769
68,68,68,68,1,0.847,0.847,0.847,0.847,1,1,1,1,1,1,1,1,1,"v","68",1,1,1,0,0.847
69,69,69,69,1,0.814,0.814,0.814,0.814,1,1,1,1,1,1,1,1,1,"v","69",1,1,1,0,0.814
70,70,70,70,1,0.846,0.846,0.846,0.846,1,1,1,1,1,1,1,1,1,"v","70",1,1,1,0,0.846
71,71,71,71,1,0.782,0.782,0.782,0.782,1,1,1,1,1,1,1,1,1,"v","71",1,1,1,0,0.782
72,72,72,72,1,0.786,0.786,0.786,0.786,1,1,1,1,1,1,1,1,1,"v","72",1,1,1,0,0.786
73,73,73,73,1,0.788,0.788,0.788,0.788,1,1,1,1,1,1,1,1,1,"v","73",1,1,1,0,0.788
74,74,74,74,1,0.745,0.745,0.745,0.745,1,1,1,1,1,1,1,1,1,"v","74",1,1,1,0,0.745
75,75,75,75,1,0.74,0.74,0.74,0.74,1,1,1,1,1,1,1,1,1,"v","75",1,1,1,0,0.74
76,76,76,76,1,0.722,0.722,0.722,0.722,1,1,1,1,1,1,1,1,1,"v","76",1,1,1,0,0.722
77,77,77,77,1,0.648,0.648,0.648,0.648,1,1,1,1,1,1,1,1,1,"v","77",1,1,1,0,0.648
78,78,78,78,1,0.745,0.745,0.745,0.745,1,1,1,1,1,1,1,1,1,"v","78",1,1,1,0,0.745
79,79,79,79,1,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,1,1,"v","79",1,1,1,0,0.9
80,80,80,80,1,0.86,0.86,0.86,0.86,1,1,1,1,1,1,1,1,1,"v","80",1,1,1,0,0.86
81,81,81,81,1,0.848,0.848,0.848,0.848,1,1,1,1,1,1,1,1,1,"v","81",1,1,1,0,0.848
82,82,82,82,1,0.749,0.749,0.749,0.749,1,1,1,1,1,1,1,1,1,"v","82",1,1,1,0,0.749
84,84,84,84,1,0.713,0.713,0.713,0.713,1,1,1,1,1,1,1,1,1,"v","84",1,1,1,0,0.713
96,96,96,96,1,0.359,0.359,0.359,0.359,1,1,1,1,1,1,1,1,1,"v","96",1,1,1,0,0.359
97,97,97,97,1,0.388,0.388,0.388,0.388,1,1,1,1,1,1,1,1,1,"v","97",1,1,1,0,0.388
98,98,98,98,1,0.459,0.459,0.459,0.459,1,1,1,1,1,1,1,1,1,"v","98",1,1,1,0,0.459
99,99,99,99,1,0.436,0.436,0.436,0.436,1,1,1,1,1,1,1,1,1,"v","99",1,1,1,0,0.436
100,100,100,100,1,0.534,0.534,0.534,0.534,1,1,1,1,1,1,1,1,1,"v","100",1,1,1,0,0.534
101,101,101,101,1,0.608,0.608,0.608,0.608,1,1,1,1,1,1,1,1,1,"v","101",1,1,1,0,0.608
102,102,102,102,1,0.629,0.629,0.629,0.629,1,1,1,2,2,2,1,1,1,"v","102",1,1,1,0,0.629
103,103,103,103,1,0.525,0.525,0.525,0.525,1,1,1,1,1,1,1,1,1,"v","103",1,1,1,0,0.525
104,104,104,104,1,0.554,0.554,0.554,0.554,1,1,1,1,1,1,1,1,1,"v","104",1,1,1,0,0.554
106,106,106,106,1,0.558,0.558,0.558,0.558,1,1,1,1,1,1,1,1,1,"v","106",1,1,1,0,0.558
110,110,110,110,1,0.794,0.794,0.794,0.794,1,1,1,1,1,1,1,1,1,"v","110",1,1,1,0,0.794
112,112,112,112,1,0.78,0.78,0.78,0.78,1,1,1,1,1,1,1,1,1,"v","112",1,1,1,0,0.78
114,114,114,114,1,0.456,0.456,0.456,0.456,1,1,1,1,1,1,1,1,1,"v","114",1,1,1,0,0.456
115,115,115,115,1,0.702,0.702,0.702,0.702,1,1,1,1,1,1,1,1,1,"v","115",1,1,1,0,0.702
119,119,119,119,1,0.745,0.745,0.745,0.745,1,1,1,1,1,1,1,1,1,"v","119",1,1,1,0,0.745
120,120,120,120,1,0.76,0.76,0.76,0.76,1,1,1,1,1,1,1,1,1,"v","120",1,1,1,0,0.76
122,122,122,122,1,0.725,0.725,0.725,0.725,1,1,1,1,1,1,1,1,1,"v","122",1,1,1,0,0.725
123,123,123,123,1,0.745,0.745,0.745,0.745,1,1,1,1,1,1,1,1,1,"v","123",1,1,1,0,0.745
124,124,124,124,1,0.825,0.825,0.825,0.825,1,1,1,1,1,1,1,1,1,"v","124",1,1,1,0,0.825
125,125,125,125,1,0.77,0.77,0.77,0.77,1,1,1,1,1,1,1,1,1,"v","125",1,1,1,0,0.77
126,126,126,126,1,0.76,0.76,0.76,0.76,1,1,1,1,1,1,1,1,1,"v","126",1,1,1,0,0.76
127,127,127,127,1,0.733,0.733,0.733,0.733,1,1,1,1,1,1,1,1,1,"v","127",1,1,1,0,0.733
129,129,129,129,1,0.78,0.78,0.78,0.78,1,1,1,1,1,1,1,1,1,"v","129",1,1,1,0,0.78
130,130,130,130,1,0.773,0.773,0.773,0.773,1,1,1,1,1,1,1,1,1,"v","130",1,1,1,0,0.773
131,131,131,131,1,0.599,0.599,0.599,0.599,1,1,1,1,1,1,1,1,1,"v","131",1,1,1,0,0.599
132,132,132,132,1,0.719,0.719,0.719,0.719,1,1,1,1,1,1,1,1,1,"v","132",1,1,1,0,0.719
133,133,133,133,1,0.632,0.632,0.632,0.632,1,1,1,1,1,1,1,1,1,"v","133",1,1,1,0,0.632
134,134,134,134,1,0.68,0.68,0.68,0.68,1,1,1,1,1,1,1,1,1,"v","134",1,1,1,0,0.68
135,135,135,135,1,0.775,0.775,0.775,0.775,1,1,1,1,1,1,1,1,1,"v","135",1,1,1,0,0.775
136,136,136,136,1,0.581,0.581,0.581,0.581,1,1,1,1,1,1,1,1,1,"v","136",1,1,1,0,0.581
137,137,137,137,1,0.724,0.724,0.724,0.724,1,1,1,1,1,1,1,1,1,"v","137",1,1,1,0,0.724
138,138,138,138,1,0.741,0.741,0.741,0.741,1,1,1,1,1,1,1,1,1,"v","138",1,1,1,0,0.741
139,139,139,139,1,0.748,0.748,0.748,0.748,1,1,1,1,1,1,1,1,1,"v","139",1,1,1,0,0.748
143,143,143,143,1,0.906,0.906,0.906,0.906,1,1,1,1,1,1,1,1,1,"v","143",1,1,1,0,0.906
152,152,152,152,1,0.702,0.702,0.702,0.702,1,1,1,1,1,1,1,1,1,"v","152",1,1,1,0,0.702
155,155,155,155,1,0.71,0.71,0.71,0.71,1,1,1,1,1,1,1,1,1,"v","155",1,1,1,0,0.71
162,162,162,162,1,0.919,0.919,0.919,0.919,1,1,1,4,4,4,1,1,1,"v","162",1,1,1,0,0.919
163,163,163,163,1,0.937,0.937,0.937,0.937,1,1,1,9,9,9,1,1,1,"v","163",1,1,1,0,0.937
164,164,164,164,1,0.702,0.702,0.702,0.702,1,1,1,1,1,1,1,1,1,"v","164",1,1,1,0,0.702
166,166,166,166,1,0.73,0.73,0.73,0.73,1,1,1,1,1,1,1,1,1,"v","166",1,1,1,0,0.73
167,167,167,167,1,0.636,0.636,0.636,0.636,1,1,1,1,1,1,1,1,1,"v","167",1,1,1,0,0.636
168,168,168,168,1,0.684,0.684,0.684,0.684,1,1,1,1,1,1,1,1,1,"v","168",1,1,1,0,0.684
171,171,171,171,1,0.73,0.73,0.73,0.73,1,1,1,1,1,1,1,1,1,"v","171",1,1,1,0,0.73
172,172,172,172,1,0.811,0.811,0.811,0.811,1,1,1,1,1,1,1,1,1,"v","172",1,1,1,0,0.811
173,173,173,173,1,0.792,0.792,0.792,0.792,1,1,1,1,1,1,1,1,1,"v","173",1,1,1,0,0.792
174,174,174,174,1,0.892,0.892,0.892,0.892,1,1,1,1,1,1,1,1,1,"v","174",1,1,1,0,0.892
175,175,175,175,1,0.901,0.901,0.901,0.901,1,1,1,3,3,3,1,1,1,"v","175",1,1,1,0,0.901
176,176,176,176,1,0.92,0.92,0.92,0.92,1,1,1,1,1,1,1,1,1,"v","176",1,1,1,0,0.92
177,177,177,177,1,0.921,0.921,0.921,0.921,1,1,1,7,7,7,1,1,1,"v","177",1,1,1,0,0.921
178,178,178,178,1,0.821,0.821,0.821,0.821,1,1,1,1,1,1,1,1,1,"v","178",1,1,1,0,0.821
179,179,179,179,1,0.893,0.893,0.893,0.893,1,1,1,19,19,19,1,1,1,"v","179",1,1,1,0,0.893
180,180,180,180,1,0.875,0.875,0.875,0.875,1,1,1,17,17,17,1,1,1,"v","180",1,1,1,0,0.875
181,181,181,181,1,0.916,0.916,0.916,0.916,1,1,1,1,1,1,1,1,1,"v","181",1,1,1,0,0.916
182,182,182,182,1,0.885,0.885,0.885,0.885,1,1,1,2,2,2,1,1,1,"v","182",1,1,1,0,0.885
183,183,183,183,1,0.816,0.816,0.816,0.816,1,1,1,3,3,3,1,1,1,"v","183",1,1,1,0,0.816
184,184,184,184,1,0.881,0.881,0.881,0.881,1,1,1,1,1,1,1,1,1,"v","184",1,1,1,0,0.881
186,186,186,186,1,0.791,0.791,0.791,0.791,1,1,1,1,1,1,1,1,1,"v","186",1,1,1,0,0.791
187,187,187,187,1,0.805,0.805,0.805,0.805,1,1,1,1,1,1,1,1,1,"v","187",1,1,1,0,0.805
188,188,188,188,1,0.892,0.892,0.892,0.892,1,1,1,1,1,1,1,1,1,"v","188",1,1,1,0,0.892
189,189,189,189,1,0.818,0.818,0.818,0.818,1,1,1,1,1,1,1,1,1,"v","189",1,1,1,0,0.818
190,190,190,190,1,0.834,0.834,0.834,0.834,1,1,1,1,1,1,1,1,1,"v","190",1,1,1,0,0.834
191,191,191,191,1,0.742,0.742,0.742,0.742,1,1,1,1,1,1,1,1,1,"v","191",1,1,1,0,0.742
192,192,192,192,1,0.59,0.59,0.59,0.59,1,1,1,1,1,1,1,1,1,"v","192",1,1,1,0,0.59
193,193,193,193,1,0.364,0.364,0.364,0.364,1,1,1,1,1,1,1,1,1,"v","193",1,1,1,0,0.364
194,194,194,194,1,0.355,0.355,0.355,0.355,1,1,1,1,1,1,1,1,1,"v","194",1,1,1,0,0.355
