"","","Population","Sanitation","","","","","",""
"","","National","National","","","","Proportion of the 2010 population that gained access since 1995 (%)","",""
"","","","Improved","","Unimproved","","","",""
"Country","Year","x1000","Total Improved (x1000)","Total Improved (%)","Total Unimproved (x1000)","Total Unimproved (%)","","",""
"Afghanistan","1990","11731.2","","","","","17","",""
"","1991","12612.0","2640.0","20.9","9972.1","79.1","","",""
"","1992","13811.9","2893.1","20.9","10918.7","79.1","","",""
"","1993","15175.3","3181.0","21.0","11994.4","79.0","","",""
"","1994","16485.0","3458.0","21.0","13027.1","79.0","","",""
"","1995","17586.1","3691.6","21.0","13894.5","79.0","","",""
"","1996","18415.3","3944.3","21.4","14471.0","78.6","","",""
"","1997","19021.2","4156.4","21.9","14864.9","78.1","","",""
"","1998","19496.8","4345.6","22.3","15151.2","77.7","","",""
"","1999","19987.1","4543.4","22.7","15443.7","77.3","","",""
"","2000","20595.4","4774.0","23.2","15821.3","76.8","","",""
"","2001","21347.8","5045.3","23.6","16302.5","76.4","","",""
"","2002","22202.8","5349.2","24.1","16853.6","75.9","","",""
"","2003","23116.1","5676.7","24.6","17439.5","75.4","","",""
"","2004","24018.7","6011.2","25.0","18007.4","75.0","","",""
"","2005","24860.9","6340.3","25.5","18520.6","74.5","","",""
"","2006","25631.3","6660.2","26.0","18971.1","74.0","","",""
"","2007","26349.2","6975.2","26.5","19374.1","73.5","","",""
"","2008","27032.2","7289.3","27.0","19742.9","73.0","","",""
"","2009","27708.2","7609.8","27.5","20098.4","72.5","","",""
"","2010","28397.8","7942.7","28.0","20455.1","72.0","","",""
"","2011","29105.5","8289.9","28.5","20815.5","71.5","","",""
"","2012","29824.5","8650.2","29.0","21174.3","71.0","","",""
"Albania","1990","3446.9","2737.8","79.4","709.1","20.6","6","",""
"","1991","3459.8","2750.3","79.5","709.5","20.5","","",""
"","1992","3446.9","2744.6","79.6","702.3","20.4","","",""
"","1993","3417.3","2725.5","79.8","691.7","20.2","","",""
"","1994","3384.4","2703.8","79.9","680.6","20.1","","",""
"","1995","3357.9","2705.3","80.6","652.5","19.4","","",""
"","1996","3341.0","2714.1","81.2","626.9","18.8","","",""
"","1997","3331.3","2728.2","81.9","603.1","18.1","","",""
"","1998","3325.5","2745.1","82.5","580.4","17.5","","",""
"","1999","3317.9","2760.2","83.2","557.8","16.8","","",""
"","2000","3304.9","2770.3","83.8","534.7","16.2","","",""
"","2001","3286.1","2775.7","84.5","510.4","15.5","","",""
"","2002","3263.6","2779.6","85.2","484.0","14.8","","",""
"","2003","3239.4","2781.1","85.9","458.2","14.1","","",""
"","2004","3216.2","2782.7","86.5","433.5","13.5","","",""
"","2005","3196.1","2786.1","87.2","410.1","12.8","","",""
"","2006","3179.6","2791.7","87.8","387.8","12.2","","",""
"","2007","3166.2","2799.4","88.4","366.8","11.6","","",""
"","2008","3156.6","2809.7","89.0","346.9","11.0","","",""
"","2009","3151.2","2823.1","89.6","328.1","10.4","","",""
"","2010","3150.1","2839.7","90.1","310.4","9.9","","",""
"","2011","3153.9","2860.1","90.7","293.8","9.3","","",""
"","2012","3162.1","2884.0","91.2","278.1","8.8","","",""
"Algeria","1990","26239.7","23242.1","88.6","2997.6","11.4","27","",""
"","1991","26893.7","23869.1","88.8","3024.6","11.2","","",""
"","1992","27535.2","24487.3","88.9","3047.8","11.1","","",""
"","1993","28157.6","25090.6","89.1","3067.0","10.9","","",""
"","1994","28752.7","25752.4","89.6","3000.4","10.4","","",""
"","1995","29315.5","26386.2","90.0","2929.3","10.0","","",""
"","1996","29845.2","26991.0","90.4","2854.2","9.6","","",""
"","1997","30345.5","27568.9","90.9","2776.6","9.1","","",""
"","1998","30820.4","28124.0","91.3","2696.4","8.7","","",""
"","1999","31276.3","28686.1","91.7","2590.2","8.3","","",""
"","2000","31719.4","29233.1","92.2","2486.3","7.8","","",""
"","2001","32150.2","29764.7","92.6","2385.5","7.4","","",""
"","2002","32573.0","30284.9","93.0","2288.1","7.0","","",""
"","2003","33003.4","30807.8","93.3","2195.6","6.7","","",""
"","2004","33461.3","31352.0","93.7","2109.4","6.3","","",""
"","2005","33960.9","31930.5","94.0","2030.4","6.0","","",""
"","2006","34507.2","32548.8","94.3","1958.4","5.7","","",""
"","2007","35097.0","33203.8","94.6","1893.3","5.4","","",""
"","2008","35725.4","33890.9","94.9","1834.5","5.1","","",""
"","2009","36383.3","34549.8","95.0","1833.5","5.0","","",""
"","2010","37062.8","35228.7","95.1","1834.1","4.9","","",""
"","2011","37763.0","35926.8","95.1","1836.2","4.9","","",""
"","2012","38481.7","36642.1","95.2","1839.6","4.8","","",""
"American Samoa","1990","47.1","28.7","61.0","18.4","39.0","17","",""
"","1991","48.4","29.5","61.0","18.9","39.0","","",""
"","1992","49.6","30.3","61.0","19.4","39.0","","",""
"","1993","50.8","31.0","61.0","19.8","39.0","","",""
"","1994","51.9","31.7","61.1","20.2","38.9","","",""
"","1995","52.9","32.4","61.1","20.6","38.9","","",""
"","1996","53.9","33.0","61.2","20.9","38.8","","",""
"","1997","54.8","33.6","61.3","21.2","38.7","","",""
"","1998","55.7","34.2","61.4","21.5","38.6","","",""
"","1999","56.7","34.8","61.5","21.8","38.5","","",""
"","2000","57.6","35.5","61.5","22.2","38.5","","",""
"","2001","58.6","36.1","61.6","22.5","38.4","","",""
"","2002","59.7","36.8","61.7","22.9","38.3","","",""
"","2003","60.8","37.5","61.8","23.2","38.2","","",""
"","2004","61.9","38.3","61.8","23.6","38.2","","",""
"","2005","63.0","39.0","61.9","24.0","38.1","","",""
"","2006","64.0","39.7","62.0","24.3","38.0","","",""
"","2007","65.1","40.4","62.1","24.7","37.9","","",""
"","2008","66.2","41.2","62.1","25.1","37.9","","",""
"","2009","67.3","41.9","62.2","25.4","37.8","","",""
"","2010","68.4","42.6","62.3","25.8","37.7","","",""
