"sid","sciname","class","order","family","genus","species","authority","modified_year","category","criteria","habitat","popn_trend","shp_dbf","shp_grp","shp_cnt","src_distn","am_speciesid","TEXT","category_2012chg","popn_trend_2012chg"
11144,"Lagenorhynchus cruciger","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lagenorhynchus","cruciger","(Quoy &amp; Gaimard, 1824)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid11144_pts.dbf","mammals",36302,"IUCN","ITS-180447",NA,"LC","Unknown"
11146,"Lagenorhynchus obscurus","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lagenorhynchus","obscurus","(Gray, 1828)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid11146_pts.dbf","mammals",3945,"IUCN","ITS-180445",NA,"DD","Unknown"
11200,"Lamna nasus","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Lamna","nasus","(Bonnaterre, 1788)",2006,"VU","A2bd+3d+4bd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Fis-22768",NA,"VU","Decreasing"
11696,"Leptonychotes weddellii","MAMMALIA","CARNIVORA","PHOCIDAE","Leptonychotes","weddellii","(Lesson, 1826)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid11696_pts.dbf","mammals",25044,"IUCN","ITS-180669",NA,"LC","Unknown"
12126,"Lissodelphis peronii","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lissodelphis","peronii","(Lacépède, 1804)",2012,"DD",NA,"Marine","Unknown","range_mammals_mar_sid12126_pts.dbf","mammals",43641,"IUCN","ITS-180455",NA,"DD","Unknown"
12246,"Lobodon carcinophaga","MAMMALIA","CARNIVORA","PHOCIDAE","Lobodon","carcinophaga","(Hombron &amp; Jacquinot, 1842)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid12246_pts.dbf","mammals",22905,"IUCN","ITS-622023",NA,"LC","Unknown"
13006,"Megaptera novaeangliae","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Megaptera","novaeangliae","(Borowski, 1781)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid13006_pts.dbf","mammals",163778,"IUCN","ITS-180530",NA,"LC","Increasing"
13242,"Mesoplodon bowdoini","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","bowdoini","Andrews, 1908",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid13242_pts.dbf","mammals",28210,"IUCN","ITS-180513",NA,"DD","Unknown"
13247,"Mesoplodon grayi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","grayi","Von Haast, 1876",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid13247_pts.dbf","mammals",50553,"IUCN","ITS-180511",NA,"DD","Unknown"
13248,"Mesoplodon hectori","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","hectori","(Gray, 1871)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid13248_pts.dbf","mammals",29902,"IUCN","ITS-180507",NA,"DD","Unknown"
13249,"Mesoplodon layardii","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Mesoplodon","layardii","(Gray, 1865)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid13249_pts.dbf","mammals",45501,"IUCN","ITS-180516",NA,"DD","Unknown"
13583,"Mirounga leonina","MAMMALIA","CARNIVORA","PHOCIDAE","Mirounga","leonina","(Linnaeus, 1758)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid13583_pts.dbf","mammals",47657,"IUCN","ITS-180671",NA,"LC","Unknown"
15269,"Ommatophoca rossii","MAMMALIA","CARNIVORA","PHOCIDAE","Ommatophoca","rossii","(Gray, 1844)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid15269_pts.dbf","mammals",22905,"IUCN","ITS-180665",NA,"LC","Unknown"
15421,"Orcinus orca","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Orcinus","orca","(Linnaeus, 1758)",2013,"DD",NA,"Marine","Unknown","range_mammals_mar_sid15421_pts.dbf","mammals",171932,"IUCN","ITS-180469",NA,"DD","Unknown"
21500,"Tasmacetus shepherdi","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Tasmacetus","shepherdi","Oliver, 1937",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid21500_pts.dbf","mammals",27449,"IUCN","ITS-180500",NA,"DD","Unknown"
22563,"Tursiops truncatus","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Tursiops","truncatus","(Montagu, 1821)",2012,"LC",NA,"Marine","Unknown","range_mammals_mar_sid22563_pts.dbf","mammals",103190,"IUCN","ITS-180426",NA,"LC","Unknown"
23211,"Ziphius cavirostris","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Ziphius","cavirostris","G. Cuvier, 1823",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid23211_pts.dbf","mammals",121522,"IUCN","ITS-180498",NA,"LC","Unknown"
39341,"Isurus oxyrinchus","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Isurus","oxyrinchus","Rafinesque, 1810",2009,"VU","A2abd+3bd+4abd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Fis-58485",NA,"VU","Decreasing"
39381,"Prionace glauca","CHONDRICHTHYES","CARCHARHINIFORMES","CARCHARHINIDAE","Prionace","glauca","(Linnaeus, 1758)",2009,"NT",NA,"Marine","Unknown",NA,NA,NA,"AquaMaps","Fis-23222",NA,"NT","Unknown"
41715,"Phocoena dioptrica","MAMMALIA","CETARTIODACTYLA","PHOCOENIDAE","Phocoena","dioptrica","(Lahille, 1912)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid41715_pts.dbf","mammals",26656,"IUCN","ITS-180475",NA,"DD","Unknown"
41755,"Physeter macrocephalus","MAMMALIA","CETARTIODACTYLA","PHYSETERIDAE","Physeter","macrocephalus","Linnaeus, 1758",2008,"VU","A1d","Marine","Unknown","range_mammals_mar_sid41755_pts.dbf","mammals",164448,"IUCN","ITS-180488",NA,"VU","Unknown"
106003076,"Chionis albus","AVES","CHARADRIIFORMES","CHIONIDAE","Chionis","albus","(Gmelin, 1789)",2012,"LC",NA,"Marine","Stable","range_birds_mar_sid106003076_pts.dbf","birds",1391,"IUCN",NA,NA,"LC","Stable"
106003197,"Stercorarius lonnbergi","AVES","CHARADRIIFORMES","STERCORARIIDAE","Stercorarius","lonnbergi","Mathews, 1912",2012,"LC",NA,"Marine","Stable","range_birds_mar_sid106003197_pts.dbf","birds",47366,"IUCN",NA,NA,"LC","Stable"
106003199,"Stercorarius maccormicki","AVES","CHARADRIIFORMES","STERCORARIIDAE","Stercorarius","maccormicki","(Saunders, 1893)",2012,"LC",NA,"Marine","Stable","range_birds_mar_sid106003199_pts.dbf","birds",11653,"IUCN","ITS-660062",NA,"LC","Stable"
106003848,"Aptenodytes patagonicus","AVES","SPHENISCIFORMES","SPHENISCIDAE","Aptenodytes","patagonicus","Miller, 1778",2012,"LC",NA,"Marine","Increasing","range_birds_mar_sid106003848_pts.dbf","birds",11793,"IUCN",NA,NA,"LC","Increasing"
106003849,"Aptenodytes forsteri","AVES","SPHENISCIFORMES","SPHENISCIDAE","Aptenodytes","forsteri","Gray, 1844",2012,"NT",NA,"Marine","Stable","range_birds_mar_sid106003849_pts.dbf","birds",12062,"IUCN",NA,NA,"NT","Stable"
106003850,"Pygoscelis papua","AVES","SPHENISCIFORMES","SPHENISCIDAE","Pygoscelis","papua","(Forster, 1781)",2012,"NT",NA,"Marine","Decreasing","range_birds_mar_sid106003850_pts.dbf","birds",18087,"IUCN",NA,NA,"NT","Decreasing"
106003851,"Pygoscelis adeliae","AVES","SPHENISCIFORMES","SPHENISCIDAE","Pygoscelis","adeliae","(Hombron & Jacquinot, 1841)",2012,"NT",NA,"Marine","Increasing","range_birds_mar_sid106003851_pts.dbf","birds",15301,"IUCN",NA,NA,"NT","Increasing"
106003852,"Pygoscelis antarcticus","AVES","SPHENISCIFORMES","SPHENISCIDAE","Pygoscelis","antarcticus","(Forster, 1781)",2012,"LC",NA,"Marine","Increasing","range_birds_mar_sid106003852_pts.dbf","birds",23874,"IUCN",NA,NA,"LC","Increasing"
106003857,"Eudyptes chrysolophus","AVES","SPHENISCIFORMES","SPHENISCIDAE","Eudyptes","chrysolophus","(Brandt, 1837)",2012,"VU","A2bce+3bce+4bce","Marine","Decreasing","range_birds_mar_sid106003857_pts.dbf","birds",10311,"IUCN",NA,NA,"VU","Decreasing"
106003870,"Macronectes giganteus","AVES","PROCELLARIIFORMES","PROCELLARIIDAE","Macronectes","giganteus","(Gmelin, 1789)",2012,"LC",NA,"Marine","Increasing","range_birds_mar_sid106003870_pts.dbf","birds",55757,"IUCN","ITS-174594",NA,"LC","Increasing"
106003875,"Daption capense","AVES","PROCELLARIIFORMES","PROCELLARIIDAE","Daption","capense","(Linnaeus, 1758)",2012,"LC",NA,"Marine","Stable","range_birds_mar_sid106003875_pts.dbf","birds",75379,"IUCN",NA,NA,"LC","Stable"
106003952,"Diomedea exulans","AVES","PROCELLARIIFORMES","DIOMEDEIDAE","Diomedea","exulans","Linnaeus, 1758",2012,"VU","A4bd","Marine","Decreasing","range_birds_mar_sid106003952_pts.dbf","birds",44892,"IUCN","ITS-174525",NA,"VU","Decreasing"
106003959,"Thalassarche melanophrys","AVES","PROCELLARIIFORMES","DIOMEDEIDAE","Thalassarche","melanophrys","(Temminck, 1828)",2012,"EN","A4bd","Marine","Decreasing","range_birds_mar_sid106003959_pts.dbf","birds",54572,"IUCN",NA,NA,"EN","Decreasing"
106003969,"Oceanites oceanicus","AVES","PROCELLARIIFORMES","HYDROBATIDAE","Oceanites","oceanicus","(Kuhl, 1820)",2012,"LC",NA,"Marine","Stable","range_birds_mar_sid106003969_pts.dbf","birds",124952,"IUCN",NA,NA,"LC","Stable"
