"sid","sciname","class","order","family","genus","species","authority","modified_year","category","criteria","habitat","popn_trend","shp_dbf","shp_grp","shp_cnt","src_distn","am_speciesid","TEXT","category_2012chg","popn_trend_2012chg"
2058,"Arctocephalus gazella","MAMMALIA","CARNIVORA","OTARIIDAE","Arctocephalus","gazella","(Peters, 1875)",2008,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2058_pts.dbf","mammals",10926,"IUCN","ITS-180630",NA,"LC","Increasing"
2467,"Balaena mysticetus","MAMMALIA","CETARTIODACTYLA","BALAENIDAE","Balaena","mysticetus","Linnaeus, 1758",2012,"LC",NA,"Marine","Increasing","range_mammals_mar_sid2467_pts.dbf","mammals",10955,"IUCN","ITS-180533",NA,"LC","Increasing"
2474,"Balaenoptera acutorostrata","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","acutorostrata","Lacépède, 1804",2008,"LC",NA,"Marine","Stable","range_mammals_mar_sid2474_pts.dbf","mammals",164815,"IUCN","ITS-180524",NA,"LC","Stable"
2475,"Balaenoptera borealis","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","borealis","Lesson, 1828",2008,"EN","A1ad","Marine","Unknown","range_mammals_mar_sid2475_pts.dbf","mammals",143012,"IUCN","ITS-180526",NA,"EN","Unknown"
2476,"Balaenoptera edeni","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","edeni","Anderson, 1879",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid2476_pts.dbf","mammals",88425,"IUCN","ITS-180525",NA,"DD","Unknown"
2477,"Balaenoptera musculus","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","musculus","(Linnaeus, 1758)",2008,"EN","A1abd","Marine","Increasing","range_mammals_mar_sid2477_pts.dbf","mammals",163199,"IUCN","ITS-180528",NA,"EN","Increasing"
2478,"Balaenoptera physalus","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","physalus","(Linnaeus, 1758)",2013,"EN","A1d","Marine","Unknown","range_mammals_mar_sid2478_pts.dbf","mammals",111479,"IUCN","ITS-180527",NA,"EN","Unknown"
2480,"Balaenoptera bonaerensis","MAMMALIA","CETARTIODACTYLA","BALAENOPTERIDAE","Balaenoptera","bonaerensis","Burmeister, 1867",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid2480_pts.dbf","mammals",88985,"IUCN","ITS-612592",NA,"DD","Unknown"
2762,"Berardius arnuxii","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Berardius","arnuxii","Duvernoy, 1851",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid2762_pts.dbf","mammals",61161,"IUCN","ITS-180495",NA,"DD","Unknown"
3778,"Caperea marginata","MAMMALIA","CETARTIODACTYLA","NEOBALAENIDAE","Caperea","marginata","(Gray, 1846)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid3778_pts.dbf","mammals",35305,"IUCN","ITS-180535",NA,"DD","Unknown"
3855,"Carcharodon carcharias","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Carcharodon","carcharias","(Linnaeus, 1758)",2009,"VU","A2cd+3cd","Marine","Unknown",NA,NA,NA,"AquaMaps","Fis-23071",NA,"VU","Unknown"
3897,"Caretta caretta","REPTILIA","TESTUDINES","CHELONIIDAE","Caretta","caretta","(Linnaeus, 1758)",1996,"EN","A1abd","Marine",NA,NA,NA,NA,"AquaMaps","Rep-1408",NA,"EN",NA
4292,"Cetorhinus maximus","CHONDRICHTHYES","LAMNIFORMES","CETORHINIDAE","Cetorhinus","maximus","(Gunnerus, 1765)",2005,"VU","A2ad+3d","Marine","Decreasing",NA,NA,NA,"AquaMaps","Fis-22747",NA,"VU","Decreasing"
4592,"Cheilinus undulatus","ACTINOPTERYGII","PERCIFORMES","LABRIDAE","Cheilinus","undulatus","Rüppell, 1835",2004,"EN","A2bd+3bd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Fis-31463",NA,"EN","Decreasing"
4615,"Chelonia mydas","REPTILIA","TESTUDINES","CHELONIIDAE","Chelonia","mydas","(Linnaeus, 1758)",2004,"EN","A2bd","Marine","Decreasing","range_reptiles_mar_sid4615_pts.dbf","reptiles",70034,"IUCN","Rep-1599",NA,"EN","Decreasing"
6336,"Delphinus delphis","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Delphinus","delphis","Linnaeus, 1758",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid6336_pts.dbf","mammals",38602,"IUCN","ITS-180438",NA,"LC","Unknown"
6494,"Dermochelys coriacea","REPTILIA","TESTUDINES","DERMOCHELYIDAE","Dermochelys","coriacea","(Vandelli, 1761)",2000,"CR","A1abd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Rep-2331",NA,"CR","Decreasing"
8005,"Eretmochelys imbricata","REPTILIA","TESTUDINES","CHELONIIDAE","Eretmochelys","imbricata","(Linnaeus, 1766)",2008,"CR","A2bd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Rep-2852",NA,"CR","Decreasing"
8097,"Eschrichtius robustus","MAMMALIA","CETARTIODACTYLA","ESCHRICHTIIDAE","Eschrichtius","robustus","(Lilljeborg, 1861)",2008,"LC",NA,"Marine","Stable","range_mammals_mar_sid8097_pts.dbf","mammals",3196,"IUCN","ITS-180521",NA,"LC","Stable"
8153,"Eubalaena australis","MAMMALIA","CETARTIODACTYLA","BALAENIDAE","Eubalaena","australis","(Desmoulins, 1822)",2013,"LC",NA,"Marine","Increasing","range_mammals_mar_sid8153_pts.dbf","mammals",46492,"IUCN","ITS-552771",NA,"LC","Increasing"
8551,"Feresa attenuata","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Feresa","attenuata","Gray, 1875",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid8551_pts.dbf","mammals",80396,"IUCN","ITS-180461",NA,"DD","Unknown"
9249,"Globicephala macrorhynchus","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Globicephala","macrorhynchus","Gray, 1846",2011,"DD",NA,"Marine","Unknown","range_mammals_mar_sid9249_pts.dbf","mammals",89267,"IUCN","ITS-180466",NA,"DD","Unknown"
9250,"Globicephala melas","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Globicephala","melas","(Traill, 1809)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid9250_pts.dbf","mammals",68442,"IUCN","ITS-552461",NA,"DD","Unknown"
9461,"Grampus griseus","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Grampus","griseus","(G. Cuvier, 1812)",2012,"LC",NA,"Marine","Unknown","range_mammals_mar_sid9461_pts.dbf","mammals",97497,"IUCN","ITS-180457",NA,"LC","Unknown"
10340,"Hydrurga leptonyx","MAMMALIA","CARNIVORA","PHOCIDAE","Hydrurga","leptonyx","(de Blainville, 1820)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid10340_pts.dbf","mammals",33671,"IUCN","ITS-180667",NA,"LC","Unknown"
10708,"Hyperoodon planifrons","MAMMALIA","CETARTIODACTYLA","ZIPHIIDAE","Hyperoodon","planifrons","Flower, 1882",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid10708_pts.dbf","mammals",55731,"IUCN","ITS-180505",NA,"LC","Unknown"
11047,"Kogia breviceps","MAMMALIA","CETARTIODACTYLA","PHYSETERIDAE","Kogia","breviceps","(Blainville, 1838)",2012,"DD",NA,"Marine","Unknown","range_mammals_mar_sid11047_pts.dbf","mammals",102276,"IUCN","ITS-180491",NA,"DD","Unknown"
11048,"Kogia sima","MAMMALIA","CETARTIODACTYLA","PHYSETERIDAE","Kogia","sima","(Owen, 1866)",2012,"DD",NA,"Marine","Unknown","range_mammals_mar_sid11048_pts.dbf","mammals",94432,"IUCN","ITS-180492",NA,"DD","Unknown"
11140,"Lagenodelphis hosei","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lagenodelphis","hosei","Fraser, 1956",2012,"LC",NA,"Marine","Unknown","range_mammals_mar_sid11140_pts.dbf","mammals",68184,"IUCN","ITS-180440",NA,"LC","Unknown"
11144,"Lagenorhynchus cruciger","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lagenorhynchus","cruciger","(Quoy &amp; Gaimard, 1824)",2008,"LC",NA,"Marine","Unknown","range_mammals_mar_sid11144_pts.dbf","mammals",36302,"IUCN","ITS-180447",NA,"LC","Unknown"
11146,"Lagenorhynchus obscurus","MAMMALIA","CETARTIODACTYLA","DELPHINIDAE","Lagenorhynchus","obscurus","(Gray, 1828)",2008,"DD",NA,"Marine","Unknown","range_mammals_mar_sid11146_pts.dbf","mammals",3945,"IUCN","ITS-180445",NA,"DD","Unknown"
11200,"Lamna nasus","CHONDRICHTHYES","LAMNIFORMES","LAMNIDAE","Lamna","nasus","(Bonnaterre, 1788)",2006,"VU","A2bd+3d+4bd","Marine","Decreasing",NA,NA,NA,"AquaMaps","Fis-22768",NA,"VU","Decreasing"
