rgn_type,rgn_id,rgn_name,area_km2
eez,69,Latvia,28956.5603863
eez,70,Estonia,36458.0532582
eez,73,Russia,23180.5762176
eez,174,Finland,79641.3714872
eez,175,Denmark,100848.713324
eez,176,Germany,56482.2641729
eez,178,Poland,32013.9687495
eez,189,Lithuania,6141.46896454
eez,222,Sweden,155604.629329
land,69,Latvia,57799.254681
land,70,Estonia,45441.6009755
land,73,Russia,129489.549223
land,174,Finland,244474.224362
land,175,Denmark,45063.2482912
land,176,Germany,135195.212995
land,178,Poland,119088.480982
land,189,Lithuania,47978.2118206
land,222,Sweden,357841.178793
