rgn_type,rgn_id,rgn_name,area_km2
eez,1,Denmark_AB,297.237390012
eez,2,Denmark_BHB,111.893537895
eez,3,Denmark_CK,198.931877934
eez,4,Denmark_FB,968.781869509
eez,5,Denmark_NK,137.515918065
eez,6,Denmark_ÖS,97.5582874255
eez,7,Denmark_OT,694.357724071
eez,8,Denmark_SB,1653.51036585
eez,9,Denmark_SK,421.576923147
eez,10,Estonia_BP,811.901981086
eez,11,Estonia_GoF,443.359305176
eez,12,Estonia_GoR,1176.77408259
eez,13,Finland_BB,2639.03387312
eez,14,Finland_BP,1550.1438736
eez,15,Finland_BS,9497.63469761
eez,16,Finland_GoF,2082.39521408
eez,17,Germany_AB,503.55626
eez,18,Germany_BHB,447.790622631
eez,19,Germany_FB,552.662412071
eez,20,Germany_OT,1483.47547447
eez,21,Latvia_BP,214.531686243
eez,22,Latvia_GoR,324.047548341
eez,23,Lithuania_BP,203.893737222
eez,24,Poland_BHB,438.263978769
eez,25,Poland_BP,381.970415497
eez,26,Russia_BP,467.607422256
eez,27,Russia_GoF,1358.16299166
eez,28,Sweden_AB,150.261376268
eez,29,Sweden_BB,2639.736895
eez,30,Sweden_BHB,524.59090579
eez,31,Sweden_BP,5926.06893834
eez,32,Sweden_BS,2751.45450131
eez,33,Sweden_CK,200.648656144
eez,34,Sweden_NK,385.28456405
eez,35,Sweden_ÖS,95.8298067741
eez,36,Sweden_OT,899.854966378
eez,37,Sweden_SK,219.81277458
