rgn_type,rgn_id,rgn_name,area_km2
sp_type,1,Denmark_AB,1894.38499503
sp_type,2,Denmark_BHB,578.07435905
sp_type,3,Denmark_CK,2814.31741169
sp_type,4,Denmark_FB,5121.1495109
sp_type,5,Denmark_NK,703.392695066
sp_type,6,Denmark_ÖS,611.799297047
sp_type,7,Denmark_OT,11713.9711073
sp_type,8,Denmark_SB,9911.7616038
sp_type,9,Denmark_SK,2709.22541269
sp_type,10,Estonia_BP,3827.26269872
sp_type,11,Estonia_GoF,5715.15557997
sp_type,12,Estonia_GoR,7934.68491849
sp_type,13,Finland_BB,14805.0571304
sp_type,14,Finland_BP,2392.81670775
sp_type,15,Finland_BS,16999.6408284
sp_type,16,Finland_GoF,6980.12575487
sp_type,17,Germany_AB,2798.35917326
sp_type,18,Germany_BHB,3627.11216453
sp_type,19,Germany_FB,9452.16944571
sp_type,20,Germany_OT,15472.0631763
sp_type,21,Latvia_BP,4546.88104369
sp_type,22,Latvia_GoR,7315.06298912
sp_type,23,Lithuania_BP,2627.92525036
sp_type,24,Poland_BHB,7036.3190811
sp_type,25,Poland_BP,5930.2202013
sp_type,26,Russia_BP,5500.22649753
sp_type,27,Russia_GoF,10736.8878646
sp_type,28,Sweden_AB,1799.18116026
sp_type,29,Sweden_BB,12979.7064387
sp_type,30,Sweden_BHB,4920.58621624
sp_type,31,Sweden_BP,23047.691389
sp_type,32,Sweden_BS,19136.7377619
sp_type,33,Sweden_CK,1944.80410821
sp_type,34,Sweden_NK,1144.70777381
sp_type,35,Sweden_ÖS,1786.50682674
sp_type,36,Sweden_OT,5290.19029663
sp_type,37,Sweden_SK,3480.98894204
