rgn_type,rgn_id,rgn_name,area_km2
eez,1,Denmark_AB,1305.7686424
eez,2,Denmark_BHB,747.269204213
eez,3,Denmark_CK,902.851610554
eez,4,Denmark_FB,2697.73283209
eez,5,Denmark_NK,799.411933889
eez,6,Denmark_ÖS,379.843356978
eez,7,Denmark_OT,3096.95891424
eez,8,Denmark_SB,6276.4770232
eez,9,Denmark_SK,1585.44850492
eez,10,Estonia_BP,3295.30980036
eez,11,Estonia_GoF,2099.59064112
eez,12,Estonia_GoR,4059.53278917
eez,13,Finland_BB,6484.32837332
eez,14,Finland_BP,3684.95542025
eez,15,Finland_BS,14826.3216714
eez,16,Finland_GoF,3741.6676741
eez,17,Germany_AB,1267.47591258
eez,18,Germany_BHB,1465.25331171
eez,19,Germany_FB,2262.47938924
eez,20,Germany_OT,5757.03300094
eez,21,Latvia_BP,1181.55922125
eez,22,Latvia_GoR,1819.25088657
eez,23,Lithuania_BP,865.936744715
eez,24,Poland_BHB,1724.61109342
eez,25,Poland_BP,1792.70593046
eez,26,Russia_BP,2011.55551001
eez,27,Russia_GoF,5358.36242812
eez,28,Sweden_AB,781.980678361
eez,29,Sweden_BB,5833.46337714
eez,30,Sweden_BHB,1650.1505768
eez,31,Sweden_BP,13556.2822281
eez,32,Sweden_BS,6854.06858161
eez,33,Sweden_CK,651.903660215
eez,34,Sweden_NK,805.304728612
eez,35,Sweden_ÖS,462.969809672
eez,36,Sweden_OT,1910.08342555
eez,37,Sweden_SK,1052.76332557
