rgn_type,rgn_id,rgn_name,area_km2
land,1,Denmark_AB,301.996278538
land,2,Denmark_BHB,98.1723041015
land,3,Denmark_CK,195.973644938
land,4,Denmark_FB,855.27472143
land,5,Denmark_NK,107.602761978
land,6,Denmark_ÖS,89.3157077483
land,7,Denmark_OT,681.09593531
land,8,Denmark_SB,1433.66508458
land,9,Denmark_SK,437.813675038
land,10,Estonia_BP,661.937737679
land,11,Estonia_GoF,341.198803959
land,12,Estonia_GoR,892.884867103
land,13,Finland_BB,1776.90935334
land,14,Finland_BP,540.433962095
land,15,Finland_BS,5100.80161346
land,16,Finland_GoF,1170.7308298
land,17,Germany_AB,512.516451924
land,18,Germany_BHB,494.715522888
land,19,Germany_FB,598.936182537
land,20,Germany_OT,1254.40763599
land,21,Latvia_BP,213.715861375
land,22,Latvia_GoR,332.346311254
land,23,Lithuania_BP,213.282836618
land,24,Poland_BHB,481.910640772
land,25,Poland_BP,346.467160861
land,26,Russia_BP,414.150933436
land,27,Russia_GoF,914.340544168
land,28,Sweden_AB,134.264101323
land,29,Sweden_BB,1722.06392987
land,30,Sweden_BHB,453.31813784
land,31,Sweden_BP,4222.0654373
land,32,Sweden_BS,2343.07843319
land,33,Sweden_CK,148.495973193
land,34,Sweden_NK,219.263564106
land,35,Sweden_ÖS,87.4781250205
land,36,Sweden_OT,965.440128704
land,37,Sweden_SK,206.43451533
