region,status
China,current
Colombia,current
Israel,current
Brazil,current
U.S. West Coast,current
Fiji,current
Ecuador,current
Peru,current
Sweden,current
Finland,current
Estonia,current
Latvia,current
Lithuania,current
Poland,current
Germany,current
Canada,current
Hawaii,potential
New Caledonia,potential
Chile,potential
Argentina,potential
Costa Rica,potential
Panama,potential
South Africa,potential
Australia,potential
New Zealand,potential
Portugal,potential
South Korea,potential
Japan,potential
