"rgn_name","rgn_id","area_eez","area_inland1km","coastal_pop","total_pop","coastal_jobs","coastal_rev"
"Cocos Islands",1,467239.788778,31.4370277768854,582.96,596,,
"Christmas Island",2,327941.107378,62.8740555537707,1087.16,2072,,
"Norfolk Island",3,431159.761138,19.2115169747633,1638.55,2302,,
"Macquarie Island",4,476279.41388,113.522600305419,0,0,,
"New Caledonia",5,1422087.32297,1941.23646522267,235608,258121,0,15630.401631173
"Vanuatu",6,639033.600803,2271.32525687997,278840,247262,38600,4.75e+08
"Solomon Islands",7,1594436.45805,4919.02159631098,630463,549598,21900,1.38e+08
"Palau",8,604178.392011,259.355479159304,42449.7,20754,0,136.42
"Micronesia",9,2992223.79307,549.274735323914,198914,103395,0,0
"Nauru",10,308477.457676,12.2255108021221,12371.3,9378,0,0
"Marshall Islands",11,1991484.1512,815.616220655859,154841,52555,,4496
"Wake Island",12,407248.627385,12.2255108021221,150,150,,
"Northern Mariana Islands and Guam",13,970625.278131,393.836097982647,216115,162810,1970.6450000012,704
"Taiwan",14,341174.33809,1157.0572723437,21294100,23340136,643400,23539240478.2903
"Philippines",15,1820211.29396,19461.2666954352,90286200,96706764,4295100,28289253337.0261
"Australia",16,6932080.68486,34994.6514203029,17646200,22683600,1449300,117508307702.481
"Papua New Guinea",17,2390010.09899,12069.1989140092,2698860,7167010,62500,152133098.739921
"Fiji",18,1280739.50143,2656.42884714681,942756,874742,116300,1.466e+09
"Tuvalu",19,751529.48413,106.536594132778,21653.1,9860,0,5
"South Korea",20,324615.710565,4897.19032702148,41832400,50004000,1582200,58394195512.359
"North Korea",21,115860.857596,2011.09652694908,15653500,24763188,,3.7927669086872
"Cambodia",24,47583.6894438,597.303527760822,1204160,14864646,1689900,293169110.11537
"Thailand",25,304654.654638,3274.69039342556,22566700,66785001,6011400,26385653612.5529
"Andaman and Nicobar",26,659619.928987,1905.43318358788,427068,380500,,
"Comoro Islands",28,164654.644733,310.877274682533,996688,717503,13000,4e+07
"Mayotte",29,62997.7202915,117.88885416332,292112,194000,0,0
"Glorioso Islands",30,43427.58641,3.4930030863206,10,10,,
"Seychelles",31,1331980.8989,330.962042428876,107670,87784.90752,24000,6.41e+08
"R_union",32,315033.841673,170.283900458129,825255,839500,19200,1568918379.98809
"Juan de Nova Island",33,62196.1410525,6.11275540106104,10,10,,
"Bassas da India",34,121566.193422,1.7465015431603,0,0,,
"Ile Europa",35,125048.536235,23.577770832664,0,0,,
"Ile Tromelin",36,270476.129797,4.36625385790074,0,0,,
"Mauritius",37,1272801.07843,250.622971443503,1377290,1291456,137400,2.978e+09
"British Indian Ocean Territory",38,638544.583894,115.26910184858,3000,3000,,
"Maldives",39,915784.030846,550.147986095494,557350,338442,121600,2.324e+09
"Sri Lanka",40,530526.520199,1484.52631168625,14111700,20328000,688500,4390815746.75325
"Mozambique",41,572388.292554,3461.56605854371,9310270,25203395,717700,399327228.335706
"Madagascar",42,1199766.06827,5174.88407238396,7001750,22293914,647800,509728361.291786
"Kenya",43,111979.731708,692.487861863058,2800610,43178141,589500,346945527.136057
"Somalia",44,830809.95517,2689.61237646686,5979590,10195134,,0
"Eritrea",45,79052.4975692,1687.12049069285,1119130,6130922,0,4.56346533196801
"Djibouti",46,7019.0129509,288.172754621449,576535,859652,1169.098,4766.38714852056
"Yemen",47,544834.368681,2285.29726922525,5722940,23852409,383800,744266957.689682
"Oman",48,536671.964182,2026.81504083753,2789430,3314001,71800,4550287878.60957
"Sudan",49,66635.8597287,711.699378837821,766450,37195349,434400,55760027.9540326
"Saudi Arabia",50,219763.817761,3939.23423059805,3531690,28287855,391800,3988028561.02027
"Kuwait",51,11819.1404438,446.231144277456,2408780,3250496,91200,4825717478.1941
"Bahrain",52,7633.15058904,197.354674377114,814280,1317827,73700,2018666152.68924
"Pakistan",53,221493.24241,1124.74699379523,15043700,179160111,3562500,1350287953.885
"United Arab Emirates",54,53782.9262473,1145.70501231316,1653910,9205651,496700,5742192215.41203
"Azores",55,955637.436594,592.937273902921,246493,245746,46,1948877.795
"Cape Verde",56,796370.07733,771.953682076852,571723,494401,84500,8.78e+08
"Madeira",57,453948.588155,168.537398914969,227951,267785,,
"Canary Islands",58,448408.458221,969.308356453965,1790370,2117519,576,12142836.9997569
"Belgium",59,3465.04965688,59.3810524674501,2825460,11142157,273700,6892128457.71245
"Gibraltar",60,436.998099666,3.4930030863206,15243.2,29752,41,325241.904607421
"Tunisia",61,100011.900601,1130.85974919629,6772100,10777500,472700,4429277003.01554
"Morocco",62,273918.778677,1572.72463961585,16644200,32521143,1797700,10070103599.9872
"Western Sahara",63,300457.356485,981.533867256087,127858,513000,,
"Mauritania",64,155647.789985,942.237582534981,1143300,3796141,0,0
"Gambia",65,22154.1823413,75.972817127473,1318400,1791225,125300,161927172.744909
"Senegal",66,156784.69553,475.048419739601,6200990,13726021,306500,796920415.610613
"Libya",67,355364.20094,1547.40036724002,3708580,6154623,68300,1485933140.01524
"Malta",68,55552.6531225,95.1843341022362,355510,418366,45600,2030072687.55109
