"rgn_nam","status","area_eez","area_inland1km","area_inland25km","coastal_pop","coastal_jobs","coastal_rev"
"Brazil","current",3642742.61455,13111.8603352759,353853,57649100,184.4671155513,7.0642e+12
"Canada","current",5725121.15445,163643.701591034,2300040,6315110,278.5580997884,8.30459e+12
"China","current",875263.560274,13717.023119981,275175,218966000,770.0907671511,34702823107007
"Colombia","current",796774.35711,2478.28568974446,84491.4,7151740,180.8239723813,1.046534e+12
"Ecuador","current",1071074.52811,2281.80426613893,45967.9,5912970,371.4097307213,237932272527.072
"Fiji","current",1280739.50143,2656.42884714681,18850.9,942756,271.3650647766,16106630160
"Hawaii","current",825549,,,,,
"Israel","current",27775.0732902,211.326686722396,8853.02,7977150,87.8611835987,7.5171e+11
"Peru","current",826222.133971,2455.58116968338,100331,14445800,370.5816053813,580550809836
"US West Coast","current",2474884,,,,,
"Argentina","potential",1082619.01065,5152.17955232288,172169,16068900,274.9446315413,1.535189e+12
"Australia","potential",6932080.68486,34994.6514203029,796861,17646200,285.8334441364,4.597416e+12
"Chile","potential",3588532.01729,31957.4852367471,343951,5577400,277.3744133713,826456115398.035
"Costa Rica","potential",572092.75225,1170.1560339174,31656.2,1670960,189.0809581856,148513232460
"Japan","potential",4026435.40247,15917.615064363,267727,103863000,288.3171776203,2.363215e+13
"New Caledonia","potential",1422087.32297,1941.23646522267,19024.6,235608,182.9048060128,8749929323.67302
"New Zealand","potential",4102669.77301,11009.9457280825,212221,4145630,287.2955821864,6.72451e+11
"Panama","potential",330286.142818,2726.28890887322,67623.7,3393660,280.0889743756,104884519580
"Portugal","potential",311142.791749,933.505074819179,31236.2,7868980,179.5295338201,1.183577e+12
"South Africa","potential",1067081.80295,2598.79429622252,104936,11444500,224.4668465676,1.412238e+12
"South Korea","potential",324615.710565,4897.19032702148,60849,41832400,289.8376258003,3.83361e+12
