���Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2002,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2003,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2004,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2005,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2006,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2007,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2008,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2009,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2010,8,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2011,23,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,283421,Potassium nitrate,2012,7,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2002,13,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2003,28,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2004,3482,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2005,3,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2006,518.3,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2007,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2008,22.22,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2009,803,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2010,2082,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2011,2024,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310210,Urea,2012,556,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2002,18334,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2003,21290,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2004,39189,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2005,41560,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2006,56850.9,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2007,16950.63,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2008,144,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2009,2,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2010,3,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2011,5,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310221,Ammonium sulphate,2012,1,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2002,26681,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2003,18068,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2004,9195,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2005,4513,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2006,465,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2007,9402.47,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2008,24157.77,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2009,38713,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2010,27606,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2011,33647,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310230,Ammonium nitrate,2012,41844,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2002,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2003,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2004,247,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2005,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2006,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2007,356.7,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2008,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2009,6,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2010,58,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2011,204,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310240,Calcium ammonium nitrate,2012,26,Fb,Data obtained as a balance
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2002,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2003,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2004,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2005,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2006,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2007,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2008,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2009,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2010,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2011,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310280,Urea and ammonium nitrate solutions,2012,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310310,Superphosphate,2002,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310310,Superphosphate,2003,0,NV,Not available
RF,Fertilizers,1,Armenia,5157,Consumption,310310,Superphosphate,2004,0,NV,Not available
