Site_name,latitude_dd,longitude_dd
Admiralty Bay,-62.16666667,-58.41666667
Aitcho - Barrientos Island,-62.4,-59.78333333
Aitcho - Other,-62.4,-59.78333333
Alexander Island,-71,-70
Almirante Brown,-64.89536667,-62.87045
Andresen Island,-66.88333333,-66.66666667
Andvord Bay,-64.83333333,-62.65
Antarctic Sound,-63.33333333,-56.75
Arctowski Station,-62.15976667,-58.47331667
Ardley Island,-62.21666667,-58.93333333
Argentine Islands Other,-65.25,-64.26666667
Argentine Islands/Wordie Hut,-65.25,-64.26666667
Armstrong Reefs,-65.9,-66.3
Arturo Prat Station,-62.47933333,-59.66351667
Astrolabe Island,-63.28333333,-58.66666667
Avian Island,-67.76666667,-68.9
Baily Head,-62.96666667,-60.5
Barcroft Islands,-66.45,-67.16666667
Bellingshausen Sea,-71,-85
Bellingshausen Station,-65.33333333,-64.15
Berthelot Islands,-65.33333333,-64.15
Bismarck Strait,-64.85,-64
Bongrain Point,-67.71666667,-67.8
Booth Island,-65.08333333,-64
Borgeois Fjord,-67.66666667,-67.08333333
Bransfield Strait,-63,-59
Brown Bluff,-63.53333333,-56.91666667
Bruce Island,-64.9,-63.13333333
Cape Adare,-71.28333333,170.2333333
Cape Bird,-77.16666667,166.6833333
Cape Evans,-77.63333333,166.4
Cape Evensen,-66.15,-65.73333333
Cape Hallett,-72.31666667,170.2666667
Cape Lookout,-61.26666667,-55.2
Cape Perez,-65.4,-64.1
Cape Renard,-65.01666667,-63.78333333
Cape Royds,-77.55,166.15
Cape Shirreff,-62.45,-60.78333333
Cape Tuxen,-65.26666667,-64.13333333
Charlotte Bay,-64.55,-61.65
Christiania Islands,-63.95,-61.45
Cierva Cove,-64.15,-60.88333333
Commonwealth Bay,-66.9,142.6666667
Coulman Island,-73.46666667,169.75
Crystal Sound,-66.38333333,-66.5
Curtiss Bay,-64.03333333,-60.78333333
Cuverville Island,-64.68333333,-62.63333333
Dallmann Bay,-64.33333333,-62.91666667
Damoy Point/Dorian Bay,-64.81666667,-63.53333333
Danco Island,-64.73333333,-62.61666667
Darbel Bay,-66.5,-65.91666667
Debenham Island,-68.13333333,-67.11666667
Deception Island,-62.95,-60.63333333
Deloncle Bay,-65.08333333,-63.93333333
Desolation Island,-62.46666667,-60.36666667
Detaille Island,-66.86666667,-66.8
Devil Island,-63.8,-57.28333333
Discovery Bay,-62.48333333,-59.71666667
Doumer Island,-64.85,-63.58333333
Duchaylard Islands,-65.7,-65.11666667
Duthiers Point,-64.8,-62.81666667
Edinburgh Hill,-62.55,-60.01666667
Elephant Island,-61.16666667,-55.23333333
English Strait,-62.45,-59.63333333
Enterprise Island,-64.53333333,-62
Erebus and Terror Gulf,-63.91666667,-56.66666667
Errera Channel,-64.7,-62.6
Esperanza Station,-63.39696667,-56.99805
False Bay,-62.71666667,-60.36666667
Ferguson Channel,-64.9,-63.01666667
Fildes Peninsula,-62.2,-58.96666667
Fildes Station,-62.18333333,-58.96666667
Fish Islands,-66.03333333,-65.41666667
Flanders Bay,-65.03333333,-63.33333333
Fort Point,-62.56666667,-59.56666667
Fournier Bay,-64.51666667,-63.1
Foyn Harbour,-64.55,-62.01666667
Franklin Island,-76.08333333,168.3166667
Frei Station,-62.20023333,-58.96263333
Fridtjof Sound,-63.56666667,-56.71666667
Fumarole Bay,-62.96666667,-60.7
Gabriel de Castilla Station,-62.9772,-60.67575
Georges Point,-64.66666667,-62.66666667
Gerlache Strait,-64.5,-62.33333333
Gibbs Island,-61.46666667,-55.56666667
Girard Bay,-65.13333333,-64
Goudier Island,-64.83333333,-63.5
Gourdin Island,-63.2,-57.3
Graham Passage,-64.4,-61.51666667
Great Wall Station,-62.21751667,-58.962
Gunnel Channel,-67.1,-67.55
Half Moon Island,-62.6,-59.91666667
Hannah Point,-62.65,-60.61666667
Hanusse Bay,-66.95,-67.5
Hidden Bay,-65.03333333,-63.76666667
Hope Bay,-63.38333333,-57
Horseshoe Island,-67.85,-67.2
Hovgaard Island,-65.13333333,-64.13333333
Hunt Island,-64.33333333,-62.16666667
Hydrurga Rocks,-64.13333333,-61.61666667
Inexpressible Island,-74.9,163.65
Jabet Peak,-64.81666667,-63.46666667
Jenny Island,-67.73333333,-68.4
Jougla Point,-64.83333333,-63.5
Jubany,-62.2379,-58.66685
Kinnes Cove/Madder Cliffs,-63.36666667,-56.55
Lautaro Island,-64.81666667,-63.1
Leith Cove,-64.86666667,-62.83333333
Lemaire Channel,-65.06666667,-63.95
Lemaire Island,-64.81666667,-62.95
Lindblad Cove,-63.85,-59.45
Livingston Island,-62.6,-60.5
"Maxwell Bay, King George",-62.25,-58.85
McFarlane Strait,-62.53333333,-59.91666667
McMurdo Ice Channel,-77.5,166.1
McMurdo Station,-77.84821667,166.6684167
Melchior Islands,-64.31666667,-62.95
Mikkelsen Harbor (D'Hainaut),-63.9,-60.78333333
Mount Banck,-64.9,-63.05
Mount Demaria,-65.28333333,-64.1
Mount Erebus Summit,-77.53333333,167.1666667
Mount Scott,-65.15,-64.05
Mount Shackleton,-65.21666667,-63.93333333
Mudge Passage,-66.03333333,-65.83333333
Murray Island,-64.36666667,-61.56666667
Nansen Island,-64.58333333,-62.1
Neko Harbor,-64.83333333,-62.55
Nelson Island,-62.3,-59.05
Neptunes Bellows,-63,-60.56666667
Neumayer Channel,-64.78333333,-63.5
Neumayer Station,-70.67725,-8.2716
Novo Airbase,-70.8218,11.63986667
O'Higgins Station,-63.32095,-57.89978333
Orcadas,-60.58333333,-45.5
Orne Harbor,-64.61666667,-62.53333333
Orne Islands,-64.66666667,-62.66666667
Palaver Point,-64.15,-61.75
Palmer Station,-64.77426667,-64.05333333
Paradise Bay,-64.85,-62.9
Paulet Island,-63.58333333,-55.78333333
Peltier Channel,-64.86666667,-63.53333333
Pendulum Cove,-62.93333333,-60.6
Penguin Island,-62.1,-57.9
Penola Strait,-65.16666667,-64.11666667
Peter I Island,-68.78333333,-90.58333333
Petermann Island,-65.16666667,-64.16666667
Petrel Cove,-63.46666667,-56.21666667
Pitt Islands,-65.43333333,-65.5
Plata Passage,-64.66666667,-62.01666667
Pleneau Island,-65.1,-64.06666667
Point Wild,-61.1,-54.86666667
Porquois Pas Island,-67.68333333,-67.46666667
Port Charcot,-65.06666667,-64
Port Foster,-62.95,-60.65
Portal Point,-64.5,-61.76666667
Prospect Point,-66.01666667,-65.35
Pursuit Point,-64.91666667,-63.45
Red Rock Ridge,-68.3,-67.13333333
Robert Point,-62.46666667,-59.38333333
Ronge Island Other,-64.71666667,-62.68333333
Ronge Island/Georges Point,-64.71666667,-62.68333333
Rosamel Island,-63.56666667,-56.28333333
Ross Ice Shelf,-81.5,-175
San Martin Station,-68.1303,-67.10293333
Scott Base,-77.84943333,166.7672833
Scott Island,-67.4,-179.9166667
Skontorp Cove,-64.9,-62.86666667
Snow Island,-62.78333333,-61.38333333
South Bay,-54.06666667,-37.15
Spert Island,-63.85,-60.95
Spigot Peak,-64.65,-62.56666667
Sterneck Island,-64.18333333,-61.03333333
Stonington Island,-68.18333333,-67
Taylor Valley/Canada Glacier,-77.61666667,163.0666667
Telefon Bay,-62.93333333,-60.66666667
The Gullet,-67.16666667,-67.63333333
Torgersen Island,-64.76666667,-64.08333333
Trinity Island Other,-63.75,-60.73333333
Turret Point,-62.08333333,-57.91666667
Union Glacier,-79.75,-82.5
Useful Island,-64.71666667,-62.86666667
Vega Island/Herbert Sound,-63.83333333,-57.41666667
Vernadsky Station,-65.24575,-64.25748333
View Point,-63.55,-57.36666667
