"ccamlr_id","year","Total"
481,2008,607789
481,2009,542611
481,2010,596092
481,2011,526338
481,2012,405018
481,2013,500764
482,2008,2944
482,2009,6405
482,2010,4732
482,2011,6101
482,2012,4314
482,2013,115
485,2008,2426
485,2009,3774
485,2010,2885
485,2011,2239
485,2012,4873
485,2013,807
486,2009,303
486,2010,312
486,2011,339
486,2012,279
486,2013,432
881,2008,2298
881,2009,6548
881,2010,3384
881,2011,3070
881,2012,2202
881,2013,2475
882,2009,360
882,2011,111
883,2010,154
883,2011,228
883,2012,138
883,2013,374
5841,2008,2484
5841,2009,4702
5841,2010,441
5841,2011,465
5841,2012,1149
5841,2013,103
5842,2008,768
5842,2009,222
5842,2011,224
5842,2012,684
