loiczid,mean_cat_score,mean_pop_trend_score,n_cat_species,n_trend_species,source
34969,0.06,-0.204918032786885,70,61,iucn
34970,0.0602739726027397,-0.203125,73,64,iucn
34971,0.0540540540540541,-0.207692307692308,74,65,iucn
35688,0.0888888888888889,0.0714285714285714,18,14,iucn
35689,0.0888888888888889,0.0714285714285714,18,14,iucn
35690,0.0454545454545455,-0.166666666666667,66,57,iucn
35691,0.0555555555555556,-0.198412698412698,72,63,iucn
36406,0.0941176470588235,0.0384615384615385,17,13,iucn
36407,0.0842105263157895,0.0714285714285714,19,14,iucn
36408,0.0842105263157895,0.0714285714285714,19,14,iucn
36409,0.0537313432835821,-0.206896551724138,67,58,iucn
36410,0.0507042253521127,-0.201612903225806,71,62,iucn
36411,0.05,-0.2109375,72,64,iucn
37125,0.0842105263157895,0.0714285714285714,19,14,iucn
37126,0.0842105263157895,0.0714285714285714,19,14,iucn
37127,0.0537313432835821,-0.198275862068966,67,58,iucn
37128,0.0521739130434783,-0.2,69,60,iucn
37129,0.0507042253521127,-0.209677419354839,71,62,iucn
37842,0.0557377049180328,-0.153846153846154,61,52,iucn
37843,0.0842105263157895,0.107142857142857,19,14,iucn
37844,0.0888888888888889,0.0769230769230769,18,13,iucn
37845,0.05625,-0.1875,64,56,iucn
37846,0.0545454545454545,-0.181034482758621,66,58,iucn
37847,0.0514285714285714,-0.193548387096774,70,62,iucn
38560,0.0641509433962264,-0.152173913043478,53,46,iucn
38561,0.0888888888888889,0.107142857142857,18,14,iucn
38562,0.0842105263157895,0.107142857142857,19,14,iucn
38563,0.0597014925373134,-0.177966101694915,67,59,iucn
38564,0.0606060606060606,-0.172413793103448,66,58,iucn
38565,0.0529411764705882,-0.191666666666667,68,60,iucn
39280,0.0941176470588235,0.0769230769230769,17,13,iucn
39281,0.0941176470588235,0.0769230769230769,17,13,iucn
39282,0.0888888888888889,0.0769230769230769,18,13,iucn
39283,0.0545454545454545,-0.172413793103448,66,58,iucn
39999,0.1,0.0416666666666667,16,12,iucn
40000,0.1,0.0416666666666667,16,12,iucn
