"rgn_id","r2_label","v_label","r2_order"
16,"Australia and New Zealand","Australia","101"
2,"Australia and New Zealand","Christmas Island","101"
1,"Australia and New Zealand","Cocos Islands","101"
4,"Australia and New Zealand","Macquarie Island","101"
162,"Australia and New Zealand","New Zealand","101"
3,"Australia and New Zealand","Norfolk Island","101"
151,"Polynesia","American Samoa","102"
153,"Polynesia","Cook Islands","102"
147,"Polynesia","French Polynesia","102"
154,"Polynesia","Niue","102"
146,"Polynesia","Pitcairn","102"
152,"Polynesia","Samoa","102"
156,"Polynesia","Tokelau","102"
155,"Polynesia","Tonga","102"
19,"Polynesia","Tuvalu","102"
161,"Polynesia","Wallis and Futuna","102"
158,"Micronesia","Howland Island + Baker Island","103"
149,"Micronesia","Jarvis Island","103"
159,"Micronesia","Johnston Atoll","103"
212,"Micronesia","Kiribati","103"
148,"Micronesia","Line Group","103"
11,"Micronesia","Marshall Islands","103"
9,"Micronesia","Micronesia","103"
10,"Micronesia","Nauru","103"
13,"Micronesia","Northern Mariana Islands + Guam","103"
8,"Micronesia","Palau","103"
150,"Micronesia","Palmyra Atoll","103"
157,"Micronesia","Phoenix Group","103"
12,"Micronesia","Wake Island","103"
18,"Melanesia","Fiji","104"
5,"Melanesia","New Caledonia","104"
17,"Melanesia","Papua New Guinea","104"
7,"Melanesia","Solomon Islands","104"
6,"Melanesia","Vanuatu","104"
26,"South-Eastern Asia","Andaman + Nicobar","105"
247,"South-Eastern Asia","Brunei","105"
24,"South-Eastern Asia","Cambodia","105"
231,"South-Eastern Asia","East Timor","105"
216,"South-Eastern Asia","Indonesia","105"
206,"South-Eastern Asia","Malaysia","105"
205,"South-Eastern Asia","Myanmar","105"
237,"South-Eastern Asia","Oecussi Ambeno","105"
15,"South-Eastern Asia","Philippines","105"
208,"South-Eastern Asia","Singapore","105"
25,"South-Eastern Asia","Thailand","105"
207,"South-Eastern Asia","Vietnam","105"
204,"Southern Asia","Bangladesh","106"
38,"Southern Asia","British Indian Ocean Territory","106"
203,"Southern Asia","India","106"
191,"Southern Asia","Iran","106"
39,"Southern Asia","Maldives","106"
53,"Southern Asia","Pakistan","106"
40,"Southern Asia","Sri Lanka","106"
52,"Western Asia","Bahrain","107"
81,"Western Asia","Cyprus","107"
74,"Western Asia","Georgia","107"
192,"Western Asia","Iraq","107"
79,"Western Asia","Israel","107"
215,"Western Asia","Jordan","107"
51,"Western Asia","Kuwait","107"
78,"Western Asia","Lebanon","107"
48,"Western Asia","Oman","107"
190,"Western Asia","Qatar","107"
50,"Western Asia","Saudi Arabia","107"
77,"Western Asia","Syria","107"
76,"Western Asia","Turkey","107"
54,"Western Asia","United Arab Emirates","107"
47,"Western Asia","Yemen","107"
209,"Eastern Asia","China","108"
210,"Eastern Asia","Japan","108"
21,"Eastern Asia","North Korea","108"
20,"Eastern Asia","South Korea","108"
14,"Eastern Asia","Taiwan","108"
164,"Central America","Belize","109"
107,"Central America","Clipperton Island","109"
130,"Central America","Costa Rica","109"
134,"Central America","El Salvador","109"
136,"Central America","Guatemala","109"
133,"Central America","Honduras","109"
135,"Central America","Mexico","109"
131,"Central America","Nicaragua","109"
129,"Central America","Panama","109"
118,"Caribbean","Anguilla","110"
120,"Caribbean","Antigua + Barbuda","110"
250,"Caribbean","Aruba","110"
110,"Caribbean","Bahamas","110"
124,"Caribbean","Barbados","110"
108,"Caribbean","Bermuda","110"
245,"Caribbean","Bonaire","110"
117,"Caribbean","British Virgin Islands","110"
113,"Caribbean","Cayman Islands","110"
112,"Caribbean","Cuba","110"
244,"Caribbean","Curacao","110"
123,"Caribbean","Dominica","110"
