targets,layer,dir_whence_2013a,whence_2013a
ECO,eco_attributes,ohi-global:eez2013/reports/debug,eez2013_eco-gapfill-georegions.csv
LIV,liv_attributes,ohi-global:eez2013/reports/debug,eez2013_liv-gapfill-georegions.csv
TRstatus,tr_attributes,ohi-global:eez2013/reports/debug,eez2013_tr-gapfill-georegions.csv
