"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2963283","3187830","3490087","3839080","4158390","4421511","4603179","4718165","4795051","4877311","4954215","5127321","5345874","5574054","5813001","6023801","6227145","6405344","6595844","6787685","7020508","7253863","7512205","7811221","",
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3848731","3968550","4113309","4297401","4436738","4559991","4677323","4791424","4914129","5053044","5199205","5368905","5530010","5717367","5902911","6065208","6236723","6401237","6597146","6848824","7111735","7365111","7628708","7890692","",
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1391948","1407677","1405613","1399075","1392687","1380176","1370055","1370925","1357376","1347138","1338412","1329596","1333010","1321163","1308709","1296584","1279776","1262797","1247365","1235176","1240916","1247202","1257288","1267115","",
"Arab World","ARB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62424351","63659319","64702880","67119366","69882861","72694148","74686221","76542279","78347284","81066885","83088461","84866958","87043522","90460552","93963406","97367890","100058407","104210720","107852889","111213419","114852528","118333067","121711517","125367954","",
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","907318","974820","1049822","1129029","1211150","1291401","1371640","1458431","1547244","1634006","1721060","1795070","1861504","1968908","2182248","2541209","3066204","3735627","4461176","5136379","5686382","6041420","6248007","6325502","",
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13272787","13412304","13560954","13760619","13981874","14319179","14525537","14749085","14941338","15157152","15373642","15644931","15917566","16191596","17450419","17683025","17915266","18059403","18200464","18337932","18350012","18600897","18850709","19092526","",
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1680806","1663464","1616301","1570360","1531834","1502244","1483478","1471444","1468625","1471611","1473270","1478102","1463568","1451108","1436854","1422160","1406437","1392459","1379176","1394340","1451010","1488552","1489964","1505019","",
"American Samoa","ASM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8502257","8548010","8623259","8675174","8832057","9049690","9154738","9230553","9331221","9428920","9624371","9793326","9937598","10101919","10229628","10555735","10806943","10986204","11285373","11522495","11715010","11882313","12029655","12203910","",
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3524707","3576695","3668918","3705767","3825983","3849977","3812323","3823344","3823826","3848325","3854452","3885271","3960542","4009337","3989535","4069449","4151191","4241690","4276139","4314206","4313417","4349660","4388773","4423327","",
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2921075","2969160","3060482","3134533","3189755","3234076","3284144","3343647","3409244","3474394","3556038","3638100","3725332","3810519","3899969","3986192","4078128","4161524","4294596","4457704","4514736","4626430","4741442","4841921","",
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2649344","2682521","2710260","2730124","2743024","2753587","2757630","2757146","2763413","2803236","2870901","2962296","3077384","3213508","3357763","3502887","3652097","3806571","3958883","4110669","4255131","4401324","4534583","4653449","",
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3953454","4043565","4076802","4100803","4163401","4190040","4200922","4215032","4254080","4361766","4411565","4313180","4397376","4429444","4514100","4622255","4640538","4732749","4774549","4788755","4898557","4870949","4902330","4948030","",
